uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Figueirópolis,3
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",,Nova Olinda,3
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Miranorte,3
Aração e gradagem,,Rio dos Bois,3
Plantio convencional,Degradação Média,Nova Rosalândia,3
Plantio convencional,Não possui degradação,Chapada de Areia,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Araguaína,3
"Roça de toco, Plantio convencional, Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,3
Plantio convencional,,Caseara,3
"Roça de toco, Queimadas",,Ananás,3
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Rio dos Bois,3
Não usa,Não possui degradação,Talismã,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Barrolândia,3
Aração e gradagem,,Palmas,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,3
"Plantio convencional, Aração e gradagem",Degradação Média,Nova Rosalândia,3
"Roça de toco, Pastagem nativa",Não possui degradação,Paranã,3
Uso de agrotóxicos,Não possui degradação,Miranorte,3
Uso de agrotóxicos,Pouco degradado,Fortaleza do Tabocão,3
Aração e gradagem,,Santa Maria do Tocantins,3
"Plantio convencional, Aração e gradagem",Pouco degradado,Peixe,3
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Couto Magalhães,3
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Peixe,3
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Miranorte,3
Aração e gradagem,Não possui degradação,Pedro Afonso,3
Aração e gradagem,Pouco degradado,Pedro Afonso,3
"Roça de toco, Queimadas, Pastagem nativa",,Filadélfia,3
Não usa,Não possui degradação,Guaraí,3
Não usa,Degradação Média,Marianópolis do Tocantins,3
Queimadas,Não possui degradação,Ananás,3
Plantio convencional,Degradação Média,Chapada de Areia,3
Aração e gradagem,Pouco degradado,Ananás,3
Aração e gradagem,,Wanderlândia,3
Roça de toco,,São Bento do Tocantins,3
"Aração e gradagem, Uso de agrotóxicos",,Araguaína,3
Não usa,,Divinópolis do Tocantins,2
"Roça de toco, Plantio convencional",Não possui degradação,Rio Sono,2
Aração e gradagem,Degradação Média,Chapada da Natividade,2
Plantio convencional,Não possui degradação,Caseara,2
"Plantio convencional, Aração e gradagem",,Barrolândia,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Gurupi,2
"Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Goiatins,2
"Roça de toco, Queimadas",Não possui degradação,Dianópolis,2
Aração e gradagem,Degradação Média,Pedro Afonso,2
Não usa,,Silvanópolis,2
Pastagem nativa,Degradação Média,Marianópolis do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",,Wanderlândia,2
Aração e gradagem,Degradação Média,Porto Alegre do Tocantins,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Araguaína,2
Plantio convencional,,Gurupi,2
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Degradação Média,Paranã,2
"Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Paranã,2
Aração e gradagem,Pouco degradado,Divinópolis do Tocantins,2
"Plantio convencional, Aração e gradagem",Não possui degradação,Divinópolis do Tocantins,2
Plantio convencional,,Rio Sono,2
"Plantio convencional, Aração e gradagem",Não possui degradação,Monte Santo do Tocantins,2
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Paranã,2
"Plantio convencional, Aração e gradagem, Pastagem nativa",,Caseara,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Pugmil,2
"Plantio convencional, Aração e gradagem",Não possui degradação,Riachinho,2
"Aração e gradagem, Não usa",Pouco degradado,Miranorte,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",,Xambioá,2
"Roça de toco, Aração e gradagem, Pastagem nativa",,Carmolândia,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",,Araguaína,2
"Aração e gradagem, Pastagem nativa",Pouco degradado,Divinópolis do Tocantins,2
"Roça de toco, Queimadas",,Tocantínia,2
"Queimadas, Uso de agrotóxicos",Degradação Média,Xambioá,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Divinópolis do Tocantins,2
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Goiatins,2
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,Pedro Afonso,2
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Itaporã do Tocantins,2
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Miracema do Tocantins,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",,Araguatins,2
Uso de agrotóxicos,Pouco degradado,Rio dos Bois,2
Aração e gradagem,Não possui degradação,Guaraí,2
"Roça de toco, Plantio convencional",,Dianópolis,2
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",,dois Irmãos do Tocantins,2
Aração e gradagem,Não possui degradação,Miranorte,2
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",Degradação Média,Nova Olinda,2
"Plantio convencional, Aração e gradagem",Não possui degradação,Divinópolis do Tocantins,2
"Plantio convencional, Aração e gradagem",Não possui degradação,Marianópolis do Tocantins,2
Aração e gradagem,,Riachinho,2
Aração e gradagem,Pouco degradado,Aurora do Tocantins,2
"Roça de toco, Plantio convencional, Monocultura",Pouco degradado,Monte do Carmo,2
Plantio convencional,Não possui degradação,Miranorte,2
"Roça de toco, Plantio convencional",Não possui degradação,Caseara,2
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Piraquê,2
"Aração e gradagem, Pastagem nativa",Pouco degradado,Pium,2
Não usa,,Miracema do Tocantins,2
"Plantio convencional, Aração e gradagem, Pastagem nativa",Não possui degradação,Nova Olinda,2
Roça de toco,Não possui degradação,Paranã,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Chapada de Areia,2
Não usa,,Rio da Conceição,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeirópolis,2
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Cristalândia,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Paraíso do Tocantins,2
Plantio convencional,,Palmas,2
"Roça de toco, Aração e gradagem",Não possui degradação,Dianópolis,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Rio dos Bois,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Axixá do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Pium,2
"Plantio convencional, Aração e gradagem",Degradação Média,São Salvador do Tocantins,2
Aração e gradagem,Não possui degradação,Gurupi,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Miracema do Tocantins,2
"Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Degradação Média,Marianópolis do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Guaraí,2
"Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",,Nova Olinda,2
"Queimadas, Uso de agrotóxicos",Pouco degradado,Muricilândia,2
"Roça de toco, Aração e gradagem",,Ananás,2
Aração e gradagem,,Tupirama,2
"Plantio convencional, Aração e gradagem",,Palmas,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Ponte Alta do Bom Jesus,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas",Pouco degradado,Araguanã,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Peixe,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,2
Não usa,Pouco degradado,Ponte Alta do Bom Jesus,2
Plantio convencional,Não possui degradação,Talismã,2
"Plantio convencional, Pastagem nativa",Degradação Média,Chapada de Areia,2
Plantio convencional,Pouco degradado,Gurupi,2
"Plantio convencional, Uso de agrotóxicos",,Luzinópolis,2
"Roça de toco, Plantio convencional, Monocultura",Pouco degradado,Monte do Carmo,2
Plantio convencional,Pouco degradado,Chapada de Areia,2
Aração e gradagem,,Porto Nacional,2
"Roça de toco, Plantio convencional, Queimadas, Monocultura",Pouco degradado,Xambioá,2
Aração e gradagem,Degradação Média,Peixe,2
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Araguanã,2
"Plantio convencional, Aração e gradagem, Queimadas",Pouco degradado,Paranã,2
Aração e gradagem,Não possui degradação,Pium,2
Roça de toco,,Lagoa da Confusão,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Sítio Novo do Tocantins,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Pouco degradado,Xambioá,2
Plantio convencional,Pouco degradado,Chapada da Natividade,2
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Não possui degradação,Araguanã,2
"Aração e gradagem, Pastagem nativa",,Bom Jesus do Tocantins,2
Não usa,Pouco degradado,Chapada da Natividade,2
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Degradação Média,Xambioá,2
Plantio convencional,,Pugmil,2
"Roça de toco, Pastagem nativa",Não possui degradação,Paranã,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Couto Magalhães,2
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,2
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Fortaleza do Tabocão,2
"Plantio convencional, Aração e gradagem",Pouco degradado,Gurupi,2
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Rio dos Bois,2
Plantio convencional,Não possui degradação,Rio Sono,2
Aração e gradagem,Não possui degradação,Marianópolis do Tocantins,2
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Santa Fé do Araguaia,2
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Marianópolis do Tocantins,1
Aração e gradagem,Pouco degradado,Guaraí,1
Uso de agrotóxicos,Degradação Média,Santa Fé do Araguaia,1
Uso de agrotóxicos,Não possui degradação,Miranorte,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Araguaína,1
Plantio convencional,Pouco degradado,Barrolândia,1
Monocultura,Pouco degradado,Alvorada,1
"Aração e gradagem, Não usa",,Almas,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Aração e gradagem, Queimadas",Não possui degradação,Ananás,1
"Roça de toco, Não usa",,Cristalândia,1
"Roça de toco, Aração e gradagem",Não possui degradação,Bom Jesus do Tocantins,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,Paranã,1
"Roça de toco, Não usa",,Filadélfia,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Figueirópolis,1
Pastagem nativa,,Rio da Conceição,1
Roça de toco,,Dianópolis,1
"Plantio convencional, Aração e gradagem",Degradação Média,Pium,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Barrolândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Xambioá,1
"Aração e gradagem, Monocultura",,Filadélfia,1
Roça de toco,Não possui degradação,Almas,1
"Roça de toco, Queimadas, Monocultura",,Xambioá,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,Paranã,1
"Monocultura, Uso de agrotóxicos",Pouco degradado,Paraíso do Tocantins,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Araguaçu,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Degradação Média,Silvanópolis,1
Não usa,,Dianópolis,1
"Aração e gradagem, Uso de agrotóxicos",,Pium,1
Pastagem nativa,,dois Irmãos do Tocantins,1
"Roça de toco, Aração e gradagem",Não possui degradação,Riachinho,1
Plantio convencional,Não possui degradação,Guaraí,1
Uso de agrotóxicos,Não possui degradação,Guaraí,1
Não usa,Degradação Média,Nova Rosalândia,1
"Roça de toco, Aração e gradagem",Não possui degradação,Novo Jardim,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,Miranorte,1
Aração e gradagem,Muito degradado,Sucupira,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Couto Magalhães,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Aparecida do Rio Negro,1
Roça de toco,Pouco degradado,Talismã,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Paraíso do Tocantins,1
"Pastagem nativa, Não usa",Não possui degradação,Cristalândia,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,São Bento do Tocantins,1
Aração e gradagem,Degradação Média,Gurupi,1
Plantio convencional,Pouco degradado,Dueré,1
"Roça de toco, Aração e gradagem",,Filadélfia,1
"Aração e gradagem, Pastagem nativa",Muito degradado,Dueré,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Não possui degradação,Santa Terezinha do Tocantins,1
"Roça de toco, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,Aguiarnópolis,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Gurupi,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Xambioá,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Nova Olinda,1
Não usa,Pouco degradado,Rio da Conceição,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,dois Irmãos do Tocantins,1
Aração e gradagem,Degradação Média,Cristalândia,1
Aração e gradagem,Pouco degradado,Cristalândia,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Chapada da Natividade,1
"Roça de toco, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,1
"Monocultura, Não usa",,Esperantina,1
Roça de toco,,Esperantina,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,Nova Olinda,1
"Roça de toco, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Nova Olinda,1
Plantio convencional,Degradação Média,Dueré,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Miracema do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
Plantio convencional,,Filadélfia,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Miranorte,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Degradação Média,Nova Rosalândia,1
"Plantio convencional, Aração e gradagem, Monocultura",Degradação Média,Filadélfia,1
Plantio convencional,Pouco degradado,Colméia,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",,Nova Olinda,1
"Plantio convencional, Aração e gradagem",Degradação Média,Dueré,1
"Plantio convencional, Pastagem nativa",Pouco degradado,Monte Santo do Tocantins,1
Aração e gradagem,Pouco degradado,Sucupira,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Gurupi,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Guaraí,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Colméia,1
Aração e gradagem,Não possui degradação,Guaraí,1
Aração e gradagem,Não possui degradação,Cristalândia,1
Aração e gradagem,Pouco degradado,Ananás,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Sucupira,1
"Aração e gradagem, Pastagem nativa",Não possui degradação,Divinópolis do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Dianópolis,1
"Aração e gradagem, Monocultura",Degradação Média,Araguaçu,1
Aração e gradagem,,Porto Alegre do Tocantins,1
Plantio convencional,,Monte Santo do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,Palmeiras do Tocantins,1
Roça de toco,,Gurupi,1
Aração e gradagem,Não possui degradação,Caseara,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",,Xambioá,1
Aração e gradagem,,Dianópolis,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Dianópolis,1
Plantio convencional,,Novo Jardim,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",,Babaçulândia,1
"Roça de toco, Plantio convencional, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Guaraí,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Itaguatins,1
"Roça de toco, Aração e gradagem, Pastagem nativa",Não possui degradação,Dianópolis,1
Não usa,Pouco degradado,Aliança do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,dois Irmãos do Tocantins,1
"Plantio convencional, Aração e gradagem, Não usa",,Palmas,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Palmeiras do Tocantins,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",,Araguatins,1
"Roça de toco, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Axixá do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
Aração e gradagem,,Barrolândia,1
"Aração e gradagem, Pastagem nativa, Não usa",Pouco degradado,Aurora do Tocantins,1
"Roça de toco, Plantio convencional, Uso de agrotóxicos",Degradação Média,Axixá do Tocantins,1
Uso de agrotóxicos,,Miranorte,1
Plantio convencional,Pouco degradado,Peixe,1
"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",,Aragominas,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Axixá do Tocantins,1
"Plantio convencional, Uso de agrotóxicos",,Palmeiras do Tocantins,1
Roça de toco,,Almas,1
Não usa,,Esperantina,1
"Plantio convencional, Aração e gradagem",,Wanderlândia,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Monte Santo do Tocantins,1
Aração e gradagem,,Cristalândia,1
Roça de toco,Degradação Média,Chapada da Natividade,1
"Roça de toco, Aração e gradagem",Não possui degradação,Barrolândia,1
"Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",,Araguaína,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Axixá do Tocantins,1
Aração e gradagem,,Dianópolis,1
Plantio convencional,,Miracema do Tocantins,1
Roça de toco,,Pedro Afonso,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura",Degradação Média,Couto Magalhães,1
Aração e gradagem,Pouco degradado,Peixe,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Figueirópolis,1
"Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Axixá do Tocantins,1
Aração e gradagem,Pouco degradado,Palmeirópolis,1
"Plantio convencional, Aração e gradagem",,Figueirópolis,1
"Plantio convencional, Aração e gradagem, Monocultura",,Miracema do Tocantins,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Palmeiras do Tocantins,1
"Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Goiatins,1
"Aração e gradagem, Queimadas, Uso de agrotóxicos",Pouco degradado,Rio Sono,1
"Roça de toco, Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Degradação Média,Angico,1
"Aração e gradagem, Uso de agrotóxicos",,Marianópolis do Tocantins,1
"Roça de toco, Plantio convencional",,Chapada de Areia,1
Plantio convencional,Pouco degradado,Cariri do Tocantins,1
"Plantio convencional, Aração e gradagem",Pouco degradado,Cariri do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Monocultura, Uso de agrotóxicos",Pouco degradado,Paraíso do Tocantins,1
Uso de agrotóxicos,Degradação Média,Praia Norte,1
"Plantio convencional, Uso de agrotóxicos",Não possui degradação,Piraquê,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Axixá do Tocantins,1
"Roça de toco, Pastagem nativa, Não usa",,Monte Santo do Tocantins,1
Aração e gradagem,Não possui degradação,Cristalândia,1
"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Paranã,1
"Roça de toco, Aração e gradagem, Queimadas",,Xambioá,1
Plantio convencional,Pouco degradado,Colméia,1
"Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Monte Santo do Tocantins,1
Aração e gradagem,Degradação Média,Tocantínia,1
"Plantio convencional, Aração e gradagem",Não possui degradação,Almas,1
"Plantio convencional, Aração e gradagem, Monocultura",Degradação Média,Aliança do Tocantins,1
Não usa,,Pium,1
"Queimadas, Pastagem nativa",Pouco degradado,Dianópolis,1
"Roça de toco, Monocultura, Uso de agrotóxicos",Pouco degradado,Xambioá,1
Aração e gradagem,Pouco degradado,Rio Sono,1
"Plantio convencional, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
Roça de toco,Não possui degradação,Araguaçu,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Riachinho,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Babaçulândia,1
Não usa,Degradação Média,Barrolândia,1
"Aração e gradagem, Pastagem nativa",,Pium,1
"Roça de toco, Plantio convencional, Queimadas, Pastagem nativa",Não possui degradação,Dianópolis,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Piraquê,1
"Roça de toco, Plantio convencional, Aração e gradagem",Não possui degradação,Novo Jardim,1
"Plantio convencional, Pastagem nativa, Monocultura",Muito degradado,Marianópolis do Tocantins,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Não possui degradação,Guaraí,1
"Plantio convencional, Monocultura, Uso de agrotóxicos",Não possui degradação,Filadélfia,1
"Plantio convencional, Queimadas",,São Miguel do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",Pouco degradado,Babaçulândia,1
"Roça de toco, Plantio convencional",Não possui degradação,Dianópolis,1
"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",Degradação Média,Nova Olinda,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,,1
Não usa,Pouco degradado,Cristalândia,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Bandeirantes do Tocantins,1
Plantio convencional,Pouco degradado,Cariri do Tocantins,1
"Monocultura, Uso de agrotóxicos",Pouco degradado,Bandeirantes do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Xambioá,1
"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Uso de agrotóxicos",Pouco degradado,Novo Acordo,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",Não possui degradação,Araguatins,1
"Aração e gradagem, Uso de agrotóxicos",Degradação Média,Piraquê,1
"Aração e gradagem, Pastagem nativa",Pouco degradado,Chapada da Natividade,1
Aração e gradagem,Pouco degradado,Miracema do Tocantins,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Miranorte,1
"Aração e gradagem, Monocultura",,Nova Rosalândia,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",Não possui degradação,Figueirópolis,1
Plantio convencional,,dois Irmãos do Tocantins,1
"Aração e gradagem, Pastagem nativa",Degradação Média,Pium,1
Não usa,,Rio Sono,1
"Roça de toco, Queimadas",,Filadélfia,1
Aração e gradagem,,Ponte Alta do Bom Jesus,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Peixe,1
"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",,Araguatins,1
Plantio convencional,,Alvorada,1
"Roça de toco, Plantio convencional, Aração e gradagem, Monocultura",,Xambioá,1
"Aração e gradagem, Queimadas",,Lajeado,1
Aração e gradagem,,Porto Nacional,1
"Aração e gradagem, Uso de agrotóxicos",,Ponte Alta do Bom Jesus,1
"Roça de toco, Pastagem nativa",Não possui degradação,Carmolândia,1
"Roça de toco, Plantio convencional, Monocultura",,Monte do Carmo,1
"Aração e gradagem, Monocultura, Uso de agrotóxicos",Pouco degradado,Filadélfia,1
"Roça de toco, Queimadas, Pastagem nativa, Monocultura",,Almas,1
"Aração e gradagem, Uso de agrotóxicos",Pouco degradado,Cristalândia,1
Não usa,Pouco degradado,Axixá do Tocantins,1
"Roça de toco, Plantio convencional, Aração e gradagem",Pouco degradado,Peixe,1
"Plantio convencional, Aração e gradagem, Pastagem nativa",Pouco degradado,Paranã,1
"Plantio convencional, Aração e gradagem",,darcinópolis,1
"Aração e gradagem, Uso de agrotóxicos",,Filadélfia,1
"Plantio convencional, Queimadas",Degradação Média,Nova Rosalândia,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",,,1
"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas",Não possui degradação,Araguanã,1
