atividade_produtiva,area_da_propriedade__hectares__,count
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",100 - 200 ha,4
"Avicultura, Mandiocultura",20 - 50 ha,4
"Avicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,4
"Bovinocultura de Leite, Mandiocultura",10 - 20 ha,4
"Bovinocultura de corte, Fruticultura",20 - 50 ha,4
"Bovinocultura de corte, Avicultura, Culturas Anuais",20 - 50 ha,4
Bovinocultura de corte,1 - 5 ha,4
Mandiocultura,5 - 10 ha,4
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",20 - 50 ha,4
Fruticultura,50 - 100 ha,4
Mandiocultura,20 - 50 ha,4
Avicultura,1 - 5 ha,4
"Bovinocultura de Leite, Mandiocultura",20 - 50 ha,4
"Avicultura, Mandiocultura",10 - 20 ha,4
"Mandiocultura, Olericultura",1 - 5 ha,4
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",50 - 100 ha,4
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,4
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Fruticultura",10 - 20 ha,3
"Avicultura, Suinocultura",1 - 5 ha,3
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",20 - 50 ha,3
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",20 - 50 ha,3
"Avicultura, Suinocultura, Mandiocultura",10 - 20 ha,3
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",20 - 50 ha,3
Olericultura,5 - 10 ha,3
"Bovinocultura de corte, Avicultura, Suinocultura",100 - 200 ha,3
"Avicultura, Mandiocultura, Fruticultura, Olericultura",1 - 5 ha,3
"Bovinocultura de corte, Avicultura, Suinocultura, Culturas Anuais",20 - 50 ha,3
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",100 - 200 ha,3
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",5 - 10 ha,3
"Bovinocultura de corte, Avicultura, Fruticultura",20 - 50 ha,3
"Bovinocultura de corte, Avicultura",1 - 5 ha,3
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,3
Mandiocultura,Até 1 ha,3
"Bovinocultura de Leite, Avicultura, Suinocultura",50 - 100 ha,3
"Mandiocultura, Culturas Anuais",1 - 5 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura, Culturas Anuais",20 - 50 ha,3
"Bovinocultura de corte, Avicultura, Apicultura/meliponicultura",50 - 100 ha,3
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",50 - 100 ha,3
"Bovinocultura de corte, Avicultura, Mandiocultura",10 - 20 ha,3
"Bovinocultura de corte, Avicultura, Suinocultura",10 - 20 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",20 - 50 ha,3
"Bovinocultura de Leite, Avicultura, Suinocultura",20 - 50 ha,3
"Bovinocultura de Leite, Avicultura, Olericultura",20 - 50 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",20 - 50 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",50 - 100 ha,3
"Avicultura, Mandiocultura, Extrativismo Vegetal",20 - 50 ha,3
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,3
"Bovinocultura de Leite, Avicultura",10 - 20 ha,3
"Avicultura, Culturas Anuais",20 - 50 ha,3
"Avicultura, Fruticultura",Até 1 ha,3
"Bovinocultura de corte, Mandiocultura, Fruticultura",20 - 50 ha,3
Bovinocultura de Leite,5 - 10 ha,3
"Avicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,3
"Mandiocultura, Fruticultura, Olericultura",1 - 5 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,3
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura",50 - 100 ha,3
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura",20 - 50 ha,3
"Bovinocultura de corte, Fruticultura",50 - 100 ha,3
"Bovinocultura de corte, Mandiocultura",100 - 200 ha,2
"Bovinocultura de Leite, Avicultura, Culturas Anuais",10 - 20 ha,2
"Mandiocultura, Fruticultura",20 - 50 ha,2
"Bovinocultura de Leite, Pisicultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Culturas Anuais",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Olericultura",10 - 20 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,2
"Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",100 - 200 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Fruticultura",20 - 50 ha,2
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,2
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",1 - 5 ha,2
"Avicultura, Mandiocultura, Olericultura",10 - 20 ha,2
"Bovinocultura de Leite, Avicultura",50 - 100 ha,2
"Mandiocultura, Olericultura",20 - 50 ha,2
"Avicultura, Mandiocultura, Olericultura",1 - 5 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Mandiocultura, Fruticultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",5 - 10 ha,2
"Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,2
"Avicultura, Suinocultura",5 - 10 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,2
"Avicultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",20 - 50 ha,2
"Bovinocultura de Leite, Mandiocultura, Olericultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Mandiocultura",100 - 200 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",5 - 10 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Olericultura",50 - 100 ha,2
"Avicultura, Mandiocultura, Fruticultura, Culturas Anuais",10 - 20 ha,2
"Bovinocultura de Leite, Mandiocultura",50 - 100 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",50 - 100 ha,2
"Pisicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,2
"Avicultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,2
"Mandiocultura, Olericultura",Até 1 ha,2
"Bovinocultura de corte, Fruticultura, Olericultura",10 - 20 ha,2
"Bovinocultura de corte, Avicultura, Fruticultura",50 - 100 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura",20 - 50 ha,2
"Avicultura, Olericultura",5 - 10 ha,2
"Avicultura, Pisicultura",1 - 5 ha,2
"Bovinocultura de corte, Avicultura, Pisicultura",20 - 50 ha,2
Extrativismo Vegetal,Até 1 ha,2
"Mandiocultura, Olericultura",10 - 20 ha,2
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",5 - 10 ha,2
"Avicultura, Suinocultura, Olericultura",1 - 5 ha,2
"Avicultura, Mandiocultura, Olericultura",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",10 - 20 ha,2
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Culturas Anuais",10 - 20 ha,2
"Avicultura, Suinocultura, Mandiocultura",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura",200 - 320 ha,2
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura",100 - 200 ha,2
"Mandiocultura, Fruticultura",1 - 5 ha,2
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura",20 - 50 ha,2
"Bovinocultura de corte, Mandiocultura",1 - 5 ha,2
"Avicultura, Suinocultura, Fruticultura, Extrativismo Vegetal",1 - 5 ha,2
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",100 - 200 ha,2
"Bovinocultura de corte, Mandiocultura",50 - 100 ha,2
"Avicultura, Olericultura, Culturas Anuais",5 - 10 ha,2
"Avicultura, Olericultura",1 - 5 ha,2
"Bovinocultura de Leite, Culturas Anuais",10 - 20 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Olericultura",20 - 50 ha,2
"Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",20 - 50 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",50 - 100 ha,2
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",20 - 50 ha,2
"Bovinocultura de Leite, Pisicultura",20 - 50 ha,2
"Bovinocultura de corte, Mandiocultura, Fruticultura",50 - 100 ha,2
Avicultura,5 - 10 ha,2
"Avicultura, Suinocultura, Mandiocultura, Olericultura",1 - 5 ha,2
"Mandiocultura, Fruticultura",5 - 10 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",20 - 50 ha,2
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",20 - 50 ha,2
"Avicultura, Mandiocultura, Fruticultura",1 - 5 ha,2
"Fruticultura, Olericultura",1 - 5 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",5 - 10 ha,2
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",50 - 100 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",50 - 100 ha,2
Bovinocultura de corte,Acima de 320 ha,2
"Bovinocultura de Leite, Avicultura, Mandiocultura",10 - 20 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",5 - 10 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",1 - 5 ha,2
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",100 - 200 ha,2
"Bovinocultura de corte, Avicultura, Mandiocultura",5 - 10 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",20 - 50 ha,2
"Mandiocultura, Fruticultura",10 - 20 ha,2
"Bovinocultura de corte, Pisicultura",20 - 50 ha,2
"Avicultura, Pisicultura, Mandiocultura, Olericultura",1 - 5 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",100 - 200 ha,2
"Bovinocultura de Leite, Fruticultura",20 - 50 ha,2
"Avicultura, Pisicultura",20 - 50 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",20 - 50 ha,2
"Bovinocultura de corte, Fruticultura",200 - 320 ha,2
"Mandiocultura, Extrativismo Vegetal",200 - 320 ha,2
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",10 - 20 ha,2
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Avicultura, Suinocultura, Olericultura",20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",5 - 10 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de corte, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Mandiocultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",1 - 5 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Olericultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Olericultura",5 - 10 ha,1
"Avicultura, Mandiocultura",50 - 100 ha,1
"Avicultura, Apicultura/meliponicultura, Mandiocultura, Fruticultura, Culturas Anuais",5 - 10 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Mandiocultura",50 - 100 ha,1
"Avicultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Mandiocultura, Extrativismo Vegetal, Cupuaçu",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Fruticultura, Culturas Anuais",50 - 100 ha,1
"Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Apicultura/meliponicultura, Cana -de-açucar",50 - 100 ha,1
"Extrativismo Vegetal, PESCA",200 - 320 ha,1
Pisicultura,20 - 50 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Fruticultura, Olericultura",Até 1 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Fruticultura, Olericultura",20 - 50 ha,1
"Avicultura, Pisicultura, Olericultura",20 - 50 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Pisicultura, Mandiocultura",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Suinocultura",20 - 50 ha,1
"Bovinocultura de Leite, Fruticultura",50 - 100 ha,1
"Bovinocultura de corte, Fruticultura, Extrativismo Vegetal,",100 - 200 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Olericultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Pisicultura, Fruticultura",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Ovinocaprinocultura, Pisicultura, Culturas Anuais",20 - 50 ha,1
"Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",20 - 50 ha,1
"Mandiocultura, Fruticultura, Culturas Anuais",20 - 50 ha,1
"Avicultura, Suinocultura, Fruticultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Milho",20 - 50 ha,1
Mandiocultura,100 - 200 ha,1
"Avicultura, Fruticultura, Olericultura, Culturas Anuais",50 - 100 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Fruticultura",20 - 50 ha,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura",Até 1 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura",20 - 50 ha,1
"Bovinocultura de corte, Mandiocultura, Fruticultura",1 - 5 ha,1
"Suinocultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura",50 - 100 ha,1
"Avicultura, Suinocultura, Fruticultura, Culturas Anuais",10 - 20 ha,1
"Avicultura, Suinocultura, Mandiocultura, cana de açucar",10 - 20 ha,1
"Avicultura, Olericultura",20 - 50 ha,1
"Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, silvicultura",100 - 200 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",10 - 20 ha,1
"Bovinocultura de Leite, Fruticultura, Olericultura",1 - 5 ha,1
"Bovinocultura de Leite, Avicultura, Mandiocultura, Olericultura",10 - 20 ha,1
Culturas Anuais,5 - 10 ha,1
"Bovinocultura de corte, Mandiocultura",10 - 20 ha,1
"Bovinocultura de corte, Ovinocaprinocultura",200 - 320 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1 - 5 ha,1
"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Pisicultura",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",Até 1 ha,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura",20 - 50 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",100 - 200 ha,1
"Suinocultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura de corte, Pisicultura, Mandiocultura, Fruticultura",50 - 100 ha,1
"Bovinocultura de corte, Avicultura, Banana",20 - 50 ha,1
"Mandiocultura, Fruticultura, Olericultura",10 - 20 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",50 - 100 ha,1
Culturas Anuais,20 - 50 ha,1
"Olericultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de Leite, Turismo e artesanato",10 - 20 ha,1
"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Extrativismo Vegetal",100 - 200 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura",100 - 200 ha,1
"Avicultura, Suinocultura",100 - 200 ha,1
"Bovinocultura de corte, Mandiocultura",5 - 10 ha,1
"Avicultura, Apicultura/meliponicultura",1 - 5 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",20 - 50 ha,1
"Avicultura, Extrativismo Vegetal",1 - 5 ha,1
"Mandiocultura, Olericultura, Culturas Anuais",1 - 5 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",50 - 100 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Apicultura/meliponicultura",20 - 50 ha,1
"Mandiocultura, Olericultura, Culturas Anuais",Até 1 ha,1
"Fruticultura, Olericultura",20 - 50 ha,1
Apicultura/meliponicultura,20 - 50 ha,1
"Pisicultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",20 - 50 ha,1
"Avicultura, Fruticultura",1 - 5 ha,1
"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",5 - 10 ha,1
"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Apicultura/meliponicultura, Mandiocultura, Culturas Anuais",20 - 50 ha,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura",20 - 50 ha,1
Olericultura,50 - 100 ha,1
Suinocultura,10 - 20 ha,1
Sem atividade produtiva ainda,5 - 10 ha,1
"Bovinocultura de corte, Avicultura, Apicultura",200 - 320 ha,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",50 - 100 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",100 - 200 ha,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",20 - 50 ha,1
