uso_de_praticas_sustentaveis_,area_da_propriedade__hectares__,regional_,count
"Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Paraiso,4
Adubação,20 - 50 ha,Paraiso,4
Plantio direto,20 - 50 ha,Miracema,4
Aceiros,50 - 100 ha,Miracema,4
"Rotação de Cultura, Aceiros, Adubação",20 - 50 ha,Araguaina,3
Rotação de Cultura,100 - 200 ha,Taguatinga,3
"Aceiros, Calagem, Adubação",20 - 50 ha,Colinas,3
"Rotação de Cultura, Adubação",20 - 50 ha,Paraiso,3
Aceiros,10 - 20 ha,Porto,3
"Aceiros, Adubação",10 - 20 ha,Taguatinga,3
"Aceiros, Adubação",10 - 20 ha,Araguatins,3
Não Usa,10 - 20 ha,Gurupi,3
"Rotação de Cultura, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,3
"Aceiros, Adubação",10 - 20 ha,Miracema,3
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,3
"Adubação verde, Plantio direto",100 - 200 ha,Paraiso,3
"Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Gurupi,3
"Rotação de Cultura, Aceiros",5 - 10 ha,Araguaina,3
"Rotação de Cultura, Aceiros, Recuperação de pastagens",20 - 50 ha,Araguaina,3
Não Usa,Até 1 ha,Paraiso,3
Aceiros,10 - 20 ha,Gurupi,3
Consórcio,10 - 20 ha,Miracema,3
"Aceiros, Plantio direto, Adubação",10 - 20 ha,Araguaina,3
"Aceiros, Recuperação de pastagens",10 - 20 ha,Araguatins,3
"Adubação verde, Plantio direto",Até 1 ha,Paraiso,3
"Aceiros, Calagem, Adubação",5 - 10 ha,Araguaina,3
"Rotação de Cultura, Aceiros",50 - 100 ha,Araguaina,3
"Aceiros, Calagem",10 - 20 ha,Gurupi,3
Adubação,20 - 50 ha,Taguatinga,3
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Araguaina,3
"Aceiros, Adubação",10 - 20 ha,Paraiso,3
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",100 - 200 ha,Taguatinga,3
Adubação,20 - 50 ha,Gurupi,3
"Aceiros, Adubação",20 - 50 ha,Araguaina,3
"Aceiros, Calagem",50 - 100 ha,Taguatinga,3
"Rotação de Cultura, Aceiros, Calagem, Adubação",1 - 5 ha,Araguaina,3
Aceiros,1 - 5 ha,Taguatinga,3
Não Usa,1 - 5 ha,Paraiso,3
"Rotação de Cultura, Adubação",Até 1 ha,Araguatins,3
Calagem,20 - 50 ha,Taguatinga,3
"Adubação verde, Aceiros",1 - 5 ha,Miracema,3
"Aceiros, Calagem",20 - 50 ha,Miracema,3
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",50 - 100 ha,Taguatinga,2
"Rotação de Cultura, Aceiros",10 - 20 ha,Miracema,2
"Curva de nível, Aceiros, Calagem, Adubação",50 - 100 ha,Gurupi,2
Adubação,200 - 320 ha,Paraiso,2
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",50 - 100 ha,Colinas,2
"Adubação verde, Rotação de Cultura, Calagem, Adubação",5 - 10 ha,Taguatinga,2
"Adubação verde, Aceiros",10 - 20 ha,Taguatinga,2
Calagem,50 - 100 ha,Taguatinga,2
"Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Porto,2
Adubação,1 - 5 ha,Gurupi,2
"Adubação verde, Aceiros, Calagem, Consórcio, Adubação",10 - 20 ha,Colinas,2
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",10 - 20 ha,Colinas,2
"Rotação de Cultura, Adubação",20 - 50 ha,Miracema,2
"Aceiros, Calagem, Recuperação de pastagens",20 - 50 ha,Araguaina,2
"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",20 - 50 ha,Araguaina,2
"Curva de nível, Aceiros",20 - 50 ha,Gurupi,2
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",20 - 50 ha,Araguatins,2
"Aceiros, Adubação",1 - 5 ha,Araguatins,2
Aceiros,50 - 100 ha,Gurupi,2
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",10 - 20 ha,Araguatins,2
"Aceiros, Consórcio",5 - 10 ha,Araguatins,2
"Aceiros, Plantio direto, Adubação",50 - 100 ha,Miracema,2
"Adubação verde, Plantio direto",50 - 100 ha,Paraiso,2
"Adubação verde, Rotação de Cultura, Aceiros",20 - 50 ha,Araguaina,2
Não Usa,10 - 20 ha,Paraiso,2
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",10 - 20 ha,Araguatins,2
"Aceiros, Adubação",10 - 20 ha,Araguaina,2
"Aceiros, Calagem, Adubação",1 - 5 ha,Miracema,2
"Aceiros, Calagem, Recuperação de pastagens",50 - 100 ha,Porto,2
"Aceiros, Calagem, Adubação",20 - 50 ha,Taguatinga,2
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto",1 - 5 ha,Araguaina,2
Não Usa,5 - 10 ha,Gurupi,2
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,2
Recuperação de pastagens,20 - 50 ha,Paraiso,2
Não Usa,20 - 50 ha,Colinas,2
"Adubação verde, Adubação",1 - 5 ha,Colinas,2
"Calagem, Adubação",20 - 50 ha,Porto,2
"Reaproveitamento de residuos, Plantio direto, Adubação",10 - 20 ha,Paraiso,2
"Rotação de Cultura, Aceiros",20 - 50 ha,Araguatins,2
"Aceiros, Calagem, Adubação",100 - 200 ha,Colinas,2
"Aceiros, Consórcio",5 - 10 ha,Araguaina,2
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",20 - 50 ha,Miracema,2
"Adubação verde, Plantio direto",5 - 10 ha,Paraiso,2
"Plantio direto, Adubação",10 - 20 ha,Araguaina,2
"Calagem, Consórcio, Adubação",1 - 5 ha,Araguaina,2
"Aceiros, Calagem, Adubação",10 - 20 ha,Colinas,2
Aceiros,Até 1 ha,Araguaina,2
Aceiros,1 - 5 ha,Araguaina,2
"Aceiros, Calagem, Adubação",100 - 200 ha,Miracema,2
Adubação,50 - 100 ha,Paraiso,2
Aceiros,50 - 100 ha,Porto,2
"Rotação de Cultura, Aceiros, Consórcio",20 - 50 ha,Araguatins,2
Adubação,1 - 5 ha,Taguatinga,2
"Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Araguaina,2
"Aceiros, Consórcio, Adubação",1 - 5 ha,Araguaina,2
"Aceiros, Adubação",5 - 10 ha,Miracema,2
"Aceiros, Não Usa",20 - 50 ha,Araguaina,2
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,2
"Plantio direto, Adubação",20 - 50 ha,Taguatinga,2
"Aceiros, Adubação",50 - 100 ha,Miracema,2
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",20 - 50 ha,Paraiso,2
"Aceiros, Adubação",200 - 320 ha,Paraiso,2
"Adubação verde, Plantio direto",20 - 50 ha,Paraiso,2
"Aceiros, Calagem",50 - 100 ha,Paraiso,2
Adubação,10 - 20 ha,Paraiso,2
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",50 - 100 ha,Paraiso,2
Não Usa,20 - 50 ha,Taguatinga,2
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Gurupi,2
"Aceiros, Plantio direto",10 - 20 ha,Araguaina,2
Calagem,20 - 50 ha,Paraiso,2
"Aceiros, Plantio direto",20 - 50 ha,Paraiso,2
Rotação de Cultura,20 - 50 ha,Paraiso,2
Calagem,10 - 20 ha,Araguatins,2
Aceiros,Até 1 ha,Taguatinga,2
"Aceiros, Calagem, Adubação",50 - 100 ha,Paraiso,2
"Rotação de Cultura, Plantio direto, Adubação",20 - 50 ha,Araguaina,2
"Aceiros, Calagem",50 - 100 ha,Miracema,2
"Reaproveitamento de residuos, Aceiros",20 - 50 ha,Paraiso,2
"Rotação de Cultura, Adubação",20 - 50 ha,Gurupi,2
Aceiros,100 - 200 ha,Miracema,2
Aceiros,10 - 20 ha,Taguatinga,2
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",10 - 20 ha,Colinas,2
"Aceiros, Calagem, Adubação",10 - 20 ha,Paraiso,2
"Aceiros, Consórcio, Adubação",20 - 50 ha,Araguatins,2
"Calagem, Recuperação de pastagens, Adubação",100 - 200 ha,Gurupi,2
Aceiros,20 - 50 ha,Colinas,2
"Aceiros, Adubação",50 - 100 ha,Araguaina,2
Consórcio,1 - 5 ha,Araguatins,2
"Rotação de Cultura, Calagem, Adubação",10 - 20 ha,Araguatins,2
"Aceiros, Calagem, Adubação",10 - 20 ha,Porto,2
"Reaproveitamento de residuos, Consórcio",20 - 50 ha,Araguatins,2
Adubação,10 - 20 ha,Araguaina,2
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",20 - 50 ha,Miracema,2
"Reaproveitamento de residuos, Aceiros, Adubação",20 - 50 ha,Paraiso,2
Recuperação de pastagens,20 - 50 ha,Gurupi,2
"Aceiros, Consórcio",10 - 20 ha,Araguatins,2
Reaproveitamento de residuos,1 - 5 ha,Paraiso,2
"Aceiros, Calagem, Adubação",50 - 100 ha,Gurupi,2
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",100 - 200 ha,Paraiso,2
"Rotação de Cultura, Aceiros, Adubação",50 - 100 ha,Miracema,2
"Calagem, Adubação",5 - 10 ha,Colinas,2
"Adubação verde, Rotação de Cultura",50 - 100 ha,Taguatinga,2
"Aceiros, Recuperação de pastagens",50 - 100 ha,Paraiso,2
"Curva de nível, Aceiros, Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,2
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",10 - 20 ha,Taguatinga,2
"Aceiros, Calagem, Recuperação de pastagens",20 - 50 ha,Porto,2
"Aceiros, Adubação",5 - 10 ha,Araguatins,2
"Plantio direto, Adubação",20 - 50 ha,Araguaina,2
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,2
"Adubação verde, Reaproveitamento de residuos",20 - 50 ha,Paraiso,2
"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Colinas,2
Aceiros,1 - 5 ha,Araguatins,2
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio",100 - 200 ha,Gurupi,1
Plantio direto,10 - 20 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros",200 - 320 ha,Taguatinga,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",10 - 20 ha,Araguaina,1
"Rotação de Cultura, Plantio direto",20 - 50 ha,Araguatins,1
"Reaproveitamento de residuos, Adubação",10 - 20 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",20 - 50 ha,Taguatinga,1
"Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Consórcio",20 - 50 ha,Miracema,1
Adubação verde,5 - 10 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",5 - 10 ha,Taguatinga,1
"Adubação verde, Aceiros",10 - 20 ha,Porto,1
"Adubação verde, Adubação",20 - 50 ha,Paraiso,1
"Calagem, Adubação",1 - 5 ha,Miracema,1
"Adubação verde, Plantio direto, Adubação",20 - 50 ha,Araguaina,1
"Aceiros, Adubação",50 - 100 ha,Gurupi,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Araguaina,1
ILP - Integração Lavoura Pecuária,50 - 100 ha,Taguatinga,1
"Aceiros, Calagem, Adubação",100 - 200 ha,Gurupi,1
"Adubação verde, Plantio direto",5 - 10 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",100 - 200 ha,Araguatins,1
"Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Porto,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",200 - 320 ha,Araguaina,1
"Aceiros, Recuperação de pastagens, Adubação",50 - 100 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",20 - 50 ha,Araguaina,1
"Aceiros, Aproveitamento da floresta",20 - 50 ha,Araguatins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Araguatins,1
"Calagem, Adubação",50 - 100 ha,Araguaina,1
"Aceiros, Calagem, Adubação",100 - 200 ha,Araguaina,1
"Reaproveitamento de residuos, Aceiros, Adubação",20 - 50 ha,Araguatins,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",20 - 50 ha,Taguatinga,1
Rotação de Cultura,50 - 100 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",5 - 10 ha,Araguatins,1
"Aceiros, Calagem, Adubação",5 - 10 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",20 - 50 ha,Araguatins,1
"Adubação verde, Plantio direto",10 - 20 ha,Porto,1
"Calagem, Plantio direto, Adubação",10 - 20 ha,Paraiso,1
"Consórcio, Plantio direto, Adubação",1 - 5 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Consórcio, Descarte correto de embalagens",50 - 100 ha,Taguatinga,1
"Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",50 - 100 ha,Paraiso,1
Calagem,20 - 50 ha,Miracema,1
"Reaproveitamento de residuos, Calagem, Adubação",20 - 50 ha,Araguaina,1
Não Usa,1 - 5 ha,Porto,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Plantio direto, Adubação",1 - 5 ha,Araguatins,1
"Rotação de Cultura, Calagem, Adubação",5 - 10 ha,Araguatins,1
"Rotação de Cultura, Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros",Até 1 ha,Araguatins,1
Adubação verde,5 - 10 ha,Porto,1
"Adubação verde, Aceiros, Adubação",10 - 20 ha,Paraiso,1
Adubação verde,20 - 50 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",20 - 50 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",20 - 50 ha,Araguatins,1
Rotação de Cultura,20 - 50 ha,Gurupi,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Calagem",20 - 50 ha,Miracema,1
Não Usa,20 - 50 ha,Araguatins,1
Não Usa,1 - 5 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",20 - 50 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio",20 - 50 ha,Araguaina,1
"Curva de nível, Reaproveitamento de residuos, Recuperação de pastagens, Plantio direto",50 - 100 ha,Gurupi,1
"Adubação verde, Rotação de Cultura, Calagem, Adubação",1 - 5 ha,Araguatins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",5 - 10 ha,Araguaina,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem",1 - 5 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Plantio direto",10 - 20 ha,Araguaina,1
Aceiros,Acima de 320 ha,Paraiso,1
"Rotação de Cultura, Calagem, Adubação",Até 1 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",1 - 5 ha,Araguatins,1
"Aceiros, Calagem, Adubação",1 - 5 ha,Gurupi,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",200 - 320 ha,Taguatinga,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura",5 - 10 ha,Colinas,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto",100 - 200 ha,Araguatins,1
"Consórcio, Adubação",10 - 20 ha,Porto,1
Reaproveitamento de residuos,1 - 5 ha,Porto,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio, Adubação",10 - 20 ha,Porto,1
"Reaproveitamento de residuos, Aceiros, Consórcio",Até 1 ha,Taguatinga,1
"Rotação de Cultura, Calagem",5 - 10 ha,Paraiso,1
"Rotação de Cultura, Adubação",1 - 5 ha,Miracema,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",10 - 20 ha,Gurupi,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",1 - 5 ha,Araguatins,1
"Rotação de Cultura, Aceiros",10 - 20 ha,Araguaina,1
"Aceiros, Consórcio",Até 1 ha,Araguaina,1
"Aceiros, Consórcio, Recuperação de pastagens, Adubação",100 - 200 ha,Paraiso,1
"Rotação de Cultura, Calagem, Adubação",50 - 100 ha,Miracema,1
Rotação de Cultura,1 - 5 ha,Taguatinga,1
Não Usa,5 - 10 ha,Paraiso,1
"Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",20 - 50 ha,Araguaina,1
Aceiros,5 - 10 ha,Gurupi,1
"Aceiros, Descarte correto de embalagens",5 - 10 ha,Araguatins,1
"Rotação de Cultura, Consórcio",10 - 20 ha,Taguatinga,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",200 - 320 ha,Gurupi,1
Rotação de Cultura,5 - 10 ha,Miracema,1
"Reaproveitamento de residuos, Plantio direto, Adubação",100 - 200 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos",1 - 5 ha,Paraiso,1
Adubação,10 - 20 ha,Taguatinga,1
"Rotação de Cultura, Calagem, Adubação",10 - 20 ha,Miracema,1
Plantio direto,1 - 5 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto,",50 - 100 ha,Araguatins,1
"Aceiros, Recuperação de pastagens",1 - 5 ha,Gurupi,1
"Aceiros, Adubação",50 - 100 ha,Araguatins,1
"Reaproveitamento de residuos, Aceiros",1 - 5 ha,Araguaina,1
"Descarte correto de embalagens, Recuperação de pastagens, Adubação",10 - 20 ha,Miracema,1
Plantio direto,20 - 50 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",50 - 100 ha,Miracema,1
"Calagem, Adubação",20 - 50 ha,Gurupi,1
"Adubação verde, Aceiros",20 - 50 ha,Araguaina,1
"Adubação verde, Rotação de Cultura, Aceiros",50 - 100 ha,Taguatinga,1
"Calagem, Recuperação de pastagens, Adubação",50 - 100 ha,Gurupi,1
"Rotação de Cultura, Calagem, Adubação",Até 1 ha,Miracema,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",5 - 10 ha,Porto,1
Calagem,200 - 320 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",1 - 5 ha,Araguaina,1
"Aceiros, Calagem, Plantio direto, Adubação",20 - 50 ha,Gurupi,1
Descarte correto de embalagens,20 - 50 ha,Araguatins,1
"Aceiros, Calagem, Consórcio, Adubação",20 - 50 ha,Paraiso,1
"Aceiros, Plantio direto, Adubação",20 - 50 ha,Araguaina,1
Aceiros,Até 1 ha,Araguatins,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",50 - 100 ha,Porto,1
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto, Adubação",50 - 100 ha,Taguatinga,1
"Rotação de Cultura, Recuperação de pastagens",100 - 200 ha,Paraiso,1
"Aceiros, Recuperação de pastagens",50 - 100 ha,Araguaina,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Adubação",50 - 100 ha,Miracema,1
Aceiros,1 - 5 ha,Miracema,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",5 - 10 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",100 - 200 ha,Taguatinga,1
"Aceiros, Adubação",10 - 20 ha,Gurupi,1
"Aceiros, Descarte correto de embalagens",20 - 50 ha,Gurupi,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",20 - 50 ha,Porto,1
"Adubação verde, Aceiros",50 - 100 ha,Miracema,1
"Adubação verde, Aceiros, Adubação",20 - 50 ha,Miracema,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",100 - 200 ha,Paraiso,1
"Calagem, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Reaproveitamento de residuos, Rotação de Cultura, Consórcio, Adubação",50 - 100 ha,Araguaina,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",100 - 200 ha,Porto,1
"Aceiros, Recuperação de pastagens",5 - 10 ha,Araguatins,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",20 - 50 ha,Paraiso,1
"Aceiros, Calagem, Recuperação de pastagens",20 - 50 ha,Taguatinga,1
"Adubação verde, Plantio direto, Adubação",20 - 50 ha,Paraiso,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Consórcio, Recuperação de pastagens",20 - 50 ha,Porto,1
"Reaproveitamento de residuos, Aceiros, Adubação",20 - 50 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",50 - 100 ha,Porto,1
"Adubação verde, Aceiros",50 - 100 ha,Taguatinga,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",20 - 50 ha,Taguatinga,1
"Curva de nível, Rotação de Cultura, Aceiros, Consórcio, Adubação",20 - 50 ha,Araguaina,1
"Adubação verde, Calagem, Consórcio, Plantio direto, Adubação",5 - 10 ha,Taguatinga,1
"Curva de nível, Rotação de Cultura, Aceiros",50 - 100 ha,Taguatinga,1
"Aceiros, Plantio direto, Adubação",1 - 5 ha,Miracema,1
"Rotação de Cultura, Calagem, Adubação",Até 1 ha,Gurupi,1
"Adubação verde, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",100 - 200 ha,Taguatinga,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros",20 - 50 ha,Miracema,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",20 - 50 ha,Araguaina,1
"Aceiros, Adubação",5 - 10 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Miracema,1
"Adubação verde, Rotação de Cultura, Aceiros",1 - 5 ha,Araguatins,1
Adubação verde,100 - 200 ha,Paraiso,1
"Reaproveitamento de residuos, Aceiros, ILP - Integração Lavoura Pecuária",50 - 100 ha,Araguaina,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",50 - 100 ha,Paraiso,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",50 - 100 ha,Colinas,1
"Adubação verde, Aceiros, Consórcio",20 - 50 ha,Araguaina,1
"Adubação verde, Aceiros",100 - 200 ha,Miracema,1
Rotação de Cultura,Até 1 ha,Araguatins,1
"Aceiros, Calagem",20 - 50 ha,Porto,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",20 - 50 ha,Taguatinga,1
"Rotação de Cultura, Aceiros, Consórcio",50 - 100 ha,Araguatins,1
"Adubação verde, Calagem",10 - 20 ha,Miracema,1
"Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",50 - 100 ha,Miracema,1
"Aceiros, Não Usa",50 - 100 ha,Paraiso,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",20 - 50 ha,Miracema,1
"Plantio direto, Adubação",1 - 5 ha,Miracema,1
"Rotação de Cultura, Plantio direto, Adubação",10 - 20 ha,Araguaina,1
"Descarte correto de embalagens, Adubação",1 - 5 ha,Miracema,1
