municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Bandeirantes do Tocantins,Aração,Pouco degradado,2,Colinas
Bandeirantes do Tocantins,Gradagem,Degradação Média,2,Colinas
Bandeirantes do Tocantins,Gradagem,Pouco degradado,2,Colinas
Bandeirantes do Tocantins,Monocultura,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Monocultura,Pouco degradado,2,Colinas
Bandeirantes do Tocantins,Pastagem nativa,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Queimadas,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Uso de agrotóxicos,Degradação Média,3,Colinas
Bandeirantes do Tocantins,Uso de agrotóxicos,Pouco degradado,3,Colinas
Barrolândia,Aração,Não possui degradação,2,Paraiso
Barrolândia,Aração,Pouco degradado,7,Paraiso
Barrolândia,Gradagem,Não possui degradação,2,Paraiso
Barrolândia,Gradagem,Pouco degradado,7,Paraiso
Barrolândia,Não usa,Degradação Média,1,Paraiso
Barrolândia,Pastagem nativa,Pouco degradado,1,Paraiso
Barrolândia,Plantio convencional,Não possui degradação,1,Paraiso
Barrolândia,Plantio convencional,Pouco degradado,9,Paraiso
Barrolândia,Roça de toco,Não possui degradação,1,Paraiso
Barrolândia,Roça de toco,Pouco degradado,1,Paraiso
Barrolândia,Uso de agrotóxicos,Não possui degradação,1,Paraiso
Barrolândia,Uso de agrotóxicos,Pouco degradado,6,Paraiso
Bom Jesus do Tocantins,Aração,Não possui degradação,3,Miracema
Bom Jesus do Tocantins,Aração,Pouco degradado,2,Miracema
Bom Jesus do Tocantins,Gradagem,Não possui degradação,3,Miracema
Bom Jesus do Tocantins,Gradagem,Pouco degradado,2,Miracema
Bom Jesus do Tocantins,Pastagem nativa,Não possui degradação,1,Miracema
Bom Jesus do Tocantins,Plantio convencional,Não possui degradação,1,Miracema
Bom Jesus do Tocantins,Queimadas,Pouco degradado,1,Miracema
Bom Jesus do Tocantins,Roça de toco,Não possui degradação,1,Miracema
Cachoeirinha,Aração,Pouco degradado,2,Araguatins
Cachoeirinha,Gradagem,Pouco degradado,2,Araguatins
Cachoeirinha,Monocultura,Pouco degradado,1,Araguatins
Cachoeirinha,Pastagem nativa,Pouco degradado,1,Araguatins
Cachoeirinha,Uso de agrotóxicos,Pouco degradado,1,Araguatins
Cariri do Tocantins,Aração,Degradação Média,2,Gurupi
Cariri do Tocantins,Aração,Pouco degradado,2,Gurupi
Cariri do Tocantins,Gradagem,Degradação Média,2,Gurupi
Cariri do Tocantins,Gradagem,Pouco degradado,2,Gurupi
Cariri do Tocantins,Plantio convencional,Degradação Média,2,Gurupi
Cariri do Tocantins,Plantio convencional,Pouco degradado,4,Gurupi
Cariri do Tocantins,Uso de agrotóxicos,Degradação Média,2,Gurupi
Cariri do Tocantins,Uso de agrotóxicos,Pouco degradado,1,Gurupi
Carmolândia,Aração,Não possui degradação,1,Araguína
Carmolândia,Aração,Pouco degradado,1,Araguína
Carmolândia,Gradagem,Não possui degradação,1,Araguína
Carmolândia,Gradagem,Pouco degradado,1,Araguína
Carmolândia,Pastagem nativa,Não possui degradação,1,Araguína
Carmolândia,Pastagem nativa,Pouco degradado,1,Araguína
Carmolândia,Plantio convencional,Pouco degradado,1,Araguína
Carmolândia,Roça de toco,Não possui degradação,1,Araguína
Carmolândia,Roça de toco,Pouco degradado,1,Araguína
Caseara,Aração,Não possui degradação,3,Paraiso
Caseara,Aração,Pouco degradado,1,Paraiso
Caseara,Gradagem,Não possui degradação,3,Paraiso
Caseara,Gradagem,Pouco degradado,1,Paraiso
Caseara,Monocultura,Não possui degradação,1,Paraiso
Caseara,Não usa,Não possui degradação,3,Paraiso
Caseara,Pastagem nativa,Não possui degradação,2,Paraiso
Caseara,Pastagem nativa,Pouco degradado,1,Paraiso
Caseara,Plantio convencional,Não possui degradação,7,Paraiso
Caseara,Roça de toco,Não possui degradação,3,Paraiso
Caseara,Roça de toco,Pouco degradado,1,Paraiso
Caseara,Uso de agrotóxicos,Não possui degradação,2,Paraiso
Caseara,Uso de agrotóxicos,Pouco degradado,1,Paraiso
Centenário,Aração,Não possui degradação,1,Miracema
Centenário,Gradagem,Não possui degradação,1,Miracema
Centenário,Roça de toco,Não possui degradação,1,Miracema
Chapada da Natividade,Aração,Degradação Média,4,Porto Nacional
Chapada da Natividade,Aração,Pouco degradado,5,Porto Nacional
Chapada da Natividade,Gradagem,Degradação Média,4,Porto Nacional
Chapada da Natividade,Gradagem,Pouco degradado,5,Porto Nacional
Chapada da Natividade,Monocultura,Degradação Média,1,Porto Nacional
Chapada da Natividade,Monocultura,Pouco degradado,1,Porto Nacional
Chapada da Natividade,Não usa,Pouco degradado,2,Porto Nacional
Chapada da Natividade,Pastagem nativa,Degradação Média,2,Porto Nacional
Chapada da Natividade,Pastagem nativa,Pouco degradado,2,Porto Nacional
Chapada da Natividade,Plantio convencional,Degradação Média,1,Porto Nacional
Chapada da Natividade,Plantio convencional,Pouco degradado,3,Porto Nacional
Chapada da Natividade,Queimadas,Degradação Média,2,Porto Nacional
Chapada da Natividade,Queimadas,Pouco degradado,3,Porto Nacional
Chapada da Natividade,Roça de toco,Degradação Média,3,Porto Nacional
Chapada da Natividade,Roça de toco,Pouco degradado,4,Porto Nacional
Chapada da Natividade,Uso de agrotóxicos,Pouco degradado,1,Porto Nacional
Chapada de Areia,Aração,Degradação Média,1,Paraiso
Chapada de Areia,Aração,Não possui degradação,3,Paraiso
Chapada de Areia,Aração,Pouco degradado,2,Paraiso
Chapada de Areia,Gradagem,Degradação Média,1,Paraiso
Chapada de Areia,Gradagem,Não possui degradação,3,Paraiso
Chapada de Areia,Gradagem,Pouco degradado,2,Paraiso
Chapada de Areia,Pastagem nativa,Degradação Média,2,Paraiso
Chapada de Areia,Plantio convencional,Degradação Média,6,Paraiso
Chapada de Areia,Plantio convencional,Muito degradado,1,Paraiso
Chapada de Areia,Plantio convencional,Não possui degradação,5,Paraiso
Chapada de Areia,Plantio convencional,Pouco degradado,9,Paraiso
Chapada de Areia,Roça de toco,Muito degradado,1,Paraiso
Chapada de Areia,Uso de agrotóxicos,Não possui degradação,2,Paraiso
Chapada de Areia,Uso de agrotóxicos,Pouco degradado,1,Paraiso
Colméia,Aração,Degradação Média,1,Colinas
Colméia,Aração,Não possui degradação,2,Colinas
Colméia,Aração,Pouco degradado,3,Colinas
Colméia,Gradagem,Degradação Média,1,Colinas
Colméia,Gradagem,Não possui degradação,2,Colinas
Colméia,Gradagem,Pouco degradado,3,Colinas
Colméia,Plantio convencional,Pouco degradado,4,Colinas
Colméia,Queimadas,Pouco degradado,1,Colinas
Colméia,Uso de agrotóxicos,Degradação Média,1,Colinas
Colméia,Uso de agrotóxicos,Não possui degradação,2,Colinas
Colméia,Uso de agrotóxicos,Pouco degradado,3,Colinas
Couto Magalhães,Aração,Degradação Média,1,Colinas
Couto Magalhães,Aração,Não possui degradação,1,Colinas
Couto Magalhães,Aração,Pouco degradado,5,Colinas
Couto Magalhães,Gradagem,Degradação Média,1,Colinas
Couto Magalhães,Gradagem,Não possui degradação,1,Colinas
Couto Magalhães,Gradagem,Pouco degradado,5,Colinas
Couto Magalhães,Monocultura,Degradação Média,1,Colinas
Couto Magalhães,Pastagem nativa,Pouco degradado,3,Colinas
Couto Magalhães,Plantio convencional,Degradação Média,1,Colinas
Couto Magalhães,Plantio convencional,Pouco degradado,5,Colinas
Couto Magalhães,Queimadas,Degradação Média,1,Colinas
Couto Magalhães,Roça de toco,Degradação Média,1,Colinas
Couto Magalhães,Uso de agrotóxicos,Não possui degradação,1,Colinas
Cristalândia,Aração,Degradação Média,2,Paraiso
Cristalândia,Aração,Não possui degradação,6,Paraiso
Cristalândia,Aração,Pouco degradado,8,Paraiso
Cristalândia,Gradagem,Degradação Média,2,Paraiso
Cristalândia,Gradagem,Não possui degradação,6,Paraiso
Cristalândia,Gradagem,Pouco degradado,8,Paraiso
Cristalândia,Não usa,Degradação Média,1,Paraiso
Cristalândia,Não usa,Não possui degradação,1,Paraiso
Cristalândia,Não usa,Pouco degradado,1,Paraiso
Cristalândia,Pastagem nativa,Não possui degradação,2,Paraiso
Cristalândia,Plantio convencional,Não possui degradação,1,Paraiso
Cristalândia,Queimadas,Não possui degradação,1,Paraiso
Cristalândia,Queimadas,Pouco degradado,2,Paraiso
Cristalândia,Uso de agrotóxicos,Degradação Média,1,Paraiso
Cristalândia,Uso de agrotóxicos,Não possui degradação,2,Paraiso
Cristalândia,Uso de agrotóxicos,Pouco degradado,3,Paraiso
Crixás do Tocantins,Aração,Degradação Média,1,Gurupi
Crixás do Tocantins,Gradagem,Degradação Média,1,Gurupi
Crixás do Tocantins,Monocultura,Degradação Média,1,Gurupi
Crixás do Tocantins,Plantio convencional,Degradação Média,2,Gurupi
Crixás do Tocantins,Uso de agrotóxicos,Degradação Média,2,Gurupi
Dianópolis,Aração,Degradação Média,3,Taguatinga do Tocantins
Dianópolis,Aração,Não possui degradação,15,Taguatinga do Tocantins
Dianópolis,Aração,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Controle biológico de pragas e doenças.,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Gradagem,Degradação Média,3,Taguatinga do Tocantins
Dianópolis,Gradagem,Não possui degradação,15,Taguatinga do Tocantins
Dianópolis,Gradagem,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Monocultura,Não possui degradação,1,Taguatinga do Tocantins
Dianópolis,Não usa,Degradação Média,1,Taguatinga do Tocantins
Dianópolis,Não usa,Não possui degradação,1,Taguatinga do Tocantins
Dianópolis,Pastagem nativa,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Pastagem nativa,Não possui degradação,6,Taguatinga do Tocantins
Dianópolis,Pastagem nativa,Pouco degradado,4,Taguatinga do Tocantins
Dianópolis,Plantio convencional,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Plantio convencional,Não possui degradação,11,Taguatinga do Tocantins
Dianópolis,Plantio convencional,Pouco degradado,4,Taguatinga do Tocantins
Dianópolis,Queimadas,Não possui degradação,5,Taguatinga do Tocantins
Dianópolis,Queimadas,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Roça de toco,Não possui degradação,14,Taguatinga do Tocantins
Dianópolis,Roça de toco,Pouco degradado,2,Taguatinga do Tocantins
Dianópolis,Uso de agrotóxicos,Degradação Média,1,Taguatinga do Tocantins
Dianópolis,Uso de agrotóxicos,Não possui degradação,4,Taguatinga do Tocantins
Dianópolis,Uso de agrotóxicos,Pouco degradado,1,Taguatinga do Tocantins
Divinópolis do Tocantins,Aração,Degradação Média,1,Paraiso
Divinópolis do Tocantins,Aração,Não possui degradação,9,Paraiso
Divinópolis do Tocantins,Aração,Pouco degradado,10,Paraiso
Divinópolis do Tocantins,Gradagem,Degradação Média,1,Paraiso
Divinópolis do Tocantins,Gradagem,Não possui degradação,9,Paraiso
Divinópolis do Tocantins,Gradagem,Pouco degradado,10,Paraiso
Divinópolis do Tocantins,Não usa,Pouco degradado,1,Paraiso
Divinópolis do Tocantins,Pastagem nativa,Não possui degradação,2,Paraiso
Divinópolis do Tocantins,Pastagem nativa,Pouco degradado,4,Paraiso
Divinópolis do Tocantins,Plantio convencional,Não possui degradação,9,Paraiso
Divinópolis do Tocantins,Plantio convencional,Pouco degradado,4,Paraiso
Divinópolis do Tocantins,Roça de toco,Não possui degradação,1,Paraiso
Divinópolis do Tocantins,Uso de agrotóxicos,Não possui degradação,2,Paraiso
Divinópolis do Tocantins,Uso de agrotóxicos,Pouco degradado,2,Paraiso
Dueré,Aração,Degradação Média,1,Gurupi
Dueré,Aração,Muito degradado,1,Gurupi
Dueré,Gradagem,Degradação Média,1,Gurupi
Dueré,Gradagem,Muito degradado,1,Gurupi
Dueré,Pastagem nativa,Muito degradado,1,Gurupi
Dueré,Plantio convencional,Degradação Média,2,Gurupi
Dueré,Plantio convencional,Não possui degradação,1,Gurupi
Dueré,Plantio convencional,Pouco degradado,1,Gurupi
Esperantina,Aração,Não possui degradação,1,Araguatins
Esperantina,Gradagem,Não possui degradação,1,Araguatins
Esperantina,Monocultura,Não possui degradação,1,Araguatins
Esperantina,Não usa,Não possui degradação,1,Araguatins
Esperantina,Pastagem nativa,Não possui degradação,1,Araguatins
Esperantina,Plantio convencional,Não possui degradação,1,Araguatins
Esperantina,Queimadas,Não possui degradação,1,Araguatins
Esperantina,Roça de toco,Não possui degradação,2,Araguatins
Figueirópolis,Aração,Não possui degradação,1,Gurupi
Figueirópolis,Aração,Pouco degradado,5,Gurupi
Figueirópolis,Gradagem,Não possui degradação,1,Gurupi
Figueirópolis,Gradagem,Pouco degradado,5,Gurupi
Figueirópolis,Monocultura,Pouco degradado,3,Gurupi
Figueirópolis,Plantio convencional,Não possui degradação,4,Gurupi
Figueirópolis,Plantio convencional,Pouco degradado,5,Gurupi
Figueirópolis,Uso de agrotóxicos,Não possui degradação,3,Gurupi
Figueirópolis,Uso de agrotóxicos,Pouco degradado,5,Gurupi
Filadélfia,Aração,Degradação Média,3,Araguína
Filadélfia,Aração,Muito degradado,1,Araguína
Filadélfia,Aração,Não possui degradação,3,Araguína
Filadélfia,Aração,Pouco degradado,6,Araguína
Filadélfia,Gradagem,Degradação Média,3,Araguína
Filadélfia,Gradagem,Muito degradado,1,Araguína
Filadélfia,Gradagem,Não possui degradação,3,Araguína
Filadélfia,Gradagem,Pouco degradado,6,Araguína
Filadélfia,Monocultura,Degradação Média,1,Araguína
Filadélfia,Monocultura,Não possui degradação,3,Araguína
Filadélfia,Monocultura,Pouco degradado,4,Araguína
Filadélfia,Não usa,Degradação Média,1,Araguína
Filadélfia,Não usa,Muito degradado,1,Araguína
Filadélfia,Não usa,Não possui degradação,1,Araguína
Filadélfia,Plantio convencional,Degradação Média,2,Araguína
Filadélfia,Plantio convencional,Muito degradado,2,Araguína
Filadélfia,Plantio convencional,Não possui degradação,1,Araguína
Filadélfia,Plantio convencional,Pouco degradado,5,Araguína
Filadélfia,Queimadas,Não possui degradação,3,Araguína
Filadélfia,Queimadas,Pouco degradado,3,Araguína
Filadélfia,Roça de toco,Não possui degradação,1,Araguína
Filadélfia,Roça de toco,Pouco degradado,2,Araguína
Filadélfia,Uso de agrotóxicos,Não possui degradação,3,Araguína
Filadélfia,Uso de agrotóxicos,Pouco degradado,9,Araguína
Fortaleza do Tabocão,Aração,Pouco degradado,3,Miracema
Fortaleza do Tabocão,Gradagem,Pouco degradado,3,Miracema
Fortaleza do Tabocão,Plantio convencional,Pouco degradado,1,Miracema
Fortaleza do Tabocão,Uso de agrotóxicos,Pouco degradado,6,Miracema
Fátima,Aração,Degradação Média,3,Porto Nacional
Fátima,Aração,Pouco degradado,3,Porto Nacional
Fátima,Gradagem,Degradação Média,3,Porto Nacional
Fátima,Gradagem,Pouco degradado,3,Porto Nacional
Fátima,Monocultura,Degradação Média,1,Porto Nacional
Fátima,Monocultura,Pouco degradado,1,Porto Nacional
Fátima,Pastagem nativa,Pouco degradado,1,Porto Nacional
Fátima,Plantio convencional,Degradação Média,1,Porto Nacional
Fátima,Plantio convencional,Pouco degradado,2,Porto Nacional
Fátima,Uso de agrotóxicos,Degradação Média,2,Porto Nacional
Goiatins,Aração,Pouco degradado,7,Araguína
Goiatins,Gradagem,Pouco degradado,7,Araguína
Goiatins,Pastagem nativa,Pouco degradado,7,Araguína
Goiatins,Plantio convencional,Pouco degradado,4,Araguína
Goiatins,Queimadas,Pouco degradado,6,Araguína
Goiatins,Roça de toco,Pouco degradado,1,Araguína
Goiatins,Uso de agrotóxicos,Pouco degradado,1,Araguína
Guaraí,Aração,Não possui degradação,8,Colinas
Guaraí,Aração,Pouco degradado,6,Colinas
Guaraí,Gradagem,Não possui degradação,8,Colinas
Guaraí,Gradagem,Pouco degradado,6,Colinas
Guaraí,Monocultura,Não possui degradação,2,Colinas
Guaraí,Não usa,Não possui degradação,3,Colinas
Guaraí,Pastagem nativa,Pouco degradado,3,Colinas
Guaraí,Plantio convencional,Não possui degradação,2,Colinas
Guaraí,Plantio convencional,Pouco degradado,4,Colinas
Guaraí,Queimadas,Pouco degradado,1,Colinas
Guaraí,Roça de toco,Pouco degradado,2,Colinas
Guaraí,Uso de agrotóxicos,Não possui degradação,7,Colinas
Guaraí,Uso de agrotóxicos,Pouco degradado,7,Colinas
Gurupi,Aração,Degradação Média,1,Gurupi
Gurupi,Aração,Não possui degradação,4,Gurupi
Gurupi,Aração,Pouco degradado,9,Gurupi
Gurupi,Gradagem,Degradação Média,1,Gurupi
Gurupi,Gradagem,Não possui degradação,4,Gurupi
Gurupi,Gradagem,Pouco degradado,9,Gurupi
Gurupi,Pastagem nativa,Degradação Média,1,Gurupi
Gurupi,Plantio convencional,Degradação Média,2,Gurupi
Gurupi,Plantio convencional,Não possui degradação,2,Gurupi
Gurupi,Plantio convencional,Pouco degradado,7,Gurupi
Gurupi,Uso de agrotóxicos,Não possui degradação,1,Gurupi
Ipueiras,Aração,Degradação Média,1,Porto Nacional
Ipueiras,Aração,Não possui degradação,1,Porto Nacional
Ipueiras,Aração,Pouco degradado,2,Porto Nacional
