municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional
Araguaína,Recuperação de pastagens,Pouco degradado,7,Araguína
Araguaína,Rotação de cultura,Não possui degradação,1,Araguína
Araguaína,Rotação de cultura,Pouco degradado,5,Araguína
Aurora do Tocantins,Aceiros,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Aceiros,Pouco degradado,4,Taguatinga do Tocantins
Aurora do Tocantins,Adubação,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Adubação,Pouco degradado,2,Taguatinga do Tocantins
Aurora do Tocantins,Calagem,Pouco degradado,1,Taguatinga do Tocantins
Aurora do Tocantins,Consórcio,Pouco degradado,1,Taguatinga do Tocantins
Aurora do Tocantins,Reaproveitamento de residuos,Não possui degradação,1,Taguatinga do Tocantins
Aurora do Tocantins,Reaproveitamento de residuos,Pouco degradado,1,Taguatinga do Tocantins
Axixá do Tocantins,Aceiros,Degradação Média,1,Araguatins
Axixá do Tocantins,Aceiros,Não possui degradação,4,Araguatins
Axixá do Tocantins,Aceiros,Pouco degradado,8,Araguatins
Axixá do Tocantins,Adubação,Não possui degradação,2,Araguatins
Axixá do Tocantins,Adubação,Pouco degradado,4,Araguatins
Axixá do Tocantins,Calagem,Não possui degradação,5,Araguatins
Axixá do Tocantins,Calagem,Pouco degradado,3,Araguatins
Axixá do Tocantins,Descarte correto de embalagens,Não possui degradação,2,Araguatins
Axixá do Tocantins,Descarte correto de embalagens,Pouco degradado,1,Araguatins
Axixá do Tocantins,Recuperação de pastagens,Não possui degradação,2,Araguatins
Axixá do Tocantins,Recuperação de pastagens,Pouco degradado,4,Araguatins
Axixá do Tocantins,Rotação de cultura,Não possui degradação,3,Araguatins
Axixá do Tocantins,Rotação de cultura,Pouco degradado,4,Araguatins
Babaçulândia,Aceiros,Degradação Média,1,Araguína
Babaçulândia,Aceiros,Pouco degradado,4,Araguína
Babaçulândia,Adubação verde,Degradação Média,1,Araguína
Babaçulândia,Adubação verde,Pouco degradado,1,Araguína
Babaçulândia,Consórcio,Degradação Média,1,Araguína
Babaçulândia,Consórcio,Pouco degradado,1,Araguína
Babaçulândia,Plantio direto,Degradação Média,1,Araguína
Babaçulândia,Plantio direto,Pouco degradado,4,Araguína
Babaçulândia,Reaproveitamento de residuos,Degradação Média,1,Araguína
Babaçulândia,Reaproveitamento de residuos,Pouco degradado,1,Araguína
Babaçulândia,Recuperação de pastagens,Degradação Média,1,Araguína
Babaçulândia,Recuperação de pastagens,Pouco degradado,4,Araguína
Babaçulândia,Rotação de cultura,Degradação Média,1,Araguína
Babaçulândia,Rotação de cultura,Pouco degradado,4,Araguína
Bandeirantes do Tocantins,Aceiros,Degradação Média,3,Colinas
Bandeirantes do Tocantins,Aceiros,Pouco degradado,1,Colinas
Bandeirantes do Tocantins,Adubação,Degradação Média,2,Colinas
Bandeirantes do Tocantins,Consórcio,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Descarte correto de embalagens,Degradação Média,3,Colinas
Bandeirantes do Tocantins,Descarte correto de embalagens,Pouco degradado,2,Colinas
Bandeirantes do Tocantins,Não usa,Pouco degradado,1,Colinas
Bandeirantes do Tocantins,Recuperação de pastagens,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Rotação de cultura,Degradação Média,1,Colinas
Bandeirantes do Tocantins,Rotação de cultura,Pouco degradado,1,Colinas
Barrolândia,Aceiros,Degradação Média,1,Paraiso
Barrolândia,Aceiros,Não possui degradação,2,Paraiso
Barrolândia,Aceiros,Pouco degradado,8,Paraiso
Barrolândia,Adubação,Não possui degradação,1,Paraiso
Barrolândia,Adubação,Pouco degradado,3,Paraiso
Barrolândia,Calagem,Pouco degradado,1,Paraiso
Barrolândia,Consórcio,Pouco degradado,1,Paraiso
Barrolândia,Descarte correto de embalagens,Não possui degradação,1,Paraiso
Barrolândia,Descarte correto de embalagens,Pouco degradado,4,Paraiso
Barrolândia,Não usa,Degradação Média,1,Paraiso
Barrolândia,Plantio direto,Pouco degradado,3,Paraiso
Barrolândia,Recuperação de pastagens,Não possui degradação,1,Paraiso
Barrolândia,Recuperação de pastagens,Pouco degradado,9,Paraiso
Bom Jesus do Tocantins,Aceiros,Não possui degradação,2,Miracema
Bom Jesus do Tocantins,Aceiros,Pouco degradado,1,Miracema
Bom Jesus do Tocantins,Adubação,Não possui degradação,3,Miracema
Bom Jesus do Tocantins,Adubação,Pouco degradado,1,Miracema
Bom Jesus do Tocantins,Adubação verde,Não possui degradação,1,Miracema
Bom Jesus do Tocantins,Adubação verde,Pouco degradado,1,Miracema
Bom Jesus do Tocantins,Plantio direto,Não possui degradação,1,Miracema
Bom Jesus do Tocantins,Plantio direto,Pouco degradado,1,Miracema
Bom Jesus do Tocantins,Reaproveitamento de residuos,Não possui degradação,1,Miracema
Bom Jesus do Tocantins,Rotação de cultura,Não possui degradação,1,Miracema
Cachoeirinha,Aceiros,Pouco degradado,1,Araguatins
Cachoeirinha,Adubação,Pouco degradado,1,Araguatins
Cachoeirinha,Calagem,Pouco degradado,1,Araguatins
Cachoeirinha,Consórcio,Pouco degradado,1,Araguatins
Cachoeirinha,Descarte correto de embalagens,Pouco degradado,1,Araguatins
Cachoeirinha,Reaproveitamento de residuos,Pouco degradado,1,Araguatins
Cachoeirinha,Recuperação de pastagens,Pouco degradado,2,Araguatins
Cachoeirinha,Rotação de cultura,Pouco degradado,1,Araguatins
Cariri do Tocantins,Aceiros,Degradação Média,2,Gurupi
Cariri do Tocantins,Aceiros,Pouco degradado,2,Gurupi
Cariri do Tocantins,Adubação,Degradação Média,2,Gurupi
Cariri do Tocantins,Adubação,Pouco degradado,1,Gurupi
Cariri do Tocantins,Calagem,Degradação Média,2,Gurupi
Cariri do Tocantins,Calagem,Pouco degradado,3,Gurupi
Cariri do Tocantins,Consórcio,Pouco degradado,1,Gurupi
Cariri do Tocantins,Curva de nível,Pouco degradado,1,Gurupi
Cariri do Tocantins,Recuperação de pastagens,Pouco degradado,3,Gurupi
Cariri do Tocantins,Rotação de cultura,Degradação Média,1,Gurupi
Cariri do Tocantins,Rotação de cultura,Pouco degradado,2,Gurupi
Carmolândia,Aceiros,Não possui degradação,2,Araguína
Carmolândia,Aceiros,Pouco degradado,1,Araguína
Carmolândia,Plantio direto,Não possui degradação,1,Araguína
Caseara,Aceiros,Não possui degradação,4,Paraiso
Caseara,Aceiros,Pouco degradado,1,Paraiso
Caseara,Adubação,Não possui degradação,5,Paraiso
Caseara,Adubação,Pouco degradado,1,Paraiso
Caseara,Adubação verde,Não possui degradação,1,Paraiso
Caseara,Adubação verde,Pouco degradado,1,Paraiso
Caseara,Calagem,Não possui degradação,1,Paraiso
Caseara,Não usa,Não possui degradação,5,Paraiso
Caseara,Reaproveitamento de residuos,Não possui degradação,3,Paraiso
Caseara,Rotação de cultura,Não possui degradação,3,Paraiso
Centenário,Aceiros,Não possui degradação,1,Miracema
Centenário,Reaproveitamento de residuos,Não possui degradação,1,Miracema
Centenário,Rotação de cultura,Não possui degradação,1,Miracema
Chapada da Natividade,Aceiros,Degradação Média,4,Porto Nacional
Chapada da Natividade,Aceiros,Pouco degradado,8,Porto Nacional
Chapada da Natividade,Adubação,Degradação Média,3,Porto Nacional
Chapada da Natividade,Adubação,Pouco degradado,4,Porto Nacional
Chapada da Natividade,Adubação verde,Degradação Média,1,Porto Nacional
Chapada da Natividade,Adubação verde,Pouco degradado,4,Porto Nacional
Chapada da Natividade,Calagem,Pouco degradado,3,Porto Nacional
Chapada da Natividade,Outros,Pouco degradado,1,Porto Nacional
Chapada da Natividade,Recuperação de pastagens,Degradação Média,4,Porto Nacional
Chapada da Natividade,Recuperação de pastagens,Pouco degradado,4,Porto Nacional
Chapada da Natividade,Rotação de cultura,Degradação Média,4,Porto Nacional
Chapada da Natividade,Rotação de cultura,Pouco degradado,4,Porto Nacional
Chapada de Areia,Aceiros,Degradação Média,5,Paraiso
Chapada de Areia,Aceiros,Pouco degradado,5,Paraiso
Chapada de Areia,Adubação,Degradação Média,1,Paraiso
Chapada de Areia,Adubação,Não possui degradação,2,Paraiso
Chapada de Areia,Adubação,Pouco degradado,2,Paraiso
Chapada de Areia,Adubação verde,Não possui degradação,3,Paraiso
Chapada de Areia,Adubação verde,Pouco degradado,4,Paraiso
Chapada de Areia,Calagem,Não possui degradação,1,Paraiso
Chapada de Areia,Calagem,Pouco degradado,1,Paraiso
Chapada de Areia,Consórcio,Não possui degradação,1,Paraiso
Chapada de Areia,Plantio direto,Degradação Média,1,Paraiso
Chapada de Areia,Plantio direto,Muito degradado,1,Paraiso
Chapada de Areia,Plantio direto,Não possui degradação,6,Paraiso
Chapada de Areia,Plantio direto,Pouco degradado,2,Paraiso
Chapada de Areia,Recuperação de pastagens,Pouco degradado,1,Paraiso
Chapada de Areia,Rotação de cultura,Degradação Média,1,Paraiso
Chapada de Areia,Rotação de cultura,Não possui degradação,1,Paraiso
Colméia,Aceiros,Degradação Média,1,Colinas
Colméia,Aceiros,Não possui degradação,2,Colinas
Colméia,Aceiros,Pouco degradado,3,Colinas
Colméia,Adubação,Não possui degradação,2,Colinas
Colméia,Adubação,Pouco degradado,4,Colinas
Colméia,Adubação verde,Pouco degradado,4,Colinas
Colméia,Calagem,Não possui degradação,2,Colinas
Colméia,Calagem,Pouco degradado,2,Colinas
Colméia,Curva de nível,Pouco degradado,2,Colinas
Colméia,Reaproveitamento de residuos,Não possui degradação,2,Colinas
Colméia,Rotação de cultura,Pouco degradado,2,Colinas
Couto Magalhães,Aceiros,Pouco degradado,5,Colinas
Couto Magalhães,Adubação,Não possui degradação,1,Colinas
Couto Magalhães,Adubação,Pouco degradado,5,Colinas
Couto Magalhães,Adubação verde,Degradação Média,1,Colinas
Couto Magalhães,Adubação verde,Não possui degradação,1,Colinas
Couto Magalhães,Adubação verde,Pouco degradado,5,Colinas
Couto Magalhães,Calagem,Não possui degradação,1,Colinas
Couto Magalhães,Calagem,Pouco degradado,5,Colinas
Couto Magalhães,Consórcio,Pouco degradado,1,Colinas
Couto Magalhães,Curva de nível,Degradação Média,1,Colinas
Couto Magalhães,Curva de nível,Não possui degradação,1,Colinas
Couto Magalhães,Descarte correto de embalagens,Pouco degradado,1,Colinas
Couto Magalhães,Ilp - integração lavoura pecuária,Não possui degradação,1,Colinas
Couto Magalhães,Plantio direto,Não possui degradação,1,Colinas
Couto Magalhães,Plantio direto,Pouco degradado,3,Colinas
Couto Magalhães,Reaproveitamento de residuos,Degradação Média,1,Colinas
Couto Magalhães,Reaproveitamento de residuos,Pouco degradado,5,Colinas
Couto Magalhães,Recuperação de pastagens,Não possui degradação,1,Colinas
Couto Magalhães,Recuperação de pastagens,Pouco degradado,4,Colinas
Couto Magalhães,Rotação de cultura,Degradação Média,1,Colinas
Couto Magalhães,Rotação de cultura,Não possui degradação,1,Colinas
Couto Magalhães,Rotação de cultura,Pouco degradado,5,Colinas
Cristalândia,Aceiros,Degradação Média,2,Paraiso
Cristalândia,Aceiros,Não possui degradação,8,Paraiso
Cristalândia,Aceiros,Pouco degradado,7,Paraiso
Cristalândia,Adubação,Não possui degradação,3,Paraiso
Cristalândia,Adubação verde,Não possui degradação,1,Paraiso
Cristalândia,Calagem,Degradação Média,1,Paraiso
Cristalândia,Calagem,Não possui degradação,2,Paraiso
Cristalândia,Calagem,Pouco degradado,1,Paraiso
Cristalândia,Não usa,Não possui degradação,1,Paraiso
Cristalândia,Não usa,Pouco degradado,1,Paraiso
Cristalândia,Plantio direto,Não possui degradação,1,Paraiso
Cristalândia,Plantio direto,Pouco degradado,1,Paraiso
Cristalândia,Reaproveitamento de residuos,Degradação Média,1,Paraiso
Cristalândia,Reaproveitamento de residuos,Não possui degradação,2,Paraiso
Cristalândia,Reaproveitamento de residuos,Pouco degradado,2,Paraiso
Cristalândia,Rotação de cultura,Não possui degradação,1,Paraiso
Crixás do Tocantins,Adubação,Degradação Média,1,Gurupi
Crixás do Tocantins,Calagem,Degradação Média,1,Gurupi
Crixás do Tocantins,Consórcio,Degradação Média,1,Gurupi
Crixás do Tocantins,Não usa,Degradação Média,1,Gurupi
Dianópolis,Aceiros,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Aceiros,Não possui degradação,15,Taguatinga do Tocantins
Dianópolis,Aceiros,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Adubação,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Adubação,Não possui degradação,11,Taguatinga do Tocantins
Dianópolis,Adubação,Pouco degradado,4,Taguatinga do Tocantins
Dianópolis,Adubação verde,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Adubação verde,Não possui degradação,4,Taguatinga do Tocantins
Dianópolis,Adubação verde,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Calagem,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Calagem,Não possui degradação,13,Taguatinga do Tocantins
Dianópolis,Calagem,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Consórcio,Degradação Média,1,Taguatinga do Tocantins
Dianópolis,Consórcio,Não possui degradação,5,Taguatinga do Tocantins
Dianópolis,Consórcio,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Curva de nível,Não possui degradação,2,Taguatinga do Tocantins
Dianópolis,Curva de nível,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Floresta,Não possui degradação,1,Taguatinga do Tocantins
Dianópolis,Ilp - integração lavoura pecuária,Não possui degradação,1,Taguatinga do Tocantins
Dianópolis,Ilp - integração lavoura pecuária,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Ilpf - integração lavoura pecuária,Não possui degradação,1,Taguatinga do Tocantins
Dianópolis,Não usa,Não possui degradação,2,Taguatinga do Tocantins
Dianópolis,Plantio direto,Degradação Média,1,Taguatinga do Tocantins
Dianópolis,Plantio direto,Não possui degradação,4,Taguatinga do Tocantins
Dianópolis,Plantio direto,Pouco degradado,3,Taguatinga do Tocantins
Dianópolis,Reaproveitamento de residuos,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Reaproveitamento de residuos,Não possui degradação,3,Taguatinga do Tocantins
Dianópolis,Reaproveitamento de residuos,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Recuperação de pastagens,Degradação Média,1,Taguatinga do Tocantins
Dianópolis,Recuperação de pastagens,Não possui degradação,3,Taguatinga do Tocantins
Dianópolis,Recuperação de pastagens,Pouco degradado,1,Taguatinga do Tocantins
Dianópolis,Rotação de cultura,Degradação Média,2,Taguatinga do Tocantins
Dianópolis,Rotação de cultura,Não possui degradação,5,Taguatinga do Tocantins
Dianópolis,Rotação de cultura,Pouco degradado,2,Taguatinga do Tocantins
Divinópolis do Tocantins,Aceiros,Não possui degradação,10,Paraiso
Divinópolis do Tocantins,Aceiros,Pouco degradado,8,Paraiso
Divinópolis do Tocantins,Adubação,Degradação Média,1,Paraiso
Divinópolis do Tocantins,Adubação,Não possui degradação,7,Paraiso
Divinópolis do Tocantins,Adubação,Pouco degradado,4,Paraiso
Divinópolis do Tocantins,Calagem,Não possui degradação,8,Paraiso
Divinópolis do Tocantins,Calagem,Pouco degradado,4,Paraiso
Divinópolis do Tocantins,Consórcio,Não possui degradação,2,Paraiso
Divinópolis do Tocantins,Curva de nível,Não possui degradação,1,Paraiso
Divinópolis do Tocantins,Descarte correto de embalagens,Não possui degradação,1,Paraiso
Divinópolis do Tocantins,Descarte correto de embalagens,Pouco degradado,1,Paraiso
Divinópolis do Tocantins,Não usa,Não possui degradação,1,Paraiso
Divinópolis do Tocantins,Plantio direto,Não possui degradação,4,Paraiso
Divinópolis do Tocantins,Plantio direto,Pouco degradado,1,Paraiso
Divinópolis do Tocantins,Reaproveitamento de residuos,Não possui degradação,2,Paraiso
Divinópolis do Tocantins,Reaproveitamento de residuos,Pouco degradado,2,Paraiso
Divinópolis do Tocantins,Recuperação de pastagens,Não possui degradação,3,Paraiso
Divinópolis do Tocantins,Recuperação de pastagens,Pouco degradado,4,Paraiso
Divinópolis do Tocantins,Rotação de cultura,Não possui degradação,1,Paraiso
Divinópolis do Tocantins,Rotação de cultura,Pouco degradado,2,Paraiso
Dueré,Aceiros,Degradação Média,1,Gurupi
Dueré,Aceiros,Muito degradado,1,Gurupi
Dueré,Aceiros,Pouco degradado,1,Gurupi
Dueré,Adubação,Degradação Média,1,Gurupi
Dueré,Adubação,Muito degradado,1,Gurupi
Dueré,Adubação,Não possui degradação,1,Gurupi
Dueré,Adubação,Pouco degradado,1,Gurupi
Dueré,Calagem,Pouco degradado,1,Gurupi
Dueré,Não usa,Degradação Média,1,Gurupi
Esperantina,Aceiros,Não possui degradação,1,Araguatins
Esperantina,Adubação verde,Não possui degradação,1,Araguatins
Esperantina,Consórcio,Não possui degradação,1,Araguatins
Esperantina,Floresta,Não possui degradação,1,Araguatins
Esperantina,Ilp - integração lavoura pecuária,Não possui degradação,1,Araguatins
Esperantina,Ilpf - integração lavoura pecuária,Não possui degradação,1,Araguatins
Esperantina,Plantio direto,Não possui degradação,2,Araguatins
Esperantina,Reaproveitamento de residuos,Não possui degradação,1,Araguatins
Esperantina,Recuperação de pastagens,Não possui degradação,1,Araguatins
Esperantina,Rotação de cultura,Não possui degradação,2,Araguatins
Figueirópolis,Aceiros,Não possui degradação,3,Gurupi
Figueirópolis,Aceiros,Pouco degradado,2,Gurupi
Figueirópolis,Adubação,Não possui degradação,4,Gurupi
Figueirópolis,Adubação,Pouco degradado,5,Gurupi
Figueirópolis,Calagem,Pouco degradado,4,Gurupi
Figueirópolis,Plantio direto,Pouco degradado,1,Gurupi
Figueirópolis,Recuperação de pastagens,Pouco degradado,3,Gurupi
Figueirópolis,Rotação de cultura,Não possui degradação,1,Gurupi
Filadélfia,Aceiros,Degradação Média,3,Araguína
Filadélfia,Aceiros,Muito degradado,1,Araguína
Filadélfia,Aceiros,Não possui degradação,4,Araguína
Filadélfia,Aceiros,Pouco degradado,11,Araguína
Filadélfia,Adubação,Degradação Média,1,Araguína
Filadélfia,Adubação,Muito degradado,1,Araguína
Filadélfia,Adubação,Pouco degradado,1,Araguína
Filadélfia,Consórcio,Não possui degradação,1,Araguína
Filadélfia,Descarte correto de embalagens,Não possui degradação,2,Araguína
Filadélfia,Descarte correto de embalagens,Pouco degradado,1,Araguína
Filadélfia,Não usa,Degradação Média,1,Araguína
Filadélfia,Não usa,Muito degradado,1,Araguína
Filadélfia,Reaproveitamento de residuos,Pouco degradado,1,Araguína
Filadélfia,Recuperação de pastagens,Não possui degradação,3,Araguína
Filadélfia,Recuperação de pastagens,Pouco degradado,1,Araguína
Fortaleza do Tabocão,Aceiros,Pouco degradado,6,Miracema
Fortaleza do Tabocão,Adubação,Pouco degradado,6,Miracema
Fortaleza do Tabocão,Adubação verde,Pouco degradado,2,Miracema
Fortaleza do Tabocão,Calagem,Pouco degradado,4,Miracema
Fortaleza do Tabocão,Descarte correto de embalagens,Pouco degradado,3,Miracema
Fortaleza do Tabocão,Reaproveitamento de residuos,Pouco degradado,5,Miracema
Fortaleza do Tabocão,Recuperação de pastagens,Pouco degradado,2,Miracema
Fátima,Aceiros,Degradação Média,1,Porto Nacional
Fátima,Aceiros,Pouco degradado,1,Porto Nacional
Fátima,Adubação,Degradação Média,3,Porto Nacional
Fátima,Adubação,Pouco degradado,2,Porto Nacional
Fátima,Calagem,Degradação Média,3,Porto Nacional
Fátima,Calagem,Pouco degradado,3,Porto Nacional
Fátima,Recuperação de pastagens,Degradação Média,1,Porto Nacional
Goiatins,Aceiros,Pouco degradado,8,Araguína
Goiatins,Adubação,Pouco degradado,1,Araguína
Goiatins,Calagem,Pouco degradado,7,Araguína
