municipio_ibge,uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional,degradacao_ord,pratica_aração,pratica_controle biológico de pragas e doenças.,pratica_gradagem,pratica_monocultura,pratica_não usa,pratica_pastagem nativa,pratica_plantio convencional,pratica_queimadas,pratica_roça de toco,pratica_uso de agrotóxicos,n_praticas_linha
Aliança do Tocantins,plantio convencional,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,True,False,False,False,1
Aliança do Tocantins,plantio convencional,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,True,False,False,False,1
Aliança do Tocantins,queimadas,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,True,False,False,1
Aliança do Tocantins,uso de agrotóxicos,degradacao media,2,Gurupi,2,False,False,False,False,False,False,False,False,False,True,1
Aliança do Tocantins,uso de agrotóxicos,muito degradado,1,Gurupi,3,False,False,False,False,False,False,False,False,False,True,1
Aliança do Tocantins,uso de agrotóxicos,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,False,False,True,1
Aliança do Tocantins,uso de agrotóxicos,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,True,1
Almas,aração,nao possui degradacao,4,Taguatinga do Tocantins,0,True,False,False,False,False,False,False,False,False,False,1
Almas,gradagem,nao possui degradacao,4,Taguatinga do Tocantins,0,False,False,True,False,False,False,False,False,False,False,1
Almas,pastagem nativa,nao possui degradacao,4,Taguatinga do Tocantins,0,False,False,False,False,False,True,False,False,False,False,1
Almas,plantio convencional,nao possui degradacao,5,Taguatinga do Tocantins,0,False,False,False,False,False,False,True,False,False,False,1
Almas,plantio convencional,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,True,False,False,False,1
Almas,roça de toco,nao possui degradacao,3,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,True,False,1
Almas,roça de toco,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,False,True,False,1
Almas,uso de agrotóxicos,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,True,1
Alvorada,monocultura,pouco degradado,1,Gurupi,1,False,False,False,True,False,False,False,False,False,False,1
Alvorada,não usa,nao possui degradacao,2,Gurupi,0,False,False,False,False,True,False,False,False,False,False,1
Alvorada,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,1
Alvorada,plantio convencional,nao possui degradacao,5,Gurupi,0,False,False,False,False,False,False,True,False,False,False,1
Alvorada,plantio convencional,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,True,False,False,False,1
Ananás,aração,nao possui degradacao,4,Araguatins,0,True,False,False,False,False,False,False,False,False,False,1
Ananás,aração,pouco degradado,6,Araguatins,1,True,False,False,False,False,False,False,False,False,False,1
Ananás,gradagem,nao possui degradacao,4,Araguatins,0,False,False,True,False,False,False,False,False,False,False,1
Ananás,gradagem,pouco degradado,6,Araguatins,1,False,False,True,False,False,False,False,False,False,False,1
Ananás,não usa,pouco degradado,1,Araguatins,1,False,False,False,False,True,False,False,False,False,False,1
Ananás,queimadas,nao possui degradacao,5,Araguatins,0,False,False,False,False,False,False,False,True,False,False,1
Ananás,queimadas,pouco degradado,3,Araguatins,1,False,False,False,False,False,False,False,True,False,False,1
Ananás,roça de toco,nao possui degradacao,2,Araguatins,0,False,False,False,False,False,False,False,False,True,False,1
Ananás,roça de toco,pouco degradado,3,Araguatins,1,False,False,False,False,False,False,False,False,True,False,1
Ananás,uso de agrotóxicos,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,True,1
Angico,aração,degradacao media,3,Araguatins,2,True,False,False,False,False,False,False,False,False,False,1
Angico,aração,nao possui degradacao,1,Araguatins,0,True,False,False,False,False,False,False,False,False,False,1
Angico,gradagem,degradacao media,3,Araguatins,2,False,False,True,False,False,False,False,False,False,False,1
Angico,gradagem,nao possui degradacao,1,Araguatins,0,False,False,True,False,False,False,False,False,False,False,1
Angico,monocultura,nao possui degradacao,1,Araguatins,0,False,False,False,True,False,False,False,False,False,False,1
Angico,plantio convencional,degradacao media,2,Araguatins,2,False,False,False,False,False,False,True,False,False,False,1
Angico,queimadas,degradacao media,2,Araguatins,2,False,False,False,False,False,False,False,True,False,False,1
Angico,queimadas,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,True,False,False,1
Angico,roça de toco,degradacao media,3,Araguatins,2,False,False,False,False,False,False,False,False,True,False,1
Angico,uso de agrotóxicos,degradacao media,3,Araguatins,2,False,False,False,False,False,False,False,False,False,True,1
Angico,uso de agrotóxicos,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,True,1
Aparecida do Rio Negro,aração,nao possui degradacao,1,Porto Nacional,0,True,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,aração,pouco degradado,1,Porto Nacional,1,True,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,gradagem,nao possui degradacao,1,Porto Nacional,0,False,False,True,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,gradagem,pouco degradado,1,Porto Nacional,1,False,False,True,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,pastagem nativa,nao possui degradacao,1,Porto Nacional,0,False,False,False,False,False,True,False,False,False,False,1
Aparecida do Rio Negro,plantio convencional,nao possui degradacao,1,Porto Nacional,0,False,False,False,False,False,False,True,False,False,False,1
Aparecida do Rio Negro,plantio convencional,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,False,True,False,False,False,1
Aparecida do Rio Negro,roça de toco,nao possui degradacao,1,Porto Nacional,0,False,False,False,False,False,False,False,False,True,False,1
Aragominas,aração,pouco degradado,3,Araguína,1,True,False,False,False,False,False,False,False,False,False,1
Aragominas,gradagem,pouco degradado,3,Araguína,1,False,False,True,False,False,False,False,False,False,False,1
Aragominas,monocultura,degradacao media,1,Araguína,2,False,False,False,True,False,False,False,False,False,False,1
Aragominas,plantio convencional,pouco degradado,1,Araguína,1,False,False,False,False,False,False,True,False,False,False,1
Aragominas,queimadas,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,True,False,False,1
Aragominas,queimadas,pouco degradado,3,Araguína,1,False,False,False,False,False,False,False,True,False,False,1
Aragominas,roça de toco,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,True,False,1
Aragominas,roça de toco,pouco degradado,2,Araguína,1,False,False,False,False,False,False,False,False,True,False,1
Aragominas,uso de agrotóxicos,degradacao media,2,Araguína,2,False,False,False,False,False,False,False,False,False,True,1
Aragominas,uso de agrotóxicos,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,True,1
Aragominas,uso de agrotóxicos,pouco degradado,3,Araguína,1,False,False,False,False,False,False,False,False,False,True,1
Araguanã,aração,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,1
Araguanã,aração,nao possui degradacao,6,Araguína,0,True,False,False,False,False,False,False,False,False,False,1
Araguanã,aração,pouco degradado,8,Araguína,1,True,False,False,False,False,False,False,False,False,False,1
Araguanã,gradagem,degradacao media,1,Araguína,2,False,False,True,False,False,False,False,False,False,False,1
Araguanã,gradagem,nao possui degradacao,6,Araguína,0,False,False,True,False,False,False,False,False,False,False,1
Araguanã,gradagem,pouco degradado,8,Araguína,1,False,False,True,False,False,False,False,False,False,False,1
Araguanã,monocultura,degradacao media,1,Araguína,2,False,False,False,True,False,False,False,False,False,False,1
Araguanã,monocultura,nao possui degradacao,3,Araguína,0,False,False,False,True,False,False,False,False,False,False,1
Araguanã,monocultura,pouco degradado,6,Araguína,1,False,False,False,True,False,False,False,False,False,False,1
Araguanã,pastagem nativa,pouco degradado,1,Araguína,1,False,False,False,False,False,True,False,False,False,False,1
Araguanã,plantio convencional,degradacao media,1,Araguína,2,False,False,False,False,False,False,True,False,False,False,1
Araguanã,plantio convencional,nao possui degradacao,5,Araguína,0,False,False,False,False,False,False,True,False,False,False,1
Araguanã,plantio convencional,pouco degradado,9,Araguína,1,False,False,False,False,False,False,True,False,False,False,1
Araguanã,queimadas,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,True,False,False,1
Araguanã,queimadas,nao possui degradacao,3,Araguína,0,False,False,False,False,False,False,False,True,False,False,1
Araguanã,queimadas,pouco degradado,7,Araguína,1,False,False,False,False,False,False,False,True,False,False,1
Araguanã,roça de toco,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,True,False,1
Araguanã,roça de toco,nao possui degradacao,6,Araguína,0,False,False,False,False,False,False,False,False,True,False,1
Araguanã,roça de toco,pouco degradado,10,Araguína,1,False,False,False,False,False,False,False,False,True,False,1
Araguanã,uso de agrotóxicos,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,True,1
Araguanã,uso de agrotóxicos,pouco degradado,2,Araguína,1,False,False,False,False,False,False,False,False,False,True,1
Araguatins,aração,muito degradado,1,Araguatins,3,True,False,False,False,False,False,False,False,False,False,1
Araguatins,aração,nao possui degradacao,3,Araguatins,0,True,False,False,False,False,False,False,False,False,False,1
Araguatins,gradagem,muito degradado,1,Araguatins,3,False,False,True,False,False,False,False,False,False,False,1
Araguatins,gradagem,nao possui degradacao,3,Araguatins,0,False,False,True,False,False,False,False,False,False,False,1
Araguatins,monocultura,nao possui degradacao,3,Araguatins,0,False,False,False,True,False,False,False,False,False,False,1
Araguatins,não usa,nao possui degradacao,1,Araguatins,0,False,False,False,False,True,False,False,False,False,False,1
Araguatins,pastagem nativa,nao possui degradacao,2,Araguatins,0,False,False,False,False,False,True,False,False,False,False,1
Araguatins,plantio convencional,muito degradado,1,Araguatins,3,False,False,False,False,False,False,True,False,False,False,1
Araguatins,plantio convencional,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,True,False,False,False,1
Araguatins,queimadas,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,True,False,False,1
Araguatins,roça de toco,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,True,False,1
Araguatins,uso de agrotóxicos,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,True,1
Araguatins,uso de agrotóxicos,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,True,1
Araguaçu,aração,degradacao media,2,Gurupi,2,True,False,False,False,False,False,False,False,False,False,1
Araguaçu,aração,pouco degradado,2,Gurupi,1,True,False,False,False,False,False,False,False,False,False,1
Araguaçu,gradagem,degradacao media,2,Gurupi,2,False,False,True,False,False,False,False,False,False,False,1
Araguaçu,gradagem,pouco degradado,2,Gurupi,1,False,False,True,False,False,False,False,False,False,False,1
Araguaçu,monocultura,degradacao media,2,Gurupi,2,False,False,False,True,False,False,False,False,False,False,1
Araguaçu,monocultura,pouco degradado,1,Gurupi,1,False,False,False,True,False,False,False,False,False,False,1
Araguaçu,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,1
Araguaçu,pastagem nativa,degradacao media,1,Gurupi,2,False,False,False,False,False,True,False,False,False,False,1
Araguaçu,plantio convencional,degradacao media,1,Gurupi,2,False,False,False,False,False,False,True,False,False,False,1
Araguaçu,plantio convencional,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,True,False,False,False,1
Araguaçu,roça de toco,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,False,True,False,1
Araguaína,aração,degradacao media,2,Araguína,2,True,False,False,False,False,False,False,False,False,False,1
Araguaína,aração,nao possui degradacao,5,Araguína,0,True,False,False,False,False,False,False,False,False,False,1
Araguaína,aração,pouco degradado,18,Araguína,1,True,False,False,False,False,False,False,False,False,False,1
Araguaína,gradagem,degradacao media,2,Araguína,2,False,False,True,False,False,False,False,False,False,False,1
Araguaína,gradagem,nao possui degradacao,5,Araguína,0,False,False,True,False,False,False,False,False,False,False,1
Araguaína,gradagem,pouco degradado,18,Araguína,1,False,False,True,False,False,False,False,False,False,False,1
Araguaína,monocultura,degradacao media,1,Araguína,2,False,False,False,True,False,False,False,False,False,False,1
Araguaína,monocultura,nao possui degradacao,1,Araguína,0,False,False,False,True,False,False,False,False,False,False,1
Araguaína,monocultura,pouco degradado,3,Araguína,1,False,False,False,True,False,False,False,False,False,False,1
Araguaína,pastagem nativa,nao possui degradacao,1,Araguína,0,False,False,False,False,False,True,False,False,False,False,1
Araguaína,pastagem nativa,pouco degradado,3,Araguína,1,False,False,False,False,False,True,False,False,False,False,1
Araguaína,plantio convencional,nao possui degradacao,5,Araguína,0,False,False,False,False,False,False,True,False,False,False,1
Araguaína,plantio convencional,pouco degradado,7,Araguína,1,False,False,False,False,False,False,True,False,False,False,1
Araguaína,queimadas,pouco degradado,5,Araguína,1,False,False,False,False,False,False,False,True,False,False,1
Araguaína,roça de toco,nao possui degradacao,2,Araguína,0,False,False,False,False,False,False,False,False,True,False,1
Araguaína,roça de toco,pouco degradado,3,Araguína,1,False,False,False,False,False,False,False,False,True,False,1
Araguaína,uso de agrotóxicos,degradacao media,2,Araguína,2,False,False,False,False,False,False,False,False,False,True,1
Araguaína,uso de agrotóxicos,nao possui degradacao,5,Araguína,0,False,False,False,False,False,False,False,False,False,True,1
Araguaína,uso de agrotóxicos,pouco degradado,20,Araguína,1,False,False,False,False,False,False,False,False,False,True,1
Aurora do Tocantins,aração,nao possui degradacao,1,Taguatinga do Tocantins,0,True,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,aração,pouco degradado,4,Taguatinga do Tocantins,1,True,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,gradagem,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,True,False,False,False,False,False,False,False,1
Aurora do Tocantins,gradagem,pouco degradado,4,Taguatinga do Tocantins,1,False,False,True,False,False,False,False,False,False,False,1
Aurora do Tocantins,não usa,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,True,False,False,False,False,False,1
Aurora do Tocantins,pastagem nativa,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,True,False,False,False,False,1
Aurora do Tocantins,roça de toco,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,False,True,False,1
Aurora do Tocantins,uso de agrotóxicos,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,True,1
Aurora do Tocantins,uso de agrotóxicos,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,False,False,True,1
Axixá do Tocantins,aração,nao possui degradacao,5,Araguatins,0,True,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,aração,pouco degradado,6,Araguatins,1,True,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,gradagem,nao possui degradacao,5,Araguatins,0,False,False,True,False,False,False,False,False,False,False,1
Axixá do Tocantins,gradagem,pouco degradado,6,Araguatins,1,False,False,True,False,False,False,False,False,False,False,1
Axixá do Tocantins,não usa,pouco degradado,2,Araguatins,1,False,False,False,False,True,False,False,False,False,False,1
Axixá do Tocantins,plantio convencional,degradacao media,1,Araguatins,2,False,False,False,False,False,False,True,False,False,False,1
Axixá do Tocantins,plantio convencional,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,True,False,False,False,1
Axixá do Tocantins,plantio convencional,pouco degradado,10,Araguatins,1,False,False,False,False,False,False,True,False,False,False,1
Axixá do Tocantins,queimadas,pouco degradado,3,Araguatins,1,False,False,False,False,False,False,False,True,False,False,1
Axixá do Tocantins,roça de toco,degradacao media,1,Araguatins,2,False,False,False,False,False,False,False,False,True,False,1
Axixá do Tocantins,uso de agrotóxicos,degradacao media,1,Araguatins,2,False,False,False,False,False,False,False,False,False,True,1
Axixá do Tocantins,uso de agrotóxicos,nao possui degradacao,8,Araguatins,0,False,False,False,False,False,False,False,False,False,True,1
Axixá do Tocantins,uso de agrotóxicos,pouco degradado,9,Araguatins,1,False,False,False,False,False,False,False,False,False,True,1
Babaçulândia,aração,pouco degradado,4,Araguína,1,True,False,False,False,False,False,False,False,False,False,1
Babaçulândia,gradagem,pouco degradado,4,Araguína,1,False,False,True,False,False,False,False,False,False,False,1
Babaçulândia,pastagem nativa,degradacao media,1,Araguína,2,False,False,False,False,False,True,False,False,False,False,1
Babaçulândia,pastagem nativa,pouco degradado,4,Araguína,1,False,False,False,False,False,True,False,False,False,False,1
Babaçulândia,plantio convencional,degradacao media,1,Araguína,2,False,False,False,False,False,False,True,False,False,False,1
Babaçulândia,plantio convencional,pouco degradado,4,Araguína,1,False,False,False,False,False,False,True,False,False,False,1
Babaçulândia,queimadas,pouco degradado,1,Araguína,1,False,False,False,False,False,False,False,True,False,False,1
Babaçulândia,roça de toco,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,True,False,1
Babaçulândia,roça de toco,pouco degradado,3,Araguína,1,False,False,False,False,False,False,False,False,True,False,1
Bandeirantes do Tocantins,aração,degradacao media,2,Colinas,2,True,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,aração,pouco degradado,2,Colinas,1,True,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,gradagem,degradacao media,2,Colinas,2,False,False,True,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,gradagem,pouco degradado,2,Colinas,1,False,False,True,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,monocultura,degradacao media,1,Colinas,2,False,False,False,True,False,False,False,False,False,False,1
Bandeirantes do Tocantins,monocultura,pouco degradado,2,Colinas,1,False,False,False,True,False,False,False,False,False,False,1
Bandeirantes do Tocantins,pastagem nativa,degradacao media,1,Colinas,2,False,False,False,False,False,True,False,False,False,False,1
Bandeirantes do Tocantins,queimadas,degradacao media,1,Colinas,2,False,False,False,False,False,False,False,True,False,False,1
Bandeirantes do Tocantins,uso de agrotóxicos,degradacao media,3,Colinas,2,False,False,False,False,False,False,False,False,False,True,1
Bandeirantes do Tocantins,uso de agrotóxicos,pouco degradado,3,Colinas,1,False,False,False,False,False,False,False,False,False,True,1
Barrolândia,aração,nao possui degradacao,2,Paraiso,0,True,False,False,False,False,False,False,False,False,False,1
Barrolândia,aração,pouco degradado,7,Paraiso,1,True,False,False,False,False,False,False,False,False,False,1
Barrolândia,gradagem,nao possui degradacao,2,Paraiso,0,False,False,True,False,False,False,False,False,False,False,1
Barrolândia,gradagem,pouco degradado,7,Paraiso,1,False,False,True,False,False,False,False,False,False,False,1
Barrolândia,não usa,degradacao media,1,Paraiso,2,False,False,False,False,True,False,False,False,False,False,1
Barrolândia,pastagem nativa,pouco degradado,1,Paraiso,1,False,False,False,False,False,True,False,False,False,False,1
Barrolândia,plantio convencional,nao possui degradacao,1,Paraiso,0,False,False,False,False,False,False,True,False,False,False,1
Barrolândia,plantio convencional,pouco degradado,9,Paraiso,1,False,False,False,False,False,False,True,False,False,False,1
Barrolândia,roça de toco,nao possui degradacao,1,Paraiso,0,False,False,False,False,False,False,False,False,True,False,1
Barrolândia,roça de toco,pouco degradado,1,Paraiso,1,False,False,False,False,False,False,False,False,True,False,1
Barrolândia,uso de agrotóxicos,nao possui degradacao,1,Paraiso,0,False,False,False,False,False,False,False,False,False,True,1
Barrolândia,uso de agrotóxicos,pouco degradado,6,Paraiso,1,False,False,False,False,False,False,False,False,False,True,1
Bom Jesus do Tocantins,aração,nao possui degradacao,3,Miracema,0,True,False,False,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,aração,pouco degradado,2,Miracema,1,True,False,False,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,gradagem,nao possui degradacao,3,Miracema,0,False,False,True,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,gradagem,pouco degradado,2,Miracema,1,False,False,True,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,pastagem nativa,nao possui degradacao,1,Miracema,0,False,False,False,False,False,True,False,False,False,False,1
Bom Jesus do Tocantins,plantio convencional,nao possui degradacao,1,Miracema,0,False,False,False,False,False,False,True,False,False,False,1
Bom Jesus do Tocantins,queimadas,pouco degradado,1,Miracema,1,False,False,False,False,False,False,False,True,False,False,1
Bom Jesus do Tocantins,roça de toco,nao possui degradacao,1,Miracema,0,False,False,False,False,False,False,False,False,True,False,1
Cachoeirinha,aração,pouco degradado,2,Araguatins,1,True,False,False,False,False,False,False,False,False,False,1
Cachoeirinha,gradagem,pouco degradado,2,Araguatins,1,False,False,True,False,False,False,False,False,False,False,1
Cachoeirinha,monocultura,pouco degradado,1,Araguatins,1,False,False,False,True,False,False,False,False,False,False,1
Cachoeirinha,pastagem nativa,pouco degradado,1,Araguatins,1,False,False,False,False,False,True,False,False,False,False,1
Cachoeirinha,uso de agrotóxicos,pouco degradado,1,Araguatins,1,False,False,False,False,False,False,False,False,False,True,1
Cariri do Tocantins,aração,degradacao media,2,Gurupi,2,True,False,False,False,False,False,False,False,False,False,1
Cariri do Tocantins,aração,pouco degradado,2,Gurupi,1,True,False,False,False,False,False,False,False,False,False,1
Cariri do Tocantins,gradagem,degradacao media,2,Gurupi,2,False,False,True,False,False,False,False,False,False,False,1
Cariri do Tocantins,gradagem,pouco degradado,2,Gurupi,1,False,False,True,False,False,False,False,False,False,False,1
Cariri do Tocantins,plantio convencional,degradacao media,2,Gurupi,2,False,False,False,False,False,False,True,False,False,False,1
Cariri do Tocantins,plantio convencional,pouco degradado,4,Gurupi,1,False,False,False,False,False,False,True,False,False,False,1
Cariri do Tocantins,uso de agrotóxicos,degradacao media,2,Gurupi,2,False,False,False,False,False,False,False,False,False,True,1
Cariri do Tocantins,uso de agrotóxicos,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,True,1
Carmolândia,aração,nao possui degradacao,1,Araguína,0,True,False,False,False,False,False,False,False,False,False,1
Carmolândia,aração,pouco degradado,1,Araguína,1,True,False,False,False,False,False,False,False,False,False,1
Carmolândia,gradagem,nao possui degradacao,1,Araguína,0,False,False,True,False,False,False,False,False,False,False,1
Carmolândia,gradagem,pouco degradado,1,Araguína,1,False,False,True,False,False,False,False,False,False,False,1
Carmolândia,pastagem nativa,nao possui degradacao,1,Araguína,0,False,False,False,False,False,True,False,False,False,False,1
Carmolândia,pastagem nativa,pouco degradado,1,Araguína,1,False,False,False,False,False,True,False,False,False,False,1
Carmolândia,plantio convencional,pouco degradado,1,Araguína,1,False,False,False,False,False,False,True,False,False,False,1
Carmolândia,roça de toco,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,True,False,1
Carmolândia,roça de toco,pouco degradado,1,Araguína,1,False,False,False,False,False,False,False,False,True,False,1
Caseara,aração,nao possui degradacao,3,Paraiso,0,True,False,False,False,False,False,False,False,False,False,1
Caseara,aração,pouco degradado,1,Paraiso,1,True,False,False,False,False,False,False,False,False,False,1
Caseara,gradagem,nao possui degradacao,3,Paraiso,0,False,False,True,False,False,False,False,False,False,False,1
Caseara,gradagem,pouco degradado,1,Paraiso,1,False,False,True,False,False,False,False,False,False,False,1
Caseara,monocultura,nao possui degradacao,1,Paraiso,0,False,False,False,True,False,False,False,False,False,False,1
Caseara,não usa,nao possui degradacao,3,Paraiso,0,False,False,False,False,True,False,False,False,False,False,1
Caseara,pastagem nativa,nao possui degradacao,2,Paraiso,0,False,False,False,False,False,True,False,False,False,False,1
Caseara,pastagem nativa,pouco degradado,1,Paraiso,1,False,False,False,False,False,True,False,False,False,False,1
Caseara,plantio convencional,nao possui degradacao,7,Paraiso,0,False,False,False,False,False,False,True,False,False,False,1
Caseara,roça de toco,nao possui degradacao,3,Paraiso,0,False,False,False,False,False,False,False,False,True,False,1
Caseara,roça de toco,pouco degradado,1,Paraiso,1,False,False,False,False,False,False,False,False,True,False,1
Caseara,uso de agrotóxicos,nao possui degradacao,2,Paraiso,0,False,False,False,False,False,False,False,False,False,True,1
Caseara,uso de agrotóxicos,pouco degradado,1,Paraiso,1,False,False,False,False,False,False,False,False,False,True,1
Centenário,aração,nao possui degradacao,1,Miracema,0,True,False,False,False,False,False,False,False,False,False,1
Centenário,gradagem,nao possui degradacao,1,Miracema,0,False,False,True,False,False,False,False,False,False,False,1
Centenário,roça de toco,nao possui degradacao,1,Miracema,0,False,False,False,False,False,False,False,False,True,False,1
Chapada da Natividade,aração,degradacao media,4,Porto Nacional,2,True,False,False,False,False,False,False,False,False,False,1
Chapada da Natividade,aração,pouco degradado,5,Porto Nacional,1,True,False,False,False,False,False,False,False,False,False,1
Chapada da Natividade,gradagem,degradacao media,4,Porto Nacional,2,False,False,True,False,False,False,False,False,False,False,1
Chapada da Natividade,gradagem,pouco degradado,5,Porto Nacional,1,False,False,True,False,False,False,False,False,False,False,1
Chapada da Natividade,monocultura,degradacao media,1,Porto Nacional,2,False,False,False,True,False,False,False,False,False,False,1
Chapada da Natividade,monocultura,pouco degradado,1,Porto Nacional,1,False,False,False,True,False,False,False,False,False,False,1
Chapada da Natividade,não usa,pouco degradado,2,Porto Nacional,1,False,False,False,False,True,False,False,False,False,False,1
Chapada da Natividade,pastagem nativa,degradacao media,2,Porto Nacional,2,False,False,False,False,False,True,False,False,False,False,1
Chapada da Natividade,pastagem nativa,pouco degradado,2,Porto Nacional,1,False,False,False,False,False,True,False,False,False,False,1
Chapada da Natividade,plantio convencional,degradacao media,1,Porto Nacional,2,False,False,False,False,False,False,True,False,False,False,1
Chapada da Natividade,plantio convencional,pouco degradado,3,Porto Nacional,1,False,False,False,False,False,False,True,False,False,False,1
Chapada da Natividade,queimadas,degradacao media,2,Porto Nacional,2,False,False,False,False,False,False,False,True,False,False,1
Chapada da Natividade,queimadas,pouco degradado,3,Porto Nacional,1,False,False,False,False,False,False,False,True,False,False,1
Chapada da Natividade,roça de toco,degradacao media,3,Porto Nacional,2,False,False,False,False,False,False,False,False,True,False,1
