municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas,regional,degradacao_ord,pratica_aceiros,pratica_adubação,pratica_adubação verde,pratica_apiário,pratica_calagem,pratica_consórcio,pratica_curva de nível,pratica_descarte correto de embalagens,pratica_floresta,pratica_ilp - integração lavoura pecuária,pratica_ilpf - integração lavoura pecuária,pratica_não usa,pratica_outros,pratica_plantio direto,pratica_reaproveitamento de residuos,pratica_recuperação de pastagens,pratica_rotação de cultura,n_praticas_linha
Almas,plantio direto,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Almas,reaproveitamento de residuos,nao possui degradacao,4,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Almas,reaproveitamento de residuos,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Almas,recuperação de pastagens,nao possui degradacao,3,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Almas,rotação de cultura,nao possui degradacao,2,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Alvorada,aceiros,nao possui degradacao,4,Gurupi,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Alvorada,aceiros,pouco degradado,2,Gurupi,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Alvorada,adubação,pouco degradado,1,Gurupi,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Alvorada,calagem,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Alvorada,descarte correto de embalagens,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Alvorada,não usa,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Alvorada,recuperação de pastagens,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Ananás,aceiros,nao possui degradacao,4,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,aceiros,pouco degradado,7,Araguatins,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,adubação,nao possui degradacao,2,Araguatins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,calagem,nao possui degradacao,1,Araguatins,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,consórcio,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,consórcio,pouco degradado,7,Araguatins,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Ananás,descarte correto de embalagens,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Ananás,plantio direto,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Ananás,recuperação de pastagens,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Ananás,rotação de cultura,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Angico,aceiros,degradacao media,3,Araguatins,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Angico,aceiros,nao possui degradacao,1,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Angico,adubação,degradacao media,2,Araguatins,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Angico,consórcio,degradacao media,2,Araguatins,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Angico,consórcio,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Angico,recuperação de pastagens,degradacao media,1,Araguatins,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Angico,rotação de cultura,degradacao media,2,Araguatins,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Angico,rotação de cultura,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Aparecida do Rio Negro,aceiros,nao possui degradacao,1,Porto Nacional,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,adubação,pouco degradado,1,Porto Nacional,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,calagem,nao possui degradacao,1,Porto Nacional,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,calagem,pouco degradado,1,Porto Nacional,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,consórcio,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Aparecida do Rio Negro,reaproveitamento de residuos,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Aparecida do Rio Negro,rotação de cultura,pouco degradado,1,Porto Nacional,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Aragominas,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aragominas,aceiros,nao possui degradacao,1,Araguína,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aragominas,aceiros,pouco degradado,5,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aragominas,adubação,degradacao media,1,Araguína,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aragominas,plantio direto,pouco degradado,1,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguanã,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,aceiros,nao possui degradacao,5,Araguína,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,aceiros,pouco degradado,8,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,adubação,nao possui degradacao,1,Araguína,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,adubação,pouco degradado,2,Araguína,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,adubação verde,nao possui degradacao,2,Araguína,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,adubação verde,pouco degradado,3,Araguína,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguanã,plantio direto,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguanã,plantio direto,pouco degradado,2,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguanã,rotação de cultura,nao possui degradacao,2,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguanã,rotação de cultura,pouco degradado,6,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguatins,aceiros,nao possui degradacao,4,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,adubação,nao possui degradacao,3,Araguatins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,adubação verde,nao possui degradacao,3,Araguatins,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,calagem,muito degradado,1,Araguatins,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,calagem,nao possui degradacao,2,Araguatins,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,consórcio,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Araguatins,curva de nível,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Araguatins,descarte correto de embalagens,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Araguatins,floresta,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
Araguatins,ilp - integração lavoura pecuária,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
Araguatins,ilpf - integração lavoura pecuária,nao possui degradacao,1,Araguatins,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
Araguatins,não usa,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Araguatins,plantio direto,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguatins,reaproveitamento de residuos,nao possui degradacao,4,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Araguatins,recuperação de pastagens,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguatins,recuperação de pastagens,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguatins,rotação de cultura,muito degradado,1,Araguatins,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguatins,rotação de cultura,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguaçu,aceiros,degradacao media,1,Gurupi,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,aceiros,nao possui degradacao,1,Gurupi,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,adubação,degradacao media,1,Gurupi,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,calagem,degradacao media,1,Gurupi,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,calagem,pouco degradado,1,Gurupi,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,consórcio,pouco degradado,1,Gurupi,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,curva de nível,degradacao media,1,Gurupi,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Araguaçu,não usa,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Araguaçu,plantio direto,degradacao media,1,Gurupi,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguaçu,reaproveitamento de residuos,degradacao media,1,Gurupi,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Araguaçu,reaproveitamento de residuos,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Araguaçu,recuperação de pastagens,degradacao media,2,Gurupi,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguaçu,recuperação de pastagens,nao possui degradacao,1,Gurupi,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguaçu,recuperação de pastagens,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguaçu,rotação de cultura,pouco degradado,1,Gurupi,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguaína,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,aceiros,nao possui degradacao,6,Araguína,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,aceiros,pouco degradado,20,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,adubação,degradacao media,2,Araguína,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,adubação,nao possui degradacao,5,Araguína,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,adubação,pouco degradado,11,Araguína,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,adubação verde,pouco degradado,1,Araguína,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,apiário,pouco degradado,1,Araguína,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,calagem,degradacao media,1,Araguína,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,calagem,nao possui degradacao,2,Araguína,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,calagem,pouco degradado,6,Araguína,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,consórcio,nao possui degradacao,3,Araguína,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,consórcio,pouco degradado,2,Araguína,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Araguaína,descarte correto de embalagens,nao possui degradacao,2,Araguína,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Araguaína,plantio direto,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Araguaína,reaproveitamento de residuos,pouco degradado,2,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Araguaína,recuperação de pastagens,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguaína,recuperação de pastagens,pouco degradado,7,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Araguaína,rotação de cultura,nao possui degradacao,1,Araguína,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Araguaína,rotação de cultura,pouco degradado,5,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Aurora do Tocantins,aceiros,nao possui degradacao,1,Taguatinga do Tocantins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,aceiros,pouco degradado,4,Taguatinga do Tocantins,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,adubação,nao possui degradacao,1,Taguatinga do Tocantins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,adubação,pouco degradado,2,Taguatinga do Tocantins,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,calagem,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,consórcio,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Aurora do Tocantins,reaproveitamento de residuos,nao possui degradacao,1,Taguatinga do Tocantins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Aurora do Tocantins,reaproveitamento de residuos,pouco degradado,1,Taguatinga do Tocantins,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Axixá do Tocantins,aceiros,degradacao media,1,Araguatins,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,aceiros,nao possui degradacao,4,Araguatins,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,aceiros,pouco degradado,8,Araguatins,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,adubação,nao possui degradacao,2,Araguatins,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,adubação,pouco degradado,4,Araguatins,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,calagem,nao possui degradacao,5,Araguatins,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,calagem,pouco degradado,3,Araguatins,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,descarte correto de embalagens,nao possui degradacao,2,Araguatins,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,descarte correto de embalagens,pouco degradado,1,Araguatins,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Axixá do Tocantins,recuperação de pastagens,nao possui degradacao,2,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Axixá do Tocantins,recuperação de pastagens,pouco degradado,4,Araguatins,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Axixá do Tocantins,rotação de cultura,nao possui degradacao,3,Araguatins,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Axixá do Tocantins,rotação de cultura,pouco degradado,4,Araguatins,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Babaçulândia,aceiros,degradacao media,1,Araguína,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,aceiros,pouco degradado,4,Araguína,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,adubação verde,degradacao media,1,Araguína,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,adubação verde,pouco degradado,1,Araguína,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,consórcio,degradacao media,1,Araguína,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,consórcio,pouco degradado,1,Araguína,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Babaçulândia,plantio direto,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Babaçulândia,plantio direto,pouco degradado,4,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Babaçulândia,reaproveitamento de residuos,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Babaçulândia,reaproveitamento de residuos,pouco degradado,1,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Babaçulândia,recuperação de pastagens,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Babaçulândia,recuperação de pastagens,pouco degradado,4,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Babaçulândia,rotação de cultura,degradacao media,1,Araguína,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Babaçulândia,rotação de cultura,pouco degradado,4,Araguína,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Bandeirantes do Tocantins,aceiros,degradacao media,3,Colinas,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,aceiros,pouco degradado,1,Colinas,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,adubação,degradacao media,2,Colinas,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,consórcio,degradacao media,1,Colinas,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,descarte correto de embalagens,degradacao media,3,Colinas,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,descarte correto de embalagens,pouco degradado,2,Colinas,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Bandeirantes do Tocantins,não usa,pouco degradado,1,Colinas,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Bandeirantes do Tocantins,recuperação de pastagens,degradacao media,1,Colinas,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Bandeirantes do Tocantins,rotação de cultura,degradacao media,1,Colinas,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Bandeirantes do Tocantins,rotação de cultura,pouco degradado,1,Colinas,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Barrolândia,aceiros,degradacao media,1,Paraiso,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,aceiros,nao possui degradacao,2,Paraiso,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,aceiros,pouco degradado,8,Paraiso,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,adubação,nao possui degradacao,1,Paraiso,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,adubação,pouco degradado,3,Paraiso,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,calagem,pouco degradado,1,Paraiso,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,consórcio,pouco degradado,1,Paraiso,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Barrolândia,descarte correto de embalagens,nao possui degradacao,1,Paraiso,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Barrolândia,descarte correto de embalagens,pouco degradado,4,Paraiso,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Barrolândia,não usa,degradacao media,1,Paraiso,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
Barrolândia,plantio direto,pouco degradado,3,Paraiso,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Barrolândia,recuperação de pastagens,nao possui degradacao,1,Paraiso,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Barrolândia,recuperação de pastagens,pouco degradado,9,Paraiso,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Bom Jesus do Tocantins,aceiros,nao possui degradacao,2,Miracema,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,aceiros,pouco degradado,1,Miracema,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,adubação,nao possui degradacao,3,Miracema,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Bom Jesus do Tocantins,adubação,pouco degradado,1,Miracema,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
