atividade_produtiva,municipio_ibge,count
Suinocultura,Fortaleza do Tabocão,2
Culturas anuais,Fortaleza do Tabocão,2
Avicultura,Dianópolis,2
Mandiocultura,Dianópolis,2
Fruticultura,Dianópolis,2
Olericultura,Dianópolis,2
Bovinocultura de corte,Guaraí,2
Bovinocultura de corte,Talismã,2
Avicultura,Talismã,2
Bovinocultura de corte,Novo Jardim,2
Avicultura,Novo Jardim,2
Suinocultura,Novo Jardim,2
Mandiocultura,Novo Jardim,2
Fruticultura,Novo Jardim,2
Bovinocultura de corte,Rio Sono,2
Avicultura,Rio Sono,2
Mandiocultura,Rio Sono,2
Bovinocultura de corte,Novo Jardim,2
Avicultura,Araguaína,2
Olericultura,Araguaína,2
Bovinocultura de corte,Cristalândia,2
Avicultura,Cristalândia,2
Suinocultura,Cristalândia,2
Mandiocultura,Cristalândia,2
Fruticultura,Cristalândia,2
Bovinocultura de leite,Aragominas,2
Bovinocultura de leite,Araguaína,2
Avicultura,Araguaína,2
Olericultura,Miracema do Tocantins,2
Bovinocultura de corte,Nova Rosalândia,2
Avicultura,Nova Rosalândia,2
Suinocultura,Nova Rosalândia,2
Mandiocultura,Nova Rosalândia,2
Fruticultura,Nova Rosalândia,2
Bovinocultura de corte,Paraíso do Tocantins,2
Bovinocultura de leite,Ananás,2
Avicultura,Palmas,2
Suinocultura,Palmas,2
Avicultura,Caseara,2
Culturas anuais,Caseara,2
Bovinocultura de corte,Monte do Carmo,2
Avicultura,Monte do Carmo,2
Suinocultura,Monte do Carmo,2
Mandiocultura,Monte do Carmo,2
Bovinocultura de corte,Divinópolis do Tocantins,2
Avicultura,Divinópolis do Tocantins,2
Avicultura,Almas,2
Mandiocultura,Almas,2
Fruticultura,Miracema do Tocantins,2
Bovinocultura de leite,Piraquê,2
Avicultura,Piraquê,2
Bovinocultura mista (touro - com características de corte,Araguanã,2
Vaca - cruzada,Araguanã,2
Principais produtos comercializados - bezerros,Araguanã,2
Leite) -,Araguanã,2
Mandiocultura,Araguanã,2
Mandiocultura,Lagoa da Confusão,2
Extrativismo vegetal,Lagoa da Confusão,2
Avicultura,Ananás,2
Mandiocultura,Ananás,2
Fruticultura,Ananás,2
Bovinocultura de corte,Araguanã,2
Bovinocultura de leite,Araguanã,2
Bovinocultura de leite,Miranorte,2
Avicultura,Miranorte,2
Mandiocultura,Ponte Alta do Bom Jesus,2
Mandiocultura,Ananás,2
Culturas anuais,Ananás,2
Bovinocultura de corte,Figueirópolis,2
Mandiocultura,Figueirópolis,2
Bovinocultura de corte,Santa Fé do Araguaia,2
Bovinocultura de leite,Santa Fé do Araguaia,2
Bovinocultura de corte,Paranã,2
Avicultura,Paranã,2
Bovinocultura mista (touro - com características de corte,Dianópolis,2
Vaca - cruzada,Dianópolis,2
Principais produtos comercializados - bezerros,Dianópolis,2
Leite) -,Dianópolis,2
Avicultura,Dianópolis,2
Mandiocultura,Dianópolis,2
Fruticultura,Dianópolis,2
Olericultura,Dianópolis,2
Bovinocultura mista (touro - com características de corte,Gurupi,2
Vaca - cruzada,Gurupi,2
Principais produtos comercializados - bezerros,Gurupi,2
Leite) -,Gurupi,2
Avicultura,Gurupi,2
Suinocultura,Gurupi,2
Mandiocultura,Axixá do Tocantins,2
Olericultura,Divinópolis do Tocantins,2
Bovinocultura de corte,Pium,2
Avicultura,Pium,2
Suinocultura,Pium,2
Mandiocultura,Pium,2
Fruticultura,Pium,2
Bovinocultura de corte,Nova Rosalândia,2
Avicultura,Nova Rosalândia,2
Suinocultura,Nova Rosalândia,2
Mandiocultura,Nova Rosalândia,2
Avicultura,Chapada de Areia,2
Mandiocultura,Chapada de Areia,2
Extrativismo vegetal,Chapada de Areia,2
Bovinocultura de corte,Miranorte,2
Avicultura,Miranorte,2
Suinocultura,Miranorte,2
Bovinocultura mista (touro - com características de corte,Piraquê,2
Vaca - cruzada,Piraquê,2
Principais produtos comercializados - bezerros,Piraquê,2
Leite) -,Piraquê,2
Avicultura,Piraquê,2
Suinocultura,Piraquê,2
Mandiocultura,Piraquê,2
Olericultura,Piraquê,2
Culturas anuais,Piraquê,2
Bovinocultura de corte,Peixe,2
Fruticultura,Peixe,2
Avicultura,Wanderlândia,2
Mandiocultura,Wanderlândia,2
Fruticultura,Wanderlândia,2
Culturas anuais,Wanderlândia,2
Extrativismo vegetal,Caseara,2
Bovinocultura de corte,São Salvador do Tocantins,2
Avicultura,São Salvador do Tocantins,2
Suinocultura,São Salvador do Tocantins,2
Mandiocultura,São Salvador do Tocantins,2
Olericultura,São Salvador do Tocantins,2
Mandiocultura,Barrolândia,2
Bovinocultura de corte,Rio Sono,2
Avicultura,Paraíso do Tocantins,2
Suinocultura,Paraíso do Tocantins,2
Mandiocultura,Paraíso do Tocantins,2
Olericultura,Paraíso do Tocantins,2
Culturas anuais,Paraíso do Tocantins,2
Bovinocultura de corte,Palmeiras do Tocantins,2
Bovinocultura de corte,Pium,2
Avicultura,Pium,2
Bovinocultura de leite,Tocantínia,2
Avicultura,Tocantínia,2
Bovinocultura de leite,Miranorte,2
Bovinocultura mista (touro - com características de corte,Chapada de Areia,2
Vaca - cruzada,Chapada de Areia,2
Principais produtos comercializados - bezerros,Chapada de Areia,2
Leite) -,Chapada de Areia,2
Avicultura,Chapada de Areia,2
Mandiocultura,Chapada de Areia,2
Bovinocultura de leite,Miranorte,2
Avicultura,Miranorte,2
Suinocultura,Miranorte,2
Mandiocultura,Miranorte,2
Culturas anuais,Miranorte,2
Bovinocultura de leite,Xambioá,2
Mandiocultura,Xambioá,2
Bovinocultura mista (touro - com características de corte,Palmas,2
Vaca - cruzada,Palmas,2
Principais produtos comercializados - bezerros,Palmas,2
Leite) -,Palmas,2
Avicultura,Palmas,2
Suinocultura,Palmas,2
Bovinocultura de corte,Cristalândia,2
Avicultura,Cristalândia,2
Suinocultura,Cristalândia,2
Bovinocultura de corte,Riachinho,2
Bovinocultura de leite,Riachinho,2
Avicultura,Riachinho,2
Suinocultura,Riachinho,2
Avicultura,Sítio Novo do Tocantins,2
Mandiocultura,Sítio Novo do Tocantins,2
Culturas anuais,Sítio Novo do Tocantins,2
Bovinocultura de leite,Miranorte,2
Fruticultura,Rio dos Bois,2
Bovinocultura de corte,Palmeiras do Tocantins,2
Bovinocultura de leite,Xambioá,2
Olericultura,Xambioá,2
Avicultura,Palmas,2
Mandiocultura,Palmas,2
Bovinocultura de corte,Miranorte,2
Fruticultura,Rio Sono,2
Fruticultura,Pedro Afonso,2
Bovinocultura mista (touro - com características de corte,Araguaína,2
Vaca - cruzada,Araguaína,2
Principais produtos comercializados - bezerros,Araguaína,2
Leite) -,Araguaína,2
Avicultura,Araguaína,2
Suinocultura,Araguaína,2
Mandiocultura,Araguaína,2
Culturas anuais,Araguaína,2
Bovinocultura de leite,Filadélfia,2
Avicultura,Filadélfia,2
Bovinocultura de corte,Sucupira,2
Avicultura,Sucupira,2
Suinocultura,Sucupira,2
Bovinocultura mista (touro - com características de corte,Araguaína,2
Vaca - cruzada,Araguaína,2
Principais produtos comercializados - bezerros,Araguaína,2
Leite) -,Araguaína,2
Bovinocultura de corte,Miranorte,2
Bovinocultura de corte,Miranorte,2
Bovinocultura de leite,Miranorte,2
Avicultura,Miranorte,2
Suinocultura,Miranorte,2
Avicultura,Gurupi,1
Suinocultura,Gurupi,1
Mandiocultura,Gurupi,1
Bovinocultura de corte,Miracema do Tocantins,1
Bovinocultura de corte,Monte Santo do Tocantins,1
Avicultura,Monte Santo do Tocantins,1
Pisicultura,Monte Santo do Tocantins,1
Bovinocultura de leite,Dueré,1
Avicultura,Dueré,1
Olericultura,Dueré,1
Bovinocultura de corte,Silvanópolis,1
Ovinocaprinocultura,Silvanópolis,1
Mandiocultura,Silvanópolis,1
Avicultura,Miranorte,1
Suinocultura,Miranorte,1
Bovinocultura de corte,Miracema do Tocantins,1
Avicultura,Miracema do Tocantins,1
Bovinocultura de corte,Axixá do Tocantins,1
Bovinocultura de leite,Axixá do Tocantins,1
Olericultura,Axixá do Tocantins,1
Bovinocultura de leite,Divinópolis do Tocantins,1
Avicultura,Divinópolis do Tocantins,1
Bovinocultura de leite,Pium,1
Avicultura,Pium,1
Bovinocultura de leite,Filadélfia,1
Avicultura,Filadélfia,1
Bovinocultura de leite,Novo Jardim,1
Avicultura,Novo Jardim,1
Suinocultura,Novo Jardim,1
Mandiocultura,Novo Jardim,1
Olericultura,Novo Jardim,1
Culturas anuais,Novo Jardim,1
Bovinocultura de corte,Araguanã,1
Bovinocultura de leite,Araguanã,1
Avicultura,Araguanã,1
Bovinocultura de corte,Pium,1
Avicultura,Pium,1
Extrativismo vegetal,Pium,1
Bovinocultura de leite,Wanderlândia,1
Avicultura,Wanderlândia,1
Avicultura,Miracema do Tocantins,1
Mandiocultura,Miracema do Tocantins,1
Olericultura,Miracema do Tocantins,1
Culturas anuais,Miracema do Tocantins,1
Bovinocultura de corte,Marianópolis do Tocantins,1
Avicultura,Marianópolis do Tocantins,1
Ovinocaprinocultura,Marianópolis do Tocantins,1
Bovinocultura de leite,Araguanã,1
Avicultura,Araguanã,1
Bovinocultura de leite,Miracema do Tocantins,1
Avicultura,Miracema do Tocantins,1
Bovinocultura de corte,Divinópolis do Tocantins,1
Avicultura,Peixe,1
Mandiocultura,Peixe,1
Quiabo,Peixe,1
Avicultura,Gurupi,1
Ovinocaprinocultura,Gurupi,1
Ovinocaprinocultura,Babaçulândia,1
Mandiocultura,Babaçulândia,1
Culturas anuais,Babaçulândia,1
Bovinocultura de corte,Rio Sono,1
Mandiocultura,Rio Sono,1
Olericultura,Rio Sono,1
Mandiocultura,Rio dos Bois,1
Culturas anuais,Rio dos Bois,1
Bovinocultura de corte,Miracema do Tocantins,1
Apicultura,Miracema do Tocantins,1
Meliponicultura,Miracema do Tocantins,1
Bovinocultura de corte,Figueirópolis,1
Avicultura,Figueirópolis,1
Mandiocultura,Figueirópolis,1
Mandiocultura,Wanderlândia,1
Culturas anuais,Wanderlândia,1
Mandiocultura,Nova Rosalândia,1
Culturas anuais,Nova Rosalândia,1
Sem atividade produtiva ainda,Silvanópolis,1
Olericultura,Riachinho,1
Culturas anuais,Riachinho,1
Mandiocultura,Peixe,1
Olericultura,Peixe,1
Mandiocultura,darcinópolis,1
Olericultura,darcinópolis,1
Mandiocultura,São Miguel do Tocantins,1
Olericultura,São Miguel do Tocantins,1
Mandiocultura,Wanderlândia,1
Olericultura,Wanderlândia,1
Bovinocultura de corte,Divinópolis do Tocantins,1
Avicultura,Divinópolis do Tocantins,1
Mandiocultura,Divinópolis do Tocantins,1
Mandiocultura,Gurupi,1
Olericultura,Gurupi,1
Mandiocultura,Pugmil,1
Olericultura,Pugmil,1
Mandiocultura,Silvanópolis,1
Olericultura,Silvanópolis,1
Bovinocultura de corte,Gurupi,1
Avicultura,Gurupi,1
Mandiocultura,Gurupi,1
Bovinocultura de corte,Barrolândia,1
Avicultura,Barrolândia,1
Mandiocultura,Barrolândia,1
Bovinocultura de corte,Silvanópolis,1
Avicultura,Silvanópolis,1
Mandiocultura,Silvanópolis,1
Bovinocultura de corte,Dueré,1
Avicultura,Dueré,1
Suinocultura,Dueré,1
Avicultura,Aragominas,1
Culturas anuais,Aragominas,1
Pisicultura,Dianópolis,1
Mandiocultura,Dianópolis,1
Bovinocultura de corte,Peixe,1
Avicultura,Peixe,1
Suinocultura,Peixe,1
Apicultura,Miracema do Tocantins,1
Meliponicultura,Miracema do Tocantins,1
Bovinocultura de corte,Paraíso do Tocantins,1
Avicultura,Paraíso do Tocantins,1
Suinocultura,Paraíso do Tocantins,1
Bovinocultura de corte,,1
Avicultura,,1
Suinocultura,,1
Avicultura,Tocantínia,1
Mandiocultura,Tocantínia,1
Bovinocultura de corte,Nova Rosalândia,1
Avicultura,Nova Rosalândia,1
Suinocultura,Nova Rosalândia,1
Bovinocultura de corte,Riachinho,1
Avicultura,Riachinho,1
Suinocultura,Riachinho,1
Avicultura,Palmeirópolis,1
Mandiocultura,Palmeirópolis,1
Bovinocultura de corte,Cristalândia,1
Fruticultura,Cristalândia,1
Bovinocultura de corte,Aliança do Tocantins,1
Fruticultura,Aliança do Tocantins,1
Bovinocultura de corte,Alvorada,1
Avicultura,Alvorada,1
Suinocultura,Alvorada,1
Avicultura,Ananás,1
Mandiocultura,Ananás,1
Pisicultura,,1
Fruticultura,,1
Olericultura,,1
Mandiocultura,Rio da Conceição,1
Fruticultura,Rio da Conceição,1
Olericultura,Rio da Conceição,1
Bovinocultura de corte,Almas,1
Avicultura,Almas,1
Suinocultura,Almas,1
Bovinocultura de corte,Barrolândia,1
Avicultura,Barrolândia,1
Suinocultura,Barrolândia,1
Bovinocultura de corte,Chapada de Areia,1
Avicultura,Chapada de Areia,1
Olericultura,Chapada de Areia,1
Bovinocultura de corte,Paranã,1
Avicultura,Paranã,1
Suinocultura,Paranã,1
Bovinocultura de corte,dois Irmãos do Tocantins,1
Avicultura,dois Irmãos do Tocantins,1
Suinocultura,dois Irmãos do Tocantins,1
Bovinocultura de corte,Colméia,1
Avicultura,Colméia,1
Suinocultura,Colméia,1
Bovinocultura de leite,Almas,1
Avicultura,Almas,1
Mandiocultura,Almas,1
Bovinocultura de leite,Xambioá,1
Avicultura,Xambioá,1
Mandiocultura,Xambioá,1
Bovinocultura de corte,Chapada de Areia,1
Avicultura,Chapada de Areia,1
Mandiocultura,Chapada de Areia,1
Mandiocultura,Carmolândia,1
Olericultura,Carmolândia,1
Bovinocultura de corte,Nova Rosalândia,1
Avicultura,Nova Rosalândia,1
Mandiocultura,Nova Rosalândia,1
Bovinocultura de corte,Nova Rosalândia,1
Avicultura,Nova Rosalândia,1
Mandiocultura,Nova Rosalândia,1
Bovinocultura de corte,Alvorada,1
Avicultura,Alvorada,1
Mandiocultura,Alvorada,1
Mandiocultura,São Salvador do Tocantins,1
Olericultura,São Salvador do Tocantins,1
Bovinocultura de corte,Filadélfia,1
Avicultura,Filadélfia,1
Pisicultura,Filadélfia,1
Fruticultura,Filadélfia,1
Bovinocultura de corte,Araguatins,1
Avicultura,Araguatins,1
Suinocultura,Araguatins,1
Fruticultura,Araguatins,1
Avicultura,Esperantina,1
Suinocultura,Esperantina,1
Culturas anuais,Esperantina,1
Extrativismo vegetal,Esperantina,1
Suinocultura,Porto Nacional,1
Mandiocultura,Porto Nacional,1
Bovinocultura de corte,Rio dos Bois,1
Avicultura,Rio dos Bois,1
Pisicultura,Rio dos Bois,1
Culturas anuais,Rio dos Bois,1
Bovinocultura de corte,Paranã,1
Avicultura,Paranã,1
Mandiocultura,Paranã,1
Bovinocultura de corte,Divinópolis do Tocantins,1
Apicultura,Divinópolis do Tocantins,1
Meliponicultura,Divinópolis do Tocantins,1
Bovinocultura de corte,Gurupi,1
Avicultura,Gurupi,1
Agroindústria,Gurupi,1
Bovinocultura de leite,Ananás,1
Avicultura,Ananás,1
Culturas anuais,Ananás,1
Bovinocultura de corte,Filadélfia,1
Avicultura,Filadélfia,1
Culturas anuais,Filadélfia,1
Bovinocultura de corte,Ananás,1
Avicultura,Ananás,1
Culturas anuais,Ananás,1
Mandiocultura,Xambioá,1
Culturas anuais,Xambioá,1
Extrativismo vegetal,Xambioá,1
Bovinocultura de corte,Monte do Carmo,1
Suinocultura,Monte do Carmo,1
Mandiocultura,Monte do Carmo,1
Bovinocultura de corte,Tocantínia,1
Avicultura,Tocantínia,1
Suinocultura,Tocantínia,1
Mandiocultura,Tocantínia,1
Fruticultura,Tocantínia,1
Bovinocultura de corte,Araguaína,1
Avicultura,Araguaína,1
Suinocultura,Araguaína,1
Fruticultura,Araguaína,1
Culturas anuais,Araguaína,1
Bovinocultura de corte,Porto Alegre do Tocantins,1
Mandiocultura,Porto Alegre do Tocantins,1
Culturas anuais,Porto Alegre do Tocantins,1
Avicultura,Dianópolis,1
Suinocultura,Dianópolis,1
Mandiocultura,Dianópolis,1
Olericultura,Dianópolis,1
Bovinocultura de corte,Paranã,1
Mandiocultura,Paranã,1
Culturas anuais,Paranã,1
Avicultura,Nova Olinda,1
Mandiocultura,Nova Olinda,1
Fruticultura,Nova Olinda,1
Olericultura,Nova Olinda,1
Culturas anuais,Nova Olinda,1
Extrativismo vegetal,Nova Olinda,1
Avicultura,Palmeiras do Tocantins,1
Mandiocultura,Palmeiras do Tocantins,1
Olericultura,Palmeiras do Tocantins,1
Culturas anuais,Palmeiras do Tocantins,1
Bovinocultura de corte,Araguaína,1
Avicultura,Araguaína,1
Suinocultura,Araguaína,1
Mandiocultura,Araguaína,1
Fruticultura,Araguaína,1
Culturas anuais,Araguaína,1
Bovinocultura de corte,Santa Fé do Araguaia,1
Bovinocultura de leite,Santa Fé do Araguaia,1
Avicultura,Santa Fé do Araguaia,1
Suinocultura,Santa Fé do Araguaia,1
Mandiocultura,Santa Fé do Araguaia,1
Fruticultura,Santa Fé do Araguaia,1
Bovinocultura de corte,Nova Olinda,1
Avicultura,Nova Olinda,1
Suinocultura,Nova Olinda,1
Mandiocultura,Nova Olinda,1
Fruticultura,Nova Olinda,1
Culturas anuais,Nova Olinda,1
Extrativismo vegetal,Nova Olinda,1
Avicultura,Angico,1
Suinocultura,Angico,1
Mandiocultura,Angico,1
Culturas anuais,Angico,1
Bovinocultura mista (touro - com características de corte,Almas,1
Vaca - cruzada,Almas,1
Principais produtos comercializados - bezerros,Almas,1
Leite) -,Almas,1
Avicultura,Almas,1
Bovinocultura de corte,Esperantina,1
Bovinocultura de leite,Esperantina,1
Avicultura,Esperantina,1
Suinocultura,Esperantina,1
Mandiocultura,Esperantina,1
Fruticultura,Esperantina,1
Olericultura,Esperantina,1
Culturas anuais,Esperantina,1
Extrativismo vegetal,Esperantina,1
Bovinocultura de corte,Abreulândia,1
Bovinocultura de leite,Abreulândia,1
Avicultura,Abreulândia,1
Bovinocultura de leite,Gurupi,1
Avicultura,Gurupi,1
Avicultura,Marianópolis do Tocantins,1
Suinocultura,Marianópolis do Tocantins,1
Ovinocaprinocultura,Marianópolis do Tocantins,1
Mandiocultura,Marianópolis do Tocantins,1
Bovinocultura mista (touro - com características de corte,Chapada de Areia,1
Vaca - cruzada,Chapada de Areia,1
Principais produtos comercializados - bezerros,Chapada de Areia,1
Leite) -,Chapada de Areia,1
Avicultura,Chapada de Areia,1
Suinocultura,Chapada de Areia,1
Mandiocultura,Chapada de Areia,1
Fruticultura,Chapada de Areia,1
Bovinocultura de leite,Aurora do Tocantins,1
Avicultura,Aurora do Tocantins,1
Suinocultura,Aurora do Tocantins,1
Pisicultura,Aurora do Tocantins,1
Avicultura,Cristalândia,1
Suinocultura,Cristalândia,1
Bovinocultura mista (touro - com características de corte,Cariri do Tocantins,1
Vaca - cruzada,Cariri do Tocantins,1
Principais produtos comercializados - bezerros,Cariri do Tocantins,1
Leite) -,Cariri do Tocantins,1
Bovinocultura de corte,Paranã,1
Bovinocultura de corte,Goiatins,1
Mandiocultura,Goiatins,1
Bovinocultura de leite,Aliança do Tocantins,1
Bovinocultura de corte,Nova Rosalândia,1
Avicultura,Nova Rosalândia,1
Suinocultura,Nova Rosalândia,1
Mandiocultura,Abreulândia,1
Fruticultura,Abreulândia,1
Bovinocultura de corte,Paraíso do Tocantins,1
Fruticultura,Paraíso do Tocantins,1
Bovinocultura de corte,Dianópolis,1
Avicultura,Dianópolis,1
Olericultura,Dianópolis,1
Bovinocultura de corte,Lagoa da Confusão,1
Avicultura,Lagoa da Confusão,1
Fruticultura,Lagoa da Confusão,1
Avicultura,Paranã,1
Suinocultura,Paranã,1
Avicultura,Luzinópolis,1
Suinocultura,Luzinópolis,1
Bovinocultura de leite,Filadélfia,1
Avicultura,Filadélfia,1
Suinocultura,Filadélfia,1
Bovinocultura de leite,Gurupi,1
Avicultura,Gurupi,1
Suinocultura,Gurupi,1
Bovinocultura de leite,Sucupira,1
Avicultura,Sucupira,1
Suinocultura,Sucupira,1
Bovinocultura de leite,Paraíso do Tocantins,1
Avicultura,Paraíso do Tocantins,1
Olericultura,Paraíso do Tocantins,1
Avicultura,Nova Rosalândia,1
Fruticultura,Palmeiras do Tocantins,1
Bovinocultura de corte,Chapada de Areia,1
Avicultura,Chapada de Areia,1
Pisicultura,Chapada de Areia,1
Avicultura,Esperantina,1
Suinocultura,Esperantina,1
Avicultura,Almas,1
Suinocultura,Almas,1
Bovinocultura de leite,Pium,1
Avicultura,Pium,1
Suinocultura,Pium,1
Suinocultura,Barrolândia,1
Bovinocultura de leite,Axixá do Tocantins,1
Bovinocultura de corte,Colméia,1
Bovinocultura de leite,Colméia,1
Avicultura,Luzinópolis,1
Suinocultura,Luzinópolis,1
Bovinocultura de corte,Dueré,1
Bovinocultura de leite,Dueré,1
Bovinocultura mista (touro - com características de corte,Ipueiras,1
Vaca - cruzada,Ipueiras,1
Principais produtos comercializados - bezerros,Ipueiras,1
Leite) -,Ipueiras,1
Avicultura,Ipueiras,1
Mandiocultura,Ipueiras,1
Fruticultura,Ipueiras,1
Olericultura,Ipueiras,1
Culturas anuais,Ipueiras,1
Bovinocultura de leite,Axixá do Tocantins,1
Gado de cria,Barrolândia,1
Bovinocultura de leite,Palmeirópolis,1
Mandiocultura,Nova Olinda,1
Olericultura,Nova Olinda,1
Culturas anuais,Nova Olinda,1
Bovinocultura de leite,Palmeiras do Tocantins,1
Bovinocultura de corte,Paranã,1
Extrativismo vegetal,Paranã,1
Bovinocultura de leite,Araguanã,1
Turismo,Araguanã,1
Artesanato,Araguanã,1
Suinocultura,Palmeiras do Tocantins,1
Olericultura,Palmeiras do Tocantins,1
Culturas anuais,Palmeiras do Tocantins,1
Avicultura,Dianópolis,1
Olericultura,Chapada de Areia,1
Bovinocultura de leite,Marianópolis do Tocantins,1
Avicultura,Novo Acordo,1
Mandiocultura,Novo Acordo,1
Culturas anuais,Novo Acordo,1
Avicultura,Ananás,1
Mandiocultura,Ananás,1
Avicultura,Almas,1
Mandiocultura,Almas,1
Culturas anuais,Almas,1
Bovinocultura mista (touro - com características de corte,Piraquê,1
Vaca - cruzada,Piraquê,1
