atividade_produtiva,area_da_propriedade__hectares__,count
Suinocultura,100 - 200 ha,4
Mandiocultura,100 - 200 ha,4
Avicultura,20 - 50 ha,4
Mandiocultura,20 - 50 ha,4
Avicultura,20 - 50 ha,4
Mandiocultura,20 - 50 ha,4
Culturas anuais,20 - 50 ha,4
Bovinocultura de leite,10 - 20 ha,4
Mandiocultura,10 - 20 ha,4
Bovinocultura de corte,20 - 50 ha,4
Fruticultura,20 - 50 ha,4
Bovinocultura de corte,20 - 50 ha,4
Avicultura,20 - 50 ha,4
Culturas anuais,20 - 50 ha,4
Bovinocultura de corte,1 - 5 ha,4
Mandiocultura,5 - 10 ha,4
Bovinocultura mista (touro - com características de corte,20 - 50 ha,4
Vaca - cruzada,20 - 50 ha,4
Principais produtos comercializados - bezerros,20 - 50 ha,4
Leite) -,20 - 50 ha,4
Avicultura,20 - 50 ha,4
Mandiocultura,20 - 50 ha,4
Fruticultura,50 - 100 ha,4
Mandiocultura,20 - 50 ha,4
Avicultura,1 - 5 ha,4
Bovinocultura de leite,20 - 50 ha,4
Mandiocultura,20 - 50 ha,4
Avicultura,10 - 20 ha,4
Mandiocultura,10 - 20 ha,4
Mandiocultura,1 - 5 ha,4
Olericultura,1 - 5 ha,4
Bovinocultura de corte,50 - 100 ha,4
Avicultura,50 - 100 ha,4
Suinocultura,50 - 100 ha,4
Mandiocultura,50 - 100 ha,4
Fruticultura,50 - 100 ha,4
Bovinocultura mista (touro - com características de corte,20 - 50 ha,4
Vaca - cruzada,20 - 50 ha,4
Principais produtos comercializados - bezerros,20 - 50 ha,4
Leite) -,20 - 50 ha,4
Avicultura,20 - 50 ha,4
Suinocultura,20 - 50 ha,4
Mandiocultura,20 - 50 ha,4
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Bovinocultura mista (touro - com características de corte,10 - 20 ha,3
Vaca - cruzada,10 - 20 ha,3
Principais produtos comercializados - bezerros,10 - 20 ha,3
Leite) -,10 - 20 ha,3
Avicultura,10 - 20 ha,3
Suinocultura,10 - 20 ha,3
Fruticultura,10 - 20 ha,3
Avicultura,1 - 5 ha,3
Suinocultura,1 - 5 ha,3
Bovinocultura de corte,20 - 50 ha,3
Bovinocultura de leite,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Bovinocultura de corte,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Pisicultura,20 - 50 ha,3
Avicultura,10 - 20 ha,3
Suinocultura,10 - 20 ha,3
Mandiocultura,10 - 20 ha,3
Bovinocultura de leite,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Olericultura,5 - 10 ha,3
Bovinocultura de corte,100 - 200 ha,3
Avicultura,100 - 200 ha,3
Suinocultura,100 - 200 ha,3
Avicultura,1 - 5 ha,3
Mandiocultura,1 - 5 ha,3
Fruticultura,1 - 5 ha,3
Olericultura,1 - 5 ha,3
Bovinocultura de corte,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Bovinocultura de corte,100 - 200 ha,3
Bovinocultura mista (touro - com características de corte,100 - 200 ha,3
Vaca - cruzada,100 - 200 ha,3
Principais produtos comercializados - bezerros,100 - 200 ha,3
Leite) -,100 - 200 ha,3
Avicultura,5 - 10 ha,3
Mandiocultura,5 - 10 ha,3
Fruticultura,5 - 10 ha,3
Culturas anuais,5 - 10 ha,3
Bovinocultura de corte,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Bovinocultura de corte,1 - 5 ha,3
Avicultura,1 - 5 ha,3
Avicultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Mandiocultura,Até 1 ha,3
Bovinocultura de leite,50 - 100 ha,3
Avicultura,50 - 100 ha,3
Suinocultura,50 - 100 ha,3
Mandiocultura,1 - 5 ha,3
Culturas anuais,1 - 5 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Olericultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Bovinocultura de corte,50 - 100 ha,3
Avicultura,50 - 100 ha,3
Apicultura,50 - 100 ha,3
Meliponicultura,50 - 100 ha,3
Bovinocultura de corte,50 - 100 ha,3
Avicultura,50 - 100 ha,3
Mandiocultura,50 - 100 ha,3
Culturas anuais,50 - 100 ha,3
Bovinocultura de corte,10 - 20 ha,3
Avicultura,10 - 20 ha,3
Mandiocultura,10 - 20 ha,3
Bovinocultura de corte,10 - 20 ha,3
Avicultura,10 - 20 ha,3
Suinocultura,10 - 20 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Olericultura,20 - 50 ha,3
Bovinocultura de leite,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Bovinocultura de leite,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Olericultura,20 - 50 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Bovinocultura mista (touro - com características de corte,50 - 100 ha,3
Vaca - cruzada,50 - 100 ha,3
Principais produtos comercializados - bezerros,50 - 100 ha,3
Leite) -,50 - 100 ha,3
Avicultura,50 - 100 ha,3
Avicultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Extrativismo vegetal,20 - 50 ha,3
Bovinocultura de leite,20 - 50 ha,3
Avicultura,20 - 50 ha,3
Suinocultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Bovinocultura de leite,10 - 20 ha,3
Avicultura,10 - 20 ha,3
Avicultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Avicultura,Até 1 ha,3
Fruticultura,Até 1 ha,3
Bovinocultura de corte,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Bovinocultura de leite,5 - 10 ha,3
Avicultura,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Olericultura,20 - 50 ha,3
Mandiocultura,1 - 5 ha,3
Fruticultura,1 - 5 ha,3
Olericultura,1 - 5 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Fruticultura,20 - 50 ha,3
Culturas anuais,20 - 50 ha,3
Bovinocultura de corte,50 - 100 ha,3
Bovinocultura de leite,50 - 100 ha,3
Avicultura,50 - 100 ha,3
Suinocultura,50 - 100 ha,3
Bovinocultura mista (touro - com características de corte,20 - 50 ha,3
Vaca - cruzada,20 - 50 ha,3
Principais produtos comercializados - bezerros,20 - 50 ha,3
Leite) -,20 - 50 ha,3
Mandiocultura,20 - 50 ha,3
Bovinocultura de corte,50 - 100 ha,3
Fruticultura,50 - 100 ha,3
Bovinocultura de corte,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Bovinocultura de leite,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Bovinocultura de leite,10 - 20 ha,2
Pisicultura,10 - 20 ha,2
Bovinocultura de corte,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Bovinocultura de corte,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura de corte,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Avicultura,100 - 200 ha,2
Suinocultura,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Olericultura,100 - 200 ha,2
Culturas anuais,100 - 200 ha,2
Bovinocultura de corte,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Avicultura,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Fruticultura,1 - 5 ha,2
Culturas anuais,1 - 5 ha,2
Avicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura de leite,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Mandiocultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Avicultura,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura de corte,10 - 20 ha,2
Bovinocultura de leite,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Bovinocultura de corte,5 - 10 ha,2
Avicultura,5 - 10 ha,2
Suinocultura,5 - 10 ha,2
Fruticultura,5 - 10 ha,2
Culturas anuais,5 - 10 ha,2
Avicultura,10 - 20 ha,2
Ovinocaprinocultura,10 - 20 ha,2
Pisicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura de corte,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Suinocultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Bovinocultura de corte,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Suinocultura,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Fruticultura,50 - 100 ha,2
Olericultura,50 - 100 ha,2
Avicultura,5 - 10 ha,2
Suinocultura,5 - 10 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Extrativismo vegetal,20 - 50 ha,2
Bovinocultura de leite,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura de corte,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura de corte,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Bovinocultura de corte,100 - 200 ha,2
Avicultura,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Bovinocultura de corte,5 - 10 ha,2
Avicultura,5 - 10 ha,2
Suinocultura,5 - 10 ha,2
Fruticultura,5 - 10 ha,2
Bovinocultura de corte,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura de corte,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Suinocultura,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Olericultura,50 - 100 ha,2
Avicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Bovinocultura de leite,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Bovinocultura mista (touro - com características de corte,50 - 100 ha,2
Vaca - cruzada,50 - 100 ha,2
Principais produtos comercializados - bezerros,50 - 100 ha,2
Leite) -,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Suinocultura,50 - 100 ha,2
Pisicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Avicultura,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Fruticultura,50 - 100 ha,2
Olericultura,50 - 100 ha,2
Mandiocultura,Até 1 ha,2
Olericultura,Até 1 ha,2
Bovinocultura de corte,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Bovinocultura de corte,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Fruticultura,50 - 100 ha,2
Bovinocultura de corte,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Avicultura,5 - 10 ha,2
Olericultura,5 - 10 ha,2
Avicultura,1 - 5 ha,2
Pisicultura,1 - 5 ha,2
Bovinocultura de corte,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Pisicultura,20 - 50 ha,2
Extrativismo vegetal,Até 1 ha,2
Mandiocultura,10 - 20 ha,2
Olericultura,10 - 20 ha,2
Avicultura,5 - 10 ha,2
Mandiocultura,5 - 10 ha,2
Fruticultura,5 - 10 ha,2
Olericultura,5 - 10 ha,2
Culturas anuais,5 - 10 ha,2
Avicultura,1 - 5 ha,2
Suinocultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura de corte,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Suinocultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Bovinocultura de leite,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Pisicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Bovinocultura de corte,200 - 320 ha,2
Avicultura,200 - 320 ha,2
Suinocultura,200 - 320 ha,2
Bovinocultura de corte,100 - 200 ha,2
Avicultura,100 - 200 ha,2
Suinocultura,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Fruticultura,100 - 200 ha,2
Mandiocultura,1 - 5 ha,2
Fruticultura,1 - 5 ha,2
Bovinocultura de leite,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Bovinocultura de corte,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Avicultura,1 - 5 ha,2
Suinocultura,1 - 5 ha,2
Fruticultura,1 - 5 ha,2
Extrativismo vegetal,1 - 5 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Bovinocultura de corte,100 - 200 ha,2
Avicultura,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Culturas anuais,100 - 200 ha,2
Bovinocultura de corte,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Avicultura,5 - 10 ha,2
Olericultura,5 - 10 ha,2
Culturas anuais,5 - 10 ha,2
Avicultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Bovinocultura de leite,10 - 20 ha,2
Culturas anuais,10 - 20 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Bovinocultura de corte,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Olericultura,20 - 50 ha,2
Bovinocultura mista (touro - com características de corte,50 - 100 ha,2
Vaca - cruzada,50 - 100 ha,2
Principais produtos comercializados - bezerros,50 - 100 ha,2
Leite) -,50 - 100 ha,2
Avicultura,50 - 100 ha,2
Suinocultura,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Olericultura,50 - 100 ha,2
Culturas anuais,50 - 100 ha,2
Bovinocultura de corte,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Pisicultura,20 - 50 ha,2
Bovinocultura de corte,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Fruticultura,50 - 100 ha,2
Avicultura,5 - 10 ha,2
Avicultura,1 - 5 ha,2
Suinocultura,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Mandiocultura,5 - 10 ha,2
Fruticultura,5 - 10 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Extrativismo vegetal,20 - 50 ha,2
Bovinocultura de corte,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Ovinocaprinocultura,20 - 50 ha,2
Avicultura,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Fruticultura,1 - 5 ha,2
Fruticultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Bovinocultura mista (touro - com características de corte,5 - 10 ha,2
Vaca - cruzada,5 - 10 ha,2
Principais produtos comercializados - bezerros,5 - 10 ha,2
Leite) -,5 - 10 ha,2
Avicultura,5 - 10 ha,2
Mandiocultura,5 - 10 ha,2
Bovinocultura de corte,50 - 100 ha,2
Bovinocultura mista (touro - com características de corte,50 - 100 ha,2
Vaca - cruzada,50 - 100 ha,2
Principais produtos comercializados - bezerros,50 - 100 ha,2
Leite) -,50 - 100 ha,2
Bovinocultura mista (touro - com características de corte,50 - 100 ha,2
Vaca - cruzada,50 - 100 ha,2
Principais produtos comercializados - bezerros,50 - 100 ha,2
Leite) -,50 - 100 ha,2
Mandiocultura,50 - 100 ha,2
Culturas anuais,50 - 100 ha,2
Bovinocultura de corte,Acima de 320 ha,2
Bovinocultura de leite,10 - 20 ha,2
Avicultura,10 - 20 ha,2
Mandiocultura,10 - 20 ha,2
Bovinocultura mista (touro - com características de corte,5 - 10 ha,2
Vaca - cruzada,5 - 10 ha,2
Principais produtos comercializados - bezerros,5 - 10 ha,2
Leite) -,5 - 10 ha,2
Avicultura,5 - 10 ha,2
Bovinocultura mista (touro - com características de corte,1 - 5 ha,2
Vaca - cruzada,1 - 5 ha,2
Principais produtos comercializados - bezerros,1 - 5 ha,2
Leite) -,1 - 5 ha,2
Bovinocultura de corte,100 - 200 ha,2
Bovinocultura mista (touro - com características de corte,100 - 200 ha,2
Vaca - cruzada,100 - 200 ha,2
Principais produtos comercializados - bezerros,100 - 200 ha,2
Leite) -,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Culturas anuais,100 - 200 ha,2
Bovinocultura de corte,5 - 10 ha,2
Avicultura,5 - 10 ha,2
Mandiocultura,5 - 10 ha,2
Bovinocultura mista (touro - com características de corte,20 - 50 ha,2
Vaca - cruzada,20 - 50 ha,2
Principais produtos comercializados - bezerros,20 - 50 ha,2
Leite) -,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Culturas anuais,20 - 50 ha,2
Mandiocultura,10 - 20 ha,2
Fruticultura,10 - 20 ha,2
Bovinocultura de corte,20 - 50 ha,2
Pisicultura,20 - 50 ha,2
Avicultura,1 - 5 ha,2
Pisicultura,1 - 5 ha,2
Mandiocultura,1 - 5 ha,2
Olericultura,1 - 5 ha,2
Bovinocultura mista (touro - com características de corte,100 - 200 ha,2
Vaca - cruzada,100 - 200 ha,2
Principais produtos comercializados - bezerros,100 - 200 ha,2
Leite) -,100 - 200 ha,2
Avicultura,100 - 200 ha,2
Mandiocultura,100 - 200 ha,2
Culturas anuais,100 - 200 ha,2
Bovinocultura de leite,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Pisicultura,20 - 50 ha,2
Bovinocultura de corte,20 - 50 ha,2
Bovinocultura de leite,20 - 50 ha,2
Avicultura,20 - 50 ha,2
Suinocultura,20 - 50 ha,2
Mandiocultura,20 - 50 ha,2
Fruticultura,20 - 50 ha,2
Bovinocultura de corte,200 - 320 ha,2
Fruticultura,200 - 320 ha,2
Mandiocultura,200 - 320 ha,2
Extrativismo vegetal,200 - 320 ha,2
Bovinocultura mista (touro - com características de corte,10 - 20 ha,2
Vaca - cruzada,10 - 20 ha,2
Principais produtos comercializados - bezerros,10 - 20 ha,2
Leite) -,10 - 20 ha,2
Bovinocultura de corte,50 - 100 ha,1
Bovinocultura de leite,50 - 100 ha,1
Avicultura,50 - 100 ha,1
Suinocultura,50 - 100 ha,1
Fruticultura,50 - 100 ha,1
Olericultura,50 - 100 ha,1
Avicultura,20 - 50 ha,1
