uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Aceiros,,Rio dos Bois,2
Calagem,,Rio dos Bois,2
Adubação verde,,Chapada de Areia,2
Aceiros,Não possui degradação,Guaraí,2
Calagem,Não possui degradação,Guaraí,2
Adubação,Não possui degradação,Guaraí,2
Rotação de cultura,Degradação Média,Paranã,2
Aceiros,Degradação Média,Paranã,2
Consórcio,Degradação Média,Paranã,2
Recuperação de pastagens,Degradação Média,Paranã,2
Plantio direto,Degradação Média,Paranã,2
Aceiros,Pouco degradado,Monte do Carmo,2
Não usa,,Divinópolis do Tocantins,2
Aceiros,Degradação Média,Aliança do Tocantins,2
Calagem,Degradação Média,Aliança do Tocantins,2
Rotação de cultura,,São Miguel do Tocantins,2
Adubação,,São Miguel do Tocantins,2
Aceiros,Pouco degradado,Goiatins,2
Calagem,Pouco degradado,Goiatins,2
Descarte correto de embalagens,Pouco degradado,Goiatins,2
Rotação de cultura,,Araguaína,2
Aceiros,,Araguaína,2
Adubação verde,,Bom Jesus do Tocantins,2
Aceiros,,Bom Jesus do Tocantins,2
Aceiros,,Pium,2
Reaproveitamento de residuos,,Ananás,2
Consórcio,,Ananás,2
Calagem,Não possui degradação,Guaraí,2
Adubação,Não possui degradação,Guaraí,2
Aceiros,Pouco degradado,Araguaína,2
Adubação,Pouco degradado,Araguaína,2
Adubação,Não possui degradação,Novo Jardim,2
Aceiros,Não possui degradação,Marianópolis do Tocantins,2
Aceiros,,Gurupi,2
Calagem,,Gurupi,2
Aceiros,Não possui degradação,Monte Santo do Tocantins,2
Aceiros,Pouco degradado,Miranorte,2
Calagem,Pouco degradado,Miranorte,2
Adubação,Pouco degradado,Miranorte,2
Calagem,Degradação Média,Nova Rosalândia,2
Plantio direto,Degradação Média,Nova Rosalândia,2
Adubação,Degradação Média,Nova Rosalândia,2
Aceiros,,Nova Olinda,2
Calagem,,Nova Olinda,2
Adubação,,Nova Olinda,2
Calagem,,Araguaína,2
Consórcio,,Araguaína,2
Adubação,,Araguaína,2
Não usa,Não possui degradação,Talismã,2
Aceiros,Não possui degradação,Dianópolis,2
Aceiros,Pouco degradado,Filadélfia,2
Aceiros,Não possui degradação,Pium,2
Calagem,Não possui degradação,Pium,2
Adubação,Não possui degradação,Pium,2
Aceiros,Não possui degradação,Miranorte,2
Aceiros,Não possui degradação,Piraquê,2
Recuperação de pastagens,Não possui degradação,Piraquê,2
Rotação de cultura,Não possui degradação,Araguanã,2
Aceiros,Não possui degradação,Araguanã,2
Aceiros,Pouco degradado,Divinópolis do Tocantins,2
Não usa,Pouco degradado,Abreulândia,2
Aceiros,,darcinópolis,2
Descarte correto de embalagens,,darcinópolis,2
Adubação,,darcinópolis,2
Reaproveitamento de residuos,,Nova Rosalândia,2
Calagem,,Nova Rosalândia,2
Plantio direto,,Nova Rosalândia,2
Adubação,,Nova Rosalândia,2
Adubação,,Dianópolis,2
Adubação verde,,Paraíso do Tocantins,2
Plantio direto,,Paraíso do Tocantins,2
Aceiros,,Araguaína,2
Consórcio,,Araguaína,2
Aceiros,Pouco degradado,Talismã,2
Aceiros,Pouco degradado,Barrolândia,2
Descarte correto de embalagens,Pouco degradado,Barrolândia,2
Recuperação de pastagens,Pouco degradado,Barrolândia,2
Aceiros,Não possui degradação,Filadélfia,2
Descarte correto de embalagens,Não possui degradação,Filadélfia,2
Recuperação de pastagens,Não possui degradação,Filadélfia,2
Aceiros,,Filadélfia,2
Adubação verde,Degradação Média,Nova Rosalândia,2
Calagem,Degradação Média,Nova Rosalândia,2
Plantio direto,Degradação Média,Nova Rosalândia,2
Adubação,Degradação Média,Nova Rosalândia,2
Não usa,Degradação Média,Gurupi,2
Aceiros,Pouco degradado,Filadélfia,2
Curva de nível,,Couto Magalhães,2
Reaproveitamento de residuos,,Couto Magalhães,2
Aceiros,Pouco degradado,Pium,2
Calagem,Pouco degradado,Pium,2
Adubação,Pouco degradado,Pium,2
Aceiros,Não possui degradação,Pium,2
Adubação,,Lagoa da Confusão,2
Aceiros,Degradação Média,Peixe,2
Adubação,Degradação Média,Peixe,2
Aceiros,Pouco degradado,Cristalândia,2
Rotação de cultura,,Nova Olinda,2
Aceiros,,Nova Olinda,2
Calagem,,Nova Olinda,2
Adubação,,Nova Olinda,2
Aceiros,Pouco degradado,Goiatins,2
Calagem,Pouco degradado,Goiatins,2
Recuperação de pastagens,Pouco degradado,Goiatins,2
Aceiros,Pouco degradado,Sucupira,2
Adubação,Pouco degradado,Sucupira,2
Adubação verde,Pouco degradado,Chapada de Areia,2
Plantio direto,Pouco degradado,Chapada de Areia,2
Aceiros,,Ponte Alta do Bom Jesus,2
Aceiros,,Sítio Novo do Tocantins,2
Descarte correto de embalagens,,Sítio Novo do Tocantins,2
Aceiros,Degradação Média,Pium,2
Adubação,Degradação Média,Pium,2
Aceiros,Pouco degradado,Aurora do Tocantins,2
Calagem,Não possui degradação,Almas,2
Aceiros,Degradação Média,Luzinópolis,2
Recuperação de pastagens,Degradação Média,Luzinópolis,2
Aceiros,,Santa Maria do Tocantins,2
Plantio direto,,Santa Maria do Tocantins,2
Adubação,,Santa Maria do Tocantins,2
Aceiros,,Pium,2
Adubação,,Pium,2
Não usa,,Caseara,2
Aceiros,,Gurupi,2
Rotação de cultura,Pouco degradado,Araguanã,2
Aceiros,Pouco degradado,Araguanã,2
Aceiros,,Tupirama,2
Aceiros,Não possui degradação,Araguaína,2
Consórcio,Não possui degradação,Araguaína,2
Adubação,Não possui degradação,Araguaína,2
Não usa,,Esperantina,1
Aceiros,,Marianópolis do Tocantins,1
Calagem,,Marianópolis do Tocantins,1
Aceiros,,São Bento do Tocantins,1
Aproveitamento da floresta,,São Bento do Tocantins,1
Aceiros,Degradação Média,Jaú do Tocantins,1
Aceiros,Não possui degradação,Rio Sono,1
Plantio direto,Não possui degradação,Rio Sono,1
Aceiros,,Divinópolis do Tocantins,1
Adubação verde,,Babaçulândia,1
Reaproveitamento de residuos,,Babaçulândia,1
Rotação de cultura,,Babaçulândia,1
Aceiros,,Babaçulândia,1
Consórcio,,Babaçulândia,1
Plantio direto,,Babaçulândia,1
Curva de nível,,Almas,1
Adubação verde,,Almas,1
Aceiros,,Almas,1
Calagem,,Almas,1
Rotação de cultura,,Luzinópolis,1
Aceiros,,Luzinópolis,1
Consórcio,,Luzinópolis,1
Aceiros,,Cristalândia,1
Calagem,,Cristalândia,1
Adubação,,Cristalândia,1
Aceiros,,Filadélfia,1
Descarte correto de embalagens,,Filadélfia,1
Aceiros,Pouco degradado,Palmeirópolis,1
Calagem,Pouco degradado,Palmeirópolis,1
Adubação,Pouco degradado,Palmeirópolis,1
Aceiros,,Filadélfia,1
Não usa,,Filadélfia,1
Reaproveitamento de residuos,,Ananás,1
Adubação verde,Pouco degradado,Rio da Conceição,1
Calagem,Pouco degradado,Rio da Conceição,1
Plantio direto,Pouco degradado,Rio da Conceição,1
Adubação,Pouco degradado,Rio da Conceição,1
Rotação de cultura,,Dianópolis,1
Aceiros,,Dianópolis,1
Aceiros,Degradação Média,Xambioá,1
Descarte correto de embalagens,Degradação Média,Xambioá,1
Recuperação de pastagens,Degradação Média,Xambioá,1
Adubação verde,Não possui degradação,Almas,1
Aceiros,Não possui degradação,Almas,1
Rotação de cultura,,São Miguel do Tocantins,1
Aceiros,,São Miguel do Tocantins,1
Adubação,,São Miguel do Tocantins,1
Aceiros,Degradação Média,Gurupi,1
Consórcio,,Tocantínia,1
Adubação,,Tocantínia,1
Aceiros,,Filadélfia,1
Recuperação de pastagens,,Filadélfia,1
Curva de nível,Pouco degradado,,1
Adubação verde,Pouco degradado,,1
Aceiros,Pouco degradado,,1
Calagem,Pouco degradado,,1
Adubação,Pouco degradado,,1
Aceiros,,Araguaína,1
Calagem,,Araguaína,1
Adubação,,Araguaína,1
Aceiros,,Araguaína,1
Adubação,,Araguaína,1
Rotação de cultura,Não possui degradação,Novo Jardim,1
Aceiros,Não possui degradação,Gurupi,1
Adubação,Não possui degradação,Gurupi,1
Aceiros,Degradação Média,Cristalândia,1
Calagem,Degradação Média,Cristalândia,1
Aceiros,Não possui degradação,Cristalândia,1
Não usa,Não possui degradação,Cristalândia,1
Recuperação de pastagens,Pouco degradado,Araguaçu,1
Aceiros,Pouco degradado,Alvorada,1
Aceiros,,Aragominas,1
Calagem,,Aragominas,1
Adubação,,Aragominas,1
Curva de nível,Não possui degradação,Couto Magalhães,1
Adubação verde,Não possui degradação,Couto Magalhães,1
Rotação de cultura,Não possui degradação,Couto Magalhães,1
Calagem,Não possui degradação,Couto Magalhães,1
Ilp - integração lavoura pecuária,Não possui degradação,Couto Magalhães,1
Recuperação de pastagens,Não possui degradação,Couto Magalhães,1
Plantio direto,Não possui degradação,Couto Magalhães,1
Adubação,Não possui degradação,Couto Magalhães,1
Curva de nível,Não possui degradação,Guaraí,1
Adubação verde,Não possui degradação,Guaraí,1
Calagem,Não possui degradação,Guaraí,1
Adubação,Não possui degradação,Guaraí,1
Aceiros,Não possui degradação,Gurupi,1
Rotação de cultura,Muito degradado,Araguatins,1
Calagem,Muito degradado,Araguatins,1
Recuperação de pastagens,Muito degradado,Araguatins,1
Não usa,Muito degradado,Araguatins,1
Aceiros,Pouco degradado,Ponte Alta do Bom Jesus,1
Calagem,Pouco degradado,Ponte Alta do Bom Jesus,1
Recuperação de pastagens,Pouco degradado,Ponte Alta do Bom Jesus,1
Aceiros,Degradação Média,Silvanópolis,1
Calagem,Degradação Média,Silvanópolis,1
Recuperação de pastagens,Degradação Média,Silvanópolis,1
Adubação,Degradação Média,Silvanópolis,1
Rotação de cultura,Pouco degradado,Peixe,1
Aceiros,Pouco degradado,Peixe,1
Calagem,Pouco degradado,Peixe,1
Adubação,Pouco degradado,Peixe,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
Plantio direto,Não possui degradação,Divinópolis do Tocantins,1
Aceiros,Pouco degradado,Santa Fé do Araguaia,1
Adubação,Pouco degradado,Santa Fé do Araguaia,1
Aceiros,,Araguaína,1
Calagem,,Araguaína,1
Adubação,,Araguaína,1
Aceiros,,Nova Olinda,1
Consórcio,,Nova Olinda,1
Aceiros,,Gurupi,1
Plantio direto,,Chapada de Areia,1
Não usa,Degradação Média,Dueré,1
Curva de nível,Pouco degradado,Guaraí,1
Adubação verde,Pouco degradado,Guaraí,1
Aceiros,Pouco degradado,Guaraí,1
Calagem,Pouco degradado,Guaraí,1
Recuperação de pastagens,Pouco degradado,Guaraí,1
Adubação,Pouco degradado,Guaraí,1
Aceiros,,Araguaçu,1
Recuperação de pastagens,,Araguaçu,1
Aceiros,Não possui degradação,Guaraí,1
Aceiros,Pouco degradado,Monte Santo do Tocantins,1
Aceiros,Não possui degradação,Sucupira,1
Calagem,Não possui degradação,Sucupira,1
Adubação,Não possui degradação,Sucupira,1
Aceiros,Degradação Média,Filadélfia,1
Adubação,Degradação Média,Filadélfia,1
Adubação verde,,dois Irmãos do Tocantins,1
Aceiros,,dois Irmãos do Tocantins,1
Calagem,,dois Irmãos do Tocantins,1
Adubação,,dois Irmãos do Tocantins,1
Aceiros,Pouco degradado,Alvorada,1
Descarte correto de embalagens,Pouco degradado,Alvorada,1
Aceiros,Muito degradado,Sucupira,1
Calagem,Degradação Média,Nova Rosalândia,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Degradação Média,Nova Rosalândia,1
Adubação verde,Não possui degradação,Pugmil,1
Rotação de cultura,Não possui degradação,Pugmil,1
Aceiros,Não possui degradação,Pugmil,1
Calagem,Não possui degradação,Pugmil,1
Recuperação de pastagens,Não possui degradação,Pugmil,1
Plantio direto,Não possui degradação,Pugmil,1
Adubação,Não possui degradação,Pugmil,1
Rotação de cultura,Pouco degradado,Pium,1
Aceiros,Pouco degradado,Pium,1
Adubação,Pouco degradado,Pium,1
Adubação verde,Pouco degradado,Almas,1
Reaproveitamento de residuos,Pouco degradado,Almas,1
Aceiros,Pouco degradado,Almas,1
Descarte correto de embalagens,Pouco degradado,Almas,1
Adubação,Pouco degradado,Almas,1
Aceiros,Degradação Média,Silvanópolis,1
Calagem,Degradação Média,Silvanópolis,1
Recuperação de pastagens,Degradação Média,Silvanópolis,1
Não usa,Pouco degradado,Paraíso do Tocantins,1
Aceiros,Pouco degradado,Dueré,1
Calagem,Pouco degradado,Dueré,1
Adubação,Pouco degradado,Dueré,1
Adubação verde,Não possui degradação,Almas,1
Reaproveitamento de residuos,Não possui degradação,Almas,1
Rotação de cultura,Não possui degradação,Almas,1
Aceiros,Não possui degradação,Almas,1
Descarte correto de embalagens,Não possui degradação,Almas,1
Aceiros,Não possui degradação,Araguaína,1
Descarte correto de embalagens,Não possui degradação,Araguaína,1
Plantio direto,Não possui degradação,Araguaína,1
Aceiros,Degradação Média,Colméia,1
Adubação verde,Não possui degradação,Paranã,1
Rotação de cultura,Não possui degradação,Paranã,1
Plantio direto,Degradação Média,Chapada de Areia,1
Aceiros,Degradação Média,Peixe,1
Adubação verde,,Rio da Conceição,1
Plantio direto,,Rio da Conceição,1
Adubação,,Rio da Conceição,1
Calagem,Não possui degradação,Dianópolis,1
Rotação de cultura,Degradação Média,Silvanópolis,1
Aceiros,Degradação Média,Silvanópolis,1
Calagem,Degradação Média,Silvanópolis,1
Recuperação de pastagens,Degradação Média,Silvanópolis,1
Adubação,Degradação Média,Silvanópolis,1
Aceiros,Não possui degradação,Barrolândia,1
Descarte correto de embalagens,Não possui degradação,Barrolândia,1
Recuperação de pastagens,Não possui degradação,Barrolândia,1
Adubação,Não possui degradação,Barrolândia,1
Rotação de cultura,Não possui degradação,Nova Olinda,1
Calagem,Não possui degradação,Nova Olinda,1
Consórcio,Não possui degradação,Nova Olinda,1
Adubação,Não possui degradação,Nova Olinda,1
Adubação verde,Degradação Média,Nova Rosalândia,1
Rotação de cultura,Degradação Média,Nova Rosalândia,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Degradação Média,Nova Rosalândia,1
Aceiros,Degradação Média,dois Irmãos do Tocantins,1
Calagem,Degradação Média,dois Irmãos do Tocantins,1
Adubação,Degradação Média,dois Irmãos do Tocantins,1
Reaproveitamento de residuos,Não possui degradação,Cristalândia,1
Aceiros,Não possui degradação,Cristalândia,1
Plantio direto,,Esperantina,1
Aceiros,Pouco degradado,Ipueiras,1
Adubação verde,Pouco degradado,Chapada da Natividade,1
Aceiros,Pouco degradado,Chapada da Natividade,1
Recuperação de pastagens,Pouco degradado,Chapada da Natividade,1
Adubação,Pouco degradado,Chapada da Natividade,1
Aceiros,Não possui degradação,Rio Sono,1
Recuperação de pastagens,Não possui degradação,Rio Sono,1
Plantio direto,Não possui degradação,Rio Sono,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
Ilp - integração lavoura pecuária,Não possui degradação,Dianópolis,1
Reaproveitamento de residuos,Não possui degradação,Palmeiras do Tocantins,1
Aceiros,Não possui degradação,Palmeiras do Tocantins,1
Calagem,Não possui degradação,Palmeiras do Tocantins,1
Descarte correto de embalagens,Não possui degradação,Palmeiras do Tocantins,1
Adubação,Não possui degradação,Palmeiras do Tocantins,1
Aceiros,,Abreulândia,1
Aceiros,,Palmeiras do Tocantins,1
Recuperação de pastagens,,Palmeiras do Tocantins,1
Não usa,Não possui degradação,Caseara,1
Reaproveitamento de residuos,,Novo Acordo,1
Aceiros,Pouco degradado,Barrolândia,1
Recuperação de pastagens,Pouco degradado,Barrolândia,1
Curva de nível,,Almas,1
Adubação verde,,Almas,1
Rotação de cultura,,Almas,1
Aceiros,,Almas,1
Aceiros,Não possui degradação,Ponte Alta do Bom Jesus,1
Adubação verde,Pouco degradado,Guaraí,1
Aceiros,Pouco degradado,Guaraí,1
Calagem,Pouco degradado,Guaraí,1
Consórcio,Pouco degradado,Guaraí,1
Adubação,Pouco degradado,Guaraí,1
Aceiros,Degradação Média,Araguaçu,1
Calagem,Degradação Média,Araguaçu,1
Recuperação de pastagens,Degradação Média,Araguaçu,1
Adubação,Degradação Média,Araguaçu,1
Aceiros,Pouco degradado,Barrolândia,1
Descarte correto de embalagens,Pouco degradado,Barrolândia,1
Recuperação de pastagens,Pouco degradado,Barrolândia,1
Plantio direto,Pouco degradado,Barrolândia,1
Rotação de cultura,,Crixás do Tocantins,1
Calagem,,Crixás do Tocantins,1
Adubação,,Crixás do Tocantins,1
Rotação de cultura,Pouco degradado,Paranã,1
Aceiros,Pouco degradado,Paranã,1
Consórcio,Pouco degradado,Paranã,1
Recuperação de pastagens,Pouco degradado,Paranã,1
Plantio direto,Pouco degradado,Paranã,1
Adubação,Pouco degradado,Paranã,1
Rotação de cultura,,Figueirópolis,1
Adubação verde,Não possui degradação,Paranã,1
Rotação de cultura,Não possui degradação,Paranã,1
Aceiros,Não possui degradação,Paranã,1
Reaproveitamento de residuos,,Fortaleza do Tabocão,1
Rotação de cultura,,Fortaleza do Tabocão,1
Calagem,,Fortaleza do Tabocão,1
Descarte correto de embalagens,,Fortaleza do Tabocão,1
Adubação,,Fortaleza do Tabocão,1
Rotação de cultura,,Araguatins,1
Aceiros,,Araguatins,1
Calagem,,Araguatins,1
Consórcio,,Araguatins,1
Plantio direto,,Araguatins,1
Adubação,,Araguatins,1
Rotação de cultura,,Angico,1
Aceiros,,Angico,1
Consórcio,,Angico,1
Adubação,,Angico,1
Rotação de cultura,,Babaçulândia,1
Aceiros,,Babaçulândia,1
Plantio direto,,Babaçulândia,1
Adubação verde,,Porto Nacional,1
Reaproveitamento de residuos,,Porto Nacional,1
Calagem,,Porto Nacional,1
Adubação,,Porto Nacional,1
Reaproveitamento de residuos,,darcinópolis,1
Aceiros,,darcinópolis,1
Adubação,,darcinópolis,1
Rotação de cultura,Não possui degradação,Paranã,1
Consórcio,Não possui degradação,Paranã,1
Rotação de cultura,Não possui degradação,Lagoa da Confusão,1
Calagem,Não possui degradação,Lagoa da Confusão,1
Ilp - integração lavoura pecuária,Não possui degradação,Lagoa da Confusão,1
Plantio direto,Não possui degradação,Lagoa da Confusão,1
Adubação,Não possui degradação,Lagoa da Confusão,1
Aceiros,Pouco degradado,Axixá do Tocantins,1
Adubação verde,,Almas,1
Aceiros,,Almas,1
Adubação,Degradação Média,Xambioá,1
Aceiros,Não possui degradação,Miranorte,1
Adubação,Não possui degradação,Miranorte,1
Calagem,,Porto Alegre do Tocantins,1
Adubação verde,,Almas,1
Reaproveitamento de residuos,,Almas,1
Aceiros,,Almas,1
Consórcio,,Almas,1
Descarte correto de embalagens,,Almas,1
Rotação de cultura,Pouco degradado,Paranã,1
