uso_de_praticas_convencionais,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Plantio convencional,Não possui degradação,Monte Santo do Tocantins,2
Aração,Não possui degradação,Monte Santo do Tocantins,2
Gradagem,Não possui degradação,Monte Santo do Tocantins,2
Plantio convencional,Não possui degradação,Paranã,2
Aração,Não possui degradação,Paranã,2
Gradagem,Não possui degradação,Paranã,2
Pastagem nativa,Não possui degradação,Paranã,2
Plantio convencional,,Caseara,2
Aração,,Caseara,2
Gradagem,,Caseara,2
Pastagem nativa,,Caseara,2
Plantio convencional,Pouco degradado,Pugmil,2
Aração,Pouco degradado,Pugmil,2
Gradagem,Pouco degradado,Pugmil,2
Uso de agrotóxicos,Pouco degradado,Pugmil,2
Plantio convencional,Não possui degradação,Riachinho,2
Aração,Não possui degradação,Riachinho,2
Gradagem,Não possui degradação,Riachinho,2
Aração,Pouco degradado,Miranorte,2
Gradagem,Pouco degradado,Miranorte,2
Não usa,Pouco degradado,Miranorte,2
Roça de toco,,Xambioá,2
Plantio convencional,,Xambioá,2
Aração,,Xambioá,2
Gradagem,,Xambioá,2
Queimadas,,Xambioá,2
Monocultura,,Xambioá,2
Roça de toco,,Carmolândia,2
Aração,,Carmolândia,2
Gradagem,,Carmolândia,2
Pastagem nativa,,Carmolândia,2
Roça de toco,,Araguaína,2
Plantio convencional,,Araguaína,2
Aração,,Araguaína,2
Gradagem,,Araguaína,2
Queimadas,,Araguaína,2
Pastagem nativa,,Araguaína,2
Uso de agrotóxicos,,Araguaína,2
Aração,Pouco degradado,Divinópolis do Tocantins,2
Gradagem,Pouco degradado,Divinópolis do Tocantins,2
Pastagem nativa,Pouco degradado,Divinópolis do Tocantins,2
Roça de toco,,Tocantínia,2
Queimadas,,Tocantínia,2
Queimadas,Degradação Média,Xambioá,2
Uso de agrotóxicos,Degradação Média,Xambioá,2
Plantio convencional,Pouco degradado,Divinópolis do Tocantins,2
Aração,Pouco degradado,Divinópolis do Tocantins,2
Gradagem,Pouco degradado,Divinópolis do Tocantins,2
Plantio convencional,Pouco degradado,Goiatins,2
Aração,Pouco degradado,Goiatins,2
Gradagem,Pouco degradado,Goiatins,2
Pastagem nativa,Pouco degradado,Goiatins,2
Roça de toco,Não possui degradação,Pedro Afonso,2
Aração,Não possui degradação,Pedro Afonso,2
Gradagem,Não possui degradação,Pedro Afonso,2
Pastagem nativa,Não possui degradação,Pedro Afonso,2
Plantio convencional,Não possui degradação,Itaporã do Tocantins,2
Uso de agrotóxicos,Não possui degradação,Itaporã do Tocantins,2
Plantio convencional,Pouco degradado,Miracema do Tocantins,2
Aração,Pouco degradado,Miracema do Tocantins,2
Gradagem,Pouco degradado,Miracema do Tocantins,2
Pastagem nativa,Pouco degradado,Miracema do Tocantins,2
Roça de toco,,Araguatins,2
Plantio convencional,,Araguatins,2
Aração,,Araguatins,2
Gradagem,,Araguatins,2
Queimadas,,Araguatins,2
Uso de agrotóxicos,,Araguatins,2
Uso de agrotóxicos,Pouco degradado,Rio dos Bois,2
Aração,Não possui degradação,Guaraí,2
Gradagem,Não possui degradação,Guaraí,2
Roça de toco,,Dianópolis,2
Plantio convencional,,Dianópolis,2
Plantio convencional,Pouco degradado,Axixá do Tocantins,2
Uso de agrotóxicos,Pouco degradado,Axixá do Tocantins,2
Aração,,dois Irmãos do Tocantins,2
Gradagem,,dois Irmãos do Tocantins,2
Uso de agrotóxicos,,dois Irmãos do Tocantins,2
Aração,Não possui degradação,Miranorte,2
Gradagem,Não possui degradação,Miranorte,2
Plantio convencional,Degradação Média,Nova Olinda,2
Aração,Degradação Média,Nova Olinda,2
Gradagem,Degradação Média,Nova Olinda,2
Pastagem nativa,Degradação Média,Nova Olinda,2
Monocultura,Degradação Média,Nova Olinda,2
Uso de agrotóxicos,Degradação Média,Nova Olinda,2
Plantio convencional,Não possui degradação,Divinópolis do Tocantins,2
Aração,Não possui degradação,Divinópolis do Tocantins,2
Gradagem,Não possui degradação,Divinópolis do Tocantins,2
Plantio convencional,Não possui degradação,Marianópolis do Tocantins,2
Aração,Não possui degradação,Marianópolis do Tocantins,2
Gradagem,Não possui degradação,Marianópolis do Tocantins,2
Aração,,Riachinho,2
Gradagem,,Riachinho,2
Aração,Pouco degradado,Aurora do Tocantins,2
Gradagem,Pouco degradado,Aurora do Tocantins,2
Roça de toco,Pouco degradado,Monte do Carmo,2
Plantio convencional,Pouco degradado,Monte do Carmo,2
Monocultura,Pouco degradado,Monte do Carmo,2
Plantio convencional,Não possui degradação,Miranorte,2
Roça de toco,Não possui degradação,Caseara,2
Plantio convencional,Não possui degradação,Caseara,2
Aração,Não possui degradação,Piraquê,2
Gradagem,Não possui degradação,Piraquê,2
Uso de agrotóxicos,Não possui degradação,Piraquê,2
Aração,Pouco degradado,Pium,2
Gradagem,Pouco degradado,Pium,2
Pastagem nativa,Pouco degradado,Pium,2
Não usa,,Miracema do Tocantins,2
Plantio convencional,Não possui degradação,Nova Olinda,2
Aração,Não possui degradação,Nova Olinda,2
Gradagem,Não possui degradação,Nova Olinda,2
Pastagem nativa,Não possui degradação,Nova Olinda,2
Roça de toco,Não possui degradação,Paranã,2
Plantio convencional,Não possui degradação,Chapada de Areia,2
Aração,Não possui degradação,Chapada de Areia,2
Gradagem,Não possui degradação,Chapada de Areia,2
Uso de agrotóxicos,Não possui degradação,Chapada de Areia,2
Não usa,,Rio da Conceição,2
Plantio convencional,,Palmeirópolis,2
Aração,,Palmeirópolis,2
Gradagem,,Palmeirópolis,2
Uso de agrotóxicos,,Palmeirópolis,2
Aração,Pouco degradado,Cristalândia,2
Gradagem,Pouco degradado,Cristalândia,2
Queimadas,Pouco degradado,Cristalândia,2
Uso de agrotóxicos,Pouco degradado,Cristalândia,2
Plantio convencional,Pouco degradado,Paraíso do Tocantins,2
Aração,Pouco degradado,Paraíso do Tocantins,2
Gradagem,Pouco degradado,Paraíso do Tocantins,2
Plantio convencional,,Palmas,2
Roça de toco,Não possui degradação,Dianópolis,2
Aração,Não possui degradação,Dianópolis,2
Gradagem,Não possui degradação,Dianópolis,2
Plantio convencional,,Rio dos Bois,2
Aração,,Rio dos Bois,2
Gradagem,,Rio dos Bois,2
Uso de agrotóxicos,,Rio dos Bois,2
Plantio convencional,Não possui degradação,Axixá do Tocantins,2
Aração,Não possui degradação,Axixá do Tocantins,2
Gradagem,Não possui degradação,Axixá do Tocantins,2
Uso de agrotóxicos,Não possui degradação,Axixá do Tocantins,2
Aração,Pouco degradado,Pium,2
Gradagem,Pouco degradado,Pium,2
Uso de agrotóxicos,Pouco degradado,Pium,2
Plantio convencional,Degradação Média,São Salvador do Tocantins,2
Aração,Degradação Média,São Salvador do Tocantins,2
Gradagem,Degradação Média,São Salvador do Tocantins,2
Aração,Não possui degradação,Gurupi,2
Gradagem,Não possui degradação,Gurupi,2
Plantio convencional,Pouco degradado,Miracema do Tocantins,2
Aração,Pouco degradado,Miracema do Tocantins,2
Gradagem,Pouco degradado,Miracema do Tocantins,2
Uso de agrotóxicos,Pouco degradado,Miracema do Tocantins,2
Plantio convencional,Degradação Média,Marianópolis do Tocantins,2
Pastagem nativa,Degradação Média,Marianópolis do Tocantins,2
Uso de agrotóxicos,Degradação Média,Marianópolis do Tocantins,2
Aração,Não possui degradação,Guaraí,2
Gradagem,Não possui degradação,Guaraí,2
Uso de agrotóxicos,Não possui degradação,Guaraí,2
Plantio convencional,,Nova Olinda,2
Aração,,Nova Olinda,2
Gradagem,,Nova Olinda,2
Pastagem nativa,,Nova Olinda,2
Monocultura,,Nova Olinda,2
Queimadas,Pouco degradado,Muricilândia,2
Uso de agrotóxicos,Pouco degradado,Muricilândia,2
Roça de toco,,Ananás,2
Aração,,Ananás,2
Gradagem,,Ananás,2
Aração,,Tupirama,2
Gradagem,,Tupirama,2
Plantio convencional,,Palmas,2
Aração,,Palmas,2
Gradagem,,Palmas,2
Plantio convencional,Pouco degradado,Ponte Alta do Bom Jesus,2
Aração,Pouco degradado,Ponte Alta do Bom Jesus,2
Gradagem,Pouco degradado,Ponte Alta do Bom Jesus,2
Roça de toco,Pouco degradado,Araguanã,2
Plantio convencional,Pouco degradado,Araguanã,2
Aração,Pouco degradado,Araguanã,2
Gradagem,Pouco degradado,Araguanã,2
Queimadas,Pouco degradado,Araguanã,2
Plantio convencional,,Peixe,2
Aração,,Peixe,2
Gradagem,,Peixe,2
Uso de agrotóxicos,,Peixe,2
Plantio convencional,Pouco degradado,dois Irmãos do Tocantins,2
Aração,Pouco degradado,dois Irmãos do Tocantins,2
Gradagem,Pouco degradado,dois Irmãos do Tocantins,2
Uso de agrotóxicos,Pouco degradado,dois Irmãos do Tocantins,2
Aração,Não possui degradação,Miranorte,2
Gradagem,Não possui degradação,Miranorte,2
Uso de agrotóxicos,Não possui degradação,Miranorte,2
Não usa,Pouco degradado,Ponte Alta do Bom Jesus,2
Plantio convencional,Não possui degradação,Talismã,2
Plantio convencional,Degradação Média,Chapada de Areia,2
Pastagem nativa,Degradação Média,Chapada de Areia,2
Plantio convencional,Pouco degradado,Gurupi,2
Plantio convencional,,Luzinópolis,2
Uso de agrotóxicos,,Luzinópolis,2
Roça de toco,Pouco degradado,Monte do Carmo,2
Plantio convencional,Pouco degradado,Monte do Carmo,2
Monocultura,Pouco degradado,Monte do Carmo,2
Plantio convencional,Pouco degradado,Chapada de Areia,2
Aração,,Porto Nacional,2
Gradagem,,Porto Nacional,2
Roça de toco,Pouco degradado,Xambioá,2
Plantio convencional,Pouco degradado,Xambioá,2
Queimadas,Pouco degradado,Xambioá,2
Monocultura,Pouco degradado,Xambioá,2
Aração,Degradação Média,Peixe,2
Gradagem,Degradação Média,Peixe,2
Roça de toco,Não possui degradação,Araguanã,2
Plantio convencional,Não possui degradação,Araguanã,2
Aração,Não possui degradação,Araguanã,2
Gradagem,Não possui degradação,Araguanã,2
Plantio convencional,Pouco degradado,Paranã,2
Aração,Pouco degradado,Paranã,2
Gradagem,Pouco degradado,Paranã,2
Queimadas,Pouco degradado,Paranã,2
Aração,Não possui degradação,Pium,2
Gradagem,Não possui degradação,Pium,2
Roça de toco,,Lagoa da Confusão,2
Plantio convencional,,Sítio Novo do Tocantins,2
Aração,,Sítio Novo do Tocantins,2
Gradagem,,Sítio Novo do Tocantins,2
Uso de agrotóxicos,,Sítio Novo do Tocantins,2
Roça de toco,Pouco degradado,Xambioá,2
Plantio convencional,Pouco degradado,Xambioá,2
Aração,Pouco degradado,Xambioá,2
Gradagem,Pouco degradado,Xambioá,2
Queimadas,Pouco degradado,Xambioá,2
Monocultura,Pouco degradado,Xambioá,2
Plantio convencional,Pouco degradado,Chapada da Natividade,2
Roça de toco,Não possui degradação,Araguanã,2
Plantio convencional,Não possui degradação,Araguanã,2
Aração,Não possui degradação,Araguanã,2
Gradagem,Não possui degradação,Araguanã,2
Queimadas,Não possui degradação,Araguanã,2
Monocultura,Não possui degradação,Araguanã,2
Aração,,Bom Jesus do Tocantins,2
Gradagem,,Bom Jesus do Tocantins,2
Pastagem nativa,,Bom Jesus do Tocantins,2
Não usa,Pouco degradado,Chapada da Natividade,2
Roça de toco,Degradação Média,Xambioá,2
Plantio convencional,Degradação Média,Xambioá,2
Uso de agrotóxicos,Degradação Média,Xambioá,2
Plantio convencional,,Pugmil,2
Roça de toco,Não possui degradação,Paranã,2
Pastagem nativa,Não possui degradação,Paranã,2
Plantio convencional,Pouco degradado,Couto Magalhães,2
Aração,Pouco degradado,Couto Magalhães,2
Gradagem,Pouco degradado,Couto Magalhães,2
Aração,Não possui degradação,Miranorte,2
Gradagem,Não possui degradação,Miranorte,2
Uso de agrotóxicos,Não possui degradação,Miranorte,2
Plantio convencional,Pouco degradado,dois Irmãos do Tocantins,2
Aração,Pouco degradado,dois Irmãos do Tocantins,2
Gradagem,Pouco degradado,dois Irmãos do Tocantins,2
Uso de agrotóxicos,Pouco degradado,dois Irmãos do Tocantins,2
Aração,Pouco degradado,Fortaleza do Tabocão,2
Gradagem,Pouco degradado,Fortaleza do Tabocão,2
Uso de agrotóxicos,Pouco degradado,Fortaleza do Tabocão,2
Plantio convencional,Pouco degradado,Gurupi,2
Aração,Pouco degradado,Gurupi,2
Gradagem,Pouco degradado,Gurupi,2
Aração,Pouco degradado,Rio dos Bois,2
Gradagem,Pouco degradado,Rio dos Bois,2
Monocultura,Pouco degradado,Rio dos Bois,2
Uso de agrotóxicos,Pouco degradado,Rio dos Bois,2
Plantio convencional,Não possui degradação,Rio Sono,2
Aração,Não possui degradação,Marianópolis do Tocantins,2
Gradagem,Não possui degradação,Marianópolis do Tocantins,2
Aração,Pouco degradado,Santa Fé do Araguaia,2
Gradagem,Pouco degradado,Santa Fé do Araguaia,2
Uso de agrotóxicos,Pouco degradado,Santa Fé do Araguaia,2
Aração,Não possui degradação,Marianópolis do Tocantins,1
Gradagem,Não possui degradação,Marianópolis do Tocantins,1
Uso de agrotóxicos,Não possui degradação,Marianópolis do Tocantins,1
Aração,Pouco degradado,Guaraí,1
Gradagem,Pouco degradado,Guaraí,1
Uso de agrotóxicos,Degradação Média,Santa Fé do Araguaia,1
Uso de agrotóxicos,Não possui degradação,Miranorte,1
Plantio convencional,Pouco degradado,Araguaína,1
Aração,Pouco degradado,Araguaína,1
Gradagem,Pouco degradado,Araguaína,1
Uso de agrotóxicos,Pouco degradado,Araguaína,1
Plantio convencional,Pouco degradado,Barrolândia,1
Monocultura,Pouco degradado,Alvorada,1
Aração,,Almas,1
Gradagem,,Almas,1
Não usa,,Almas,1
Plantio convencional,Pouco degradado,Filadélfia,1
Aração,Pouco degradado,Filadélfia,1
Gradagem,Pouco degradado,Filadélfia,1
Uso de agrotóxicos,Pouco degradado,Filadélfia,1
Aração,Não possui degradação,Ananás,1
Gradagem,Não possui degradação,Ananás,1
Queimadas,Não possui degradação,Ananás,1
Roça de toco,,Cristalândia,1
Não usa,,Cristalândia,1
Roça de toco,Não possui degradação,Bom Jesus do Tocantins,1
Aração,Não possui degradação,Bom Jesus do Tocantins,1
Gradagem,Não possui degradação,Bom Jesus do Tocantins,1
Roça de toco,Não possui degradação,Paranã,1
Aração,Não possui degradação,Paranã,1
Gradagem,Não possui degradação,Paranã,1
Pastagem nativa,Não possui degradação,Paranã,1
Roça de toco,,Filadélfia,1
Não usa,,Filadélfia,1
Plantio convencional,Não possui degradação,Figueirópolis,1
Uso de agrotóxicos,Não possui degradação,Figueirópolis,1
Pastagem nativa,,Rio da Conceição,1
Roça de toco,,Dianópolis,1
Plantio convencional,Degradação Média,Pium,1
Aração,Degradação Média,Pium,1
Gradagem,Degradação Média,Pium,1
Plantio convencional,Não possui degradação,Barrolândia,1
Aração,Não possui degradação,Barrolândia,1
Gradagem,Não possui degradação,Barrolândia,1
Uso de agrotóxicos,Não possui degradação,Barrolândia,1
Plantio convencional,Não possui degradação,Xambioá,1
Aração,Não possui degradação,Xambioá,1
Gradagem,Não possui degradação,Xambioá,1
Uso de agrotóxicos,Não possui degradação,Xambioá,1
Aração,,Filadélfia,1
Gradagem,,Filadélfia,1
Monocultura,,Filadélfia,1
Roça de toco,Não possui degradação,Almas,1
Roça de toco,,Xambioá,1
Queimadas,,Xambioá,1
Monocultura,,Xambioá,1
Roça de toco,Não possui degradação,Paranã,1
Aração,Não possui degradação,Paranã,1
Gradagem,Não possui degradação,Paranã,1
Pastagem nativa,Não possui degradação,Paranã,1
Monocultura,Pouco degradado,Paraíso do Tocantins,1
Uso de agrotóxicos,Pouco degradado,Paraíso do Tocantins,1
Plantio convencional,Pouco degradado,Araguaçu,1
Aração,Pouco degradado,Araguaçu,1
Gradagem,Pouco degradado,Araguaçu,1
Roça de toco,Degradação Média,Silvanópolis,1
Aração,Degradação Média,Silvanópolis,1
Gradagem,Degradação Média,Silvanópolis,1
Pastagem nativa,Degradação Média,Silvanópolis,1
Não usa,,Dianópolis,1
Aração,,Pium,1
Gradagem,,Pium,1
Uso de agrotóxicos,,Pium,1
Pastagem nativa,,dois Irmãos do Tocantins,1
Roça de toco,Não possui degradação,Riachinho,1
Aração,Não possui degradação,Riachinho,1
Gradagem,Não possui degradação,Riachinho,1
Plantio convencional,Não possui degradação,Guaraí,1
Uso de agrotóxicos,Não possui degradação,Guaraí,1
Não usa,Degradação Média,Nova Rosalândia,1
Roça de toco,Não possui degradação,Novo Jardim,1
Aração,Não possui degradação,Novo Jardim,1
Gradagem,Não possui degradação,Novo Jardim,1
Aração,Não possui degradação,Miranorte,1
Gradagem,Não possui degradação,Miranorte,1
Monocultura,Não possui degradação,Miranorte,1
Uso de agrotóxicos,Não possui degradação,Miranorte,1
Aração,Muito degradado,Sucupira,1
Gradagem,Muito degradado,Sucupira,1
Aração,Não possui degradação,Couto Magalhães,1
Gradagem,Não possui degradação,Couto Magalhães,1
Uso de agrotóxicos,Não possui degradação,Couto Magalhães,1
Plantio convencional,Pouco degradado,Aparecida do Rio Negro,1
Aração,Pouco degradado,Aparecida do Rio Negro,1
Gradagem,Pouco degradado,Aparecida do Rio Negro,1
Roça de toco,Pouco degradado,Talismã,1
Plantio convencional,Pouco degradado,Paraíso do Tocantins,1
Aração,Pouco degradado,Paraíso do Tocantins,1
Gradagem,Pouco degradado,Paraíso do Tocantins,1
Uso de agrotóxicos,Pouco degradado,Paraíso do Tocantins,1
Pastagem nativa,Não possui degradação,Cristalândia,1
Não usa,Não possui degradação,Cristalândia,1
Aração,Pouco degradado,São Bento do Tocantins,1
Gradagem,Pouco degradado,São Bento do Tocantins,1
Monocultura,Pouco degradado,São Bento do Tocantins,1
Uso de agrotóxicos,Pouco degradado,São Bento do Tocantins,1
Aração,Degradação Média,Gurupi,1
Gradagem,Degradação Média,Gurupi,1
Plantio convencional,Pouco degradado,Dueré,1
Roça de toco,,Filadélfia,1
Aração,,Filadélfia,1
Gradagem,,Filadélfia,1
Aração,Muito degradado,Dueré,1
Gradagem,Muito degradado,Dueré,1
Pastagem nativa,Muito degradado,Dueré,1
Plantio convencional,Não possui degradação,Santa Terezinha do Tocantins,1
Aração,Não possui degradação,Santa Terezinha do Tocantins,1
Gradagem,Não possui degradação,Santa Terezinha do Tocantins,1
Queimadas,Não possui degradação,Santa Terezinha do Tocantins,1
Pastagem nativa,Não possui degradação,Santa Terezinha do Tocantins,1
Uso de agrotóxicos,Não possui degradação,Santa Terezinha do Tocantins,1
Roça de toco,Pouco degradado,dois Irmãos do Tocantins,1
