acessa_ou_ja_acessou_politicas_publicas__,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Não,GUARAÍ,5,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Crédito Rural,Marianópolis do Tocantins,5,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Bolsa Família,Ananás,5,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Compra Direta (PAA),Araguaína,5,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Compra Direta (PAA), Merenda Escolar (PENAE)",Araguaína,5,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Aposentadoria Rural",Araguanã,4,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Não,Ananás,4,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Não,Wanderlândia,4,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
"Compra Direta (PAA), Merenda Escolar (PENAE)",Couto Magalhães,4,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
Crédito Rural,PARAISO DO TOCANTINS,4,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Não,MONTE SANTO,4,monte santo,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
Compra Direta (PAA),CHAPADA DA NATIVIDADE,4,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
Aposentadoria Rural,CASEARA,4,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
"Compra Direta (PAA), Merenda Escolar (PENAE)",Miracema do Tocantins,4,miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Crédito Rural,Paraiso do Tocantins,4,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Não,PARANÃ-TO,4,parana-to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Compra Direta (PAA),CHAPADA DA NATIVIDADE-TO,4,chapada da natividade-to,,,,,chapada da natividade,1705102.0,17.0,Chapada da Natividade,chapada da natividade,1705102.0,17.0,Chapada da Natividade
Crédito Rural,Talismã-TO,4,talisma-to,,,,,talisma,1720978.0,17.0,Talismã,talisma,1720978.0,17.0,Talismã
Não,RIO DOS BOIS,4,rio dos bois,17.0,1718709.0,Rio dos Bois,rio dos bois,,,,,,1718709.0,17.0,Rio dos Bois
Não,Chapada de Areia,4,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Crédito Rural,PONTE ALTA DO BOM JESUS,4,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
Crédito Rural,Wanderlândia,4,wanderlandia,17.0,1722081.0,Wanderlândia,wanderlandia,,,,,,1722081.0,17.0,Wanderlândia
Crédito Rural,Peixe,4,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Merenda Escolar (PENAE), Bolsa Família",DIANÓPOLIS,4,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Crédito Rural,Gurupi-TO,4,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Não,PIUM,4,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Aposentadoria Rural,Xambioá,4,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não,PARAISO DO TOCANTINS,4,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
"Crédito Rural, Aposentadoria Rural",PIUM,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Crédito Rural,LAJEADO,3,lajeado,17.0,1712009.0,Lajeado,lajeado,,,,,,1712009.0,17.0,Lajeado
Crédito Rural,DARCINÓPOLIS,3,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
Crédito Rural,Chapada de Areia,3,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Crédito Rural,Alvorada,3,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
Não,Marianópolis do Tocantins,3,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Crédito Rural,Piraquê,3,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
Merenda Escolar (PENAE),Araguaína,3,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
ATER INDÍGENA,LAGOA DA CONFUSÃO - TO,3,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
Aposentadoria Rural,Cristalandia,3,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",PALMEIRAS DO TOCANTINS,3,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Crédito Rural,PIUM,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Aposentadoria Rural,PALMAS,3,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Crédito Rural,Xambioá,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não,Filadelfia,3,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não,RIO DA CONCEIÇÃO,3,rio da conceicao,17.0,1718659.0,Rio da Conceição,rio da conceicao,,,,,,1718659.0,17.0,Rio da Conceição
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Nova Rosalândia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Não,PONTE ALTA DO BOM JESUS,3,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
Não,Nova Rosalãndia,3,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Fomento,Ananás,3,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Aposentadoria Rural,MARIANOPOLIS DO TOCANTINS,3,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Crédito Rural,Divinopolis do Tocantins,3,divinopolis do tocantins,17.0,1707108.0,Divinópolis do Tocantins,divinopolis do tocantins,,,,,,1707108.0,17.0,Divinópolis do Tocantins
Bolsa Família,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Bolsa Família,FIGUEIROPOLIS,3,figueiropolis,17.0,1707652.0,Figueirópolis,figueiropolis,,,,,,1707652.0,17.0,Figueirópolis
Compra Direta (PAA),DIVINÓPOLIS,3,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
Crédito Rural,GUARAI,3,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Aposentadoria Rural,PIUM,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",BOM JESUS DO TOCANTINS,3,bom jesus do tocantins,17.0,1703305.0,Bom Jesus do Tocantins,bom jesus do tocantins,,,,,,1703305.0,17.0,Bom Jesus do Tocantins
Crédito Rural,Dianópolis,3,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Compra Direta (PAA),Aurora do Tocantins,3,aurora do tocantins,17.0,1702703.0,Aurora do Tocantins,aurora do tocantins,,,,,,1702703.0,17.0,Aurora do Tocantins
Compra Direta (PAA),RIO SONO,3,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
Bolsa Família,NOVA OLINDA - TO,3,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
"Crédito Rural, Aposentadoria Rural",AXIXA DO TOCANTINS,3,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Crédito Rural,Araguanã,3,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Crédito Rural,MURICILÂNDIA,3,muricilandia,17.0,1713957.0,Muricilândia,muricilandia,,,,,,1713957.0,17.0,Muricilândia
Não,Peixe,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
Crédito Rural,FILADÉLFIA,3,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não,Paraiso do Tocantins,3,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Crédito Rural,LAGOA DA CONFUSÃO,3,lagoa da confusao,17.0,1711902.0,Lagoa da Confusão,lagoa da confusao,,,,,,1711902.0,17.0,Lagoa da Confusão
Não,GURUPI,3,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
Aposentadoria Rural,MIRANORTE,3,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Crédito Rural, Aposentadoria Rural",RIO SONO  TO,3,rio sono  to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
Bolsa Família,NOVA OLINDA,3,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
Crédito Rural,AXIXA DO TOCANTINS,3,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Crédito Rural,PALMEIRAS DO TOCANTINS,3,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Crédito Rural, Fomento",PEIXE,3,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
Compra Direta (PAA),pium,3,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Bolsa Família,Xambioá,3,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Não,Alvorada,3,alvorada,17.0,1700707.0,Alvorada,alvorada,,,,,,1700707.0,17.0,Alvorada
Crédito Rural,SÍTIO NOVO DO TO,3,sitio novo do to,,,,,bandeirantes do tocantins,1703057.0,17.0,Bandeirantes do Tocantins,bandeirantes do tocantins,1703057.0,17.0,Bandeirantes do Tocantins
"Fomento, Bolsa Família",NOVA OLINDA - TO,2,nova olinda - to,,,,,nova olinda,1714880.0,17.0,Nova Olinda,nova olinda,1714880.0,17.0,Nova Olinda
"Crédito Rural, Aposentadoria Rural",AXIXÁ DO TOCANTINS,2,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",PEDRO AFONSO,2,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",PALMEIRAS DO TOCANTINS,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",PALMAS,2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Crédito Rural,PALMAS,2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Crédito Rural, Compra Direta (PAA)",TABOCÃO,2,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Crédito Rural,DIANÓPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Bolsa Família,Araguaína,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Aposentadoria Rural,JAU DO TO,2,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
Aposentadoria Rural,ARAGOMINAS,2,aragominas,17.0,1701309.0,Aragominas,aragominas,,,,,,1701309.0,17.0,Aragominas
"Crédito Rural, Compra Direta (PAA)",Piraquê,2,piraque,17.0,1717206.0,Piraquê,piraque,,,,,,1717206.0,17.0,Piraquê
"Compra Direta (PAA), Merenda Escolar (PENAE)",PALMEIRAS DO TOCANTINS,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Compra Direta (PAA),Ananás,2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Não,ABREULANDIA,2,abreulandia,17.0,1700251.0,Abreulândia,abreulandia,,,,,,1700251.0,17.0,Abreulândia
Crédito Rural,TABOCÃO,2,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
Não,Araguaina,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Crédito Rural, Aposentadoria Rural",Dois Irmãos do Tocantins,2,dois irmaos do tocantins,17.0,1707207.0,dois Irmãos do Tocantins,dois irmaos do tocantins,,,,,,1707207.0,17.0,dois Irmãos do Tocantins
Crédito Rural,GOIATINS,2,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
Não,Araguaína,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Aposentadoria Rural,Ananás,2,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
Não,MONTE SANTO -TO,2,monte santo -to,,,,,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins,monte santo do tocantins,1713700.0,17.0,Monte Santo do Tocantins
Crédito Rural,Cristalândia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Crédito Rural, Bolsa Família",Araguanã,2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
"Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",PALMEIRAS,2,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
Não,Miranorte,2,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
"Crédito Rural, Aposentadoria Rural",DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
"Compra Direta (PAA), Aposentadoria Rural",LUZINOPOLIS-TO,2,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Crédito Rural,ESPERANTINA,2,esperantina,17.0,1707405.0,Esperantina,esperantina,,,,,,1707405.0,17.0,Esperantina
Bolsa Família,FILADÉLFIA,2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Não,TUPIRAMA TO,2,tupirama to,,,,,tupirama,1721257.0,17.0,Tupirama,tupirama,1721257.0,17.0,Tupirama
Não,Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Compra Direta (PAA),Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",PARANÃ TO,2,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Crédito Rural, Aposentadoria Rural",Peixe,2,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
"Crédito Rural, Compra Direta (PAA)",CASEARA-TO,2,caseara-to,,,,,caseara,1703909.0,17.0,Caseara,caseara,1703909.0,17.0,Caseara
Não,CHAPADA DA NATIVIDADE,2,chapada da natividade,17.0,1705102.0,Chapada da Natividade,chapada da natividade,,,,,,1705102.0,17.0,Chapada da Natividade
"Compra Direta (PAA), Merenda Escolar (PENAE)",Nova Rosalãndia,2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Aposentadoria Rural,SÍTIO NOVO DO TOCANTINS,2,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
Crédito Rural,SÍTIO NOVO DO TOCANTINS,2,sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
Crédito Rural,ALIANÇA,2,alianca,,,,,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",PALMAS,2,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
"Crédito Rural, Aposentadoria Rural",XAMBIOÁ,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Crédito Rural, Aposentadoria Rural",Gurupi-TO,2,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
Não,RIO SONO,2,rio sono,17.0,1718758.0,Rio Sono,rio sono,,,,,,1718758.0,17.0,Rio Sono
Crédito Rural,CASEARA,2,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
Não,Xambioá,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
"Crédito Rural, Aposentadoria Rural",PONTE ALTA DO BOM JESUS,2,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
"Compra Direta (PAA), Merenda Escolar (PENAE)",DARCINOPOLIS,2,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
"Crédito Rural, PNCF",NOVO JARDIM,2,novo jardim,17.0,1715259.0,Novo Jardim,novo jardim,,,,,,1715259.0,17.0,Novo Jardim
"Crédito Rural, Compra Direta (PAA)",CHAPADA DE AREIA,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Não,PALMEIRAS DO TOCANTINS,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Bolsa Família,PIUM,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Não,RIO SONO - TO,2,rio sono - to,,,,,rio sono,1718758.0,17.0,Rio Sono,rio sono,1718758.0,17.0,Rio Sono
Crédito Rural,SANTA RITA DO TOCANTINS,2,santa rita do tocantins,17.0,1718899.0,Santa Rita do Tocantins,santa rita do tocantins,,,,,,1718899.0,17.0,Santa Rita do Tocantins
Crédito Rural,Gurupi,2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
"Crédito Rural, Bolsa Família",MONTE DO CARMO-TO.,2,monte do carmo-to.,,,,,monte do carmo,1713601.0,17.0,Monte do Carmo,monte do carmo,1713601.0,17.0,Monte do Carmo
Crédito Rural,DIANOPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
Fomento,SÃO MIGUEL DO TOCANTINS,2,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
Crédito Rural,MARIANOPOLIS DO TOCANTINS,2,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Não,PARANÃ -TO,2,parana -to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",PUGMIL -TO,2,pugmil -to,,,,,pugmil,1718451.0,17.0,Pugmil,pugmil,1718451.0,17.0,Pugmil
Bolsa Família,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Compra Direta (PAA),ARAGUAÍNA,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
"Fomento, Bolsa Família",PARANÃ TO,2,parana to,,,,,parana,1716208.0,17.0,Paranã,parana,1716208.0,17.0,Paranã
Merenda Escolar (PENAE),SÃO MIGUEL DO TOCANTINS,2,sao miguel do tocantins,17.0,1720200.0,São Miguel do Tocantins,sao miguel do tocantins,,,,,,1720200.0,17.0,São Miguel do Tocantins
Não,SANTA RITA DO TOCANTINS,2,santa rita do tocantins,17.0,1718899.0,Santa Rita do Tocantins,santa rita do tocantins,,,,,,1718899.0,17.0,Santa Rita do Tocantins
"Crédito Rural, Bolsa Família",SÃO BENTO DO TOCANTINS,2,sao bento do tocantins,17.0,1720101.0,São Bento do Tocantins,sao bento do tocantins,,,,,,1720101.0,17.0,São Bento do Tocantins
Compra Direta (PAA),PALMEIRAS DO TOCANTINS,2,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Crédito Rural,RIACHINHO,2,riachinho,17.0,1718550.0,Riachinho,riachinho,,,,,,1718550.0,17.0,Riachinho
Não,Xambioa,2,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
