acessa_ou_ja_acessou_politicas_publicas__,area_da_propriedade__hectares__,Record Count
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",1 - 5 ha,2
"Crédito Rural, Compra Direta (PAA)",100 - 200 ha,2
"Crédito Rural, Fomento",10 - 20 ha,2
"Crédito Rural, Bolsa Família, Aposentadoria Rural",10 - 20 ha,2
"Compra Direta (PAA), Aposentadoria Rural",5 - 10 ha,2
Bolsa Família,100 - 200 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",10 - 20 ha,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",50 - 100 ha,2
"Compra Direta (PAA), Fomento, Aposentadoria Rural",50 - 100 ha,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",50 - 100 ha,2
Merenda Escolar (PENAE),5 - 10 ha,2
"Crédito Rural, Aposentadoria Rural",5 - 10 ha,2
"Crédito Rural, Compra Direta (PAA)",200 - 320 ha,2
"Crédito Rural, Fomento, Aposentadoria Rural",20 - 50 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",10 - 20 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",1 - 5 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",5 - 10 ha,2
Aposentadoria Rural,5 - 10 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",20 - 50 ha,2
"Crédito Rural, Bolsa Família, Aposentadoria Rural",20 - 50 ha,2
"Merenda Escolar (PENAE), Bolsa Família",1 - 5 ha,2
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",20 - 50 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",1 - 5 ha,2
"Bolsa Família, Aposentadoria Rural",50 - 100 ha,2
"Crédito Rural, Fomento, Bolsa Família",20 - 50 ha,2
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",1 - 5 ha,2
"Compra Direta (PAA), Fomento, Bolsa Família",20 - 50 ha,2
Aposentadoria Rural,100 - 200 ha,2
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",10 - 20 ha,2
"Fomento, Bolsa Família",20 - 50 ha,1
"Compra Direta (PAA), Bolsa Família, Aposentadoria Rural",10 - 20 ha,1
"Merenda Escolar (PENAE), Bolsa Família",10 - 20 ha,1
"Fomento, Bolsa Família",10 - 20 ha,1
ATER NORMAL,20 - 50 ha,1
CID:H54.0,20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",5 - 10 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, Aposentadoria Rural",50 - 100 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",1 - 5 ha,1
"Bolsa Família, PENSÃO INSS",20 - 50 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, Aposentadoria Rural",100 - 200 ha,1
ATER INGENA,200 - 320 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família, CONAB",1 - 5 ha,1
"Fomento, Bolsa Família",100 - 200 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",50 - 100 ha,1
Programa Quintal Verde,10 - 20 ha,1
"Crédito Rural, Aposentadoria Rural",200 - 320 ha,1
CAF,5 - 10 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",10 - 20 ha,1
"Bolsa Família, Aposentadoria Rural",10 - 20 ha,1
Não,Acima de 320 ha,1
"Crédito Rural, Compra Direta (PAA), Fomento",20 - 50 ha,1
"Não, ATER",10 - 20 ha,1
"Crédito Rural, CADASTRO AMBIENTAL RURAL",100 - 200 ha,1
"Compra Direta (PAA), Aposentadoria Rural",50 - 100 ha,1
PENSÃO POR MORTE,20 - 50 ha,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família",50 - 100 ha,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",5 - 10 ha,1
"Crédito Rural, Fomento",1 - 5 ha,1
"Compra Direta (PAA), Fomento, Bolsa Família",5 - 10 ha,1
"Crédito Rural, Fomento, PNCF",10 - 20 ha,1
"Crédito Rural,",50 - 100 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",1 - 5 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",5 - 10 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), AUXILIO DOENÇA",200 - 320 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",5 - 10 ha,1
"Crédito Rural, Bolsa Família",1 - 5 ha,1
"Merenda Escolar (PENAE), Aposentadoria Rural",10 - 20 ha,1
"Crédito Rural, Aposentadoria Rural",Até 1 ha,1
OUTROS,20 - 50 ha,1
APOSENTADORIA RURAL,10 - 20 ha,1
CONAB,20 - 50 ha,1
PRONAF A,20 - 50 ha,1
"Crédito Rural, Merenda Escolar (PENAE), Bolsa Família",10 - 20 ha,1
"Crédito Rural, Compra Direta (PAA)",1 - 5 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",5 - 10 ha,1
"Fomento, Aposentadoria Rural",10 - 20 ha,1
"CAF , CAR.",20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",1 - 5 ha,1
"Crédito Rural, Fomento, Aposentadoria Rural",50 - 100 ha,1
APOSENTADORIA POR INVALIDEZ,1 - 5 ha,1
PENSÃO,20 - 50 ha,1
"Fomento, Aposentadoria Rural",1 - 5 ha,1
"Crédito Rural, Compra Direta (PAA), Fomento",1 - 5 ha,1
"Não, Crédito Rural",100 - 200 ha,1
"Merenda Escolar (PENAE), Bolsa Família, SEGURO DEFESO",20 - 50 ha,1
CREDITO FUNDIARIO,1 - 5 ha,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família, Aposentadoria Rural",10 - 20 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",100 - 200 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Até 1 ha,1
Bpc filho deficiente,20 - 50 ha,1
"Compra Direta (PAA), CONAB",20 - 50 ha,1
"Crédito Rural, PENSÃO",20 - 50 ha,1
APOSENTADORIA POR INVALIDADE,20 - 50 ha,1
"Compra Direta (PAA), Aposentadoria Rural",10 - 20 ha,1
"Crédito Rural, Compra Direta (PAA), Fomento, Bolsa Família, Aposentadoria Rural",20 - 50 ha,1
"Compra Direta (PAA), Aposentadoria Rural",Até 1 ha,1
"Não, Bolsa Família",10 - 20 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), PNCF",10 - 20 ha,1
"Crédito Rural, Bolsa Família",5 - 10 ha,1
"Bolsa Família, Aposentadoria Rural, Aposento por Incapacidade Permamente",20 - 50 ha,1
"Compra Direta (PAA), Bolsa Família",50 - 100 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural",100 - 200 ha,1
"Bolsa Família, DEFESO",20 - 50 ha,1
"Crédito Rural, Compra Direta (PAA)",5 - 10 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",1 - 5 ha,1
"Compra Direta (PAA), Fomento",Até 1 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), BENEFICIO POR INVALIDEZ",1 - 5 ha,1
CREDITO FUNDIÁRIO,20 - 50 ha,1
"Merenda Escolar (PENAE), Bolsa Família",5 - 10 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",5 - 10 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Até 1 ha,1
FOMENTO,20 - 50 ha,1
CAF,10 - 20 ha,1
"Merenda Escolar (PENAE), Bolsa Família",Até 1 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural",20 - 50 ha,1
"Compra Direta (PAA), Fomento, Bolsa Família",Até 1 ha,1
Fomento,1 - 5 ha,1
"Aposentadoria Rural, Aposentadoria INSS",50 - 100 ha,1
"Crédito Rural, ATER",20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Até 1 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",100 - 200 ha,1
"Crédito Rural, AUXILIO DOENÇA",10 - 20 ha,1
"Crédito Rural, PRONAF",20 - 50 ha,1
"Merenda Escolar (PENAE), Fomento, Bolsa Família",5 - 10 ha,1
Agente saúde,20 - 50 ha,1
"Compra Direta (PAA), Aposentadoria Rural",1 - 5 ha,1
"Crédito Rural, Merenda Escolar (PENAE), Fomento, Bolsa Família",50 - 100 ha,1
Fomento Tocantins,1 - 5 ha,1
LOA,50 - 100 ha,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",10 - 20 ha,1
"Bolsa Família, MAIS AMLIMENTO",20 - 50 ha,1
Oportunidade,1 - 5 ha,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",100 - 200 ha,1
"Aposentadoria Rural, BPC",10 - 20 ha,1
"Compra Direta (PAA), Aposentadoria Rural",100 - 200 ha,1
"Crédito Rural, Merenda Escolar (PENAE), Aposentadoria Rural",20 - 50 ha,1
"Compra Direta (PAA), Fomento",1 - 5 ha,1
"Compra Direta (PAA), Fomento, Aposentadoria Rural",1 - 5 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Aposentadoria Rural",50 - 100 ha,1
"Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural, Oportunidade",20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",50 - 100 ha,1
"Compra Direta (PAA), Aposentadoria Rural, PENSÃO POR MORTE",50 - 100 ha,1
Merenda Escolar (PENAE),Até 1 ha,1
"Crédito Rural, Compra Direta (PAA), Fomento, Aposentadoria Rural",50 - 100 ha,1
"Não, Compra Direta (PAA), Bolsa Família",20 - 50 ha,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",10 - 20 ha,1
"Merenda Escolar (PENAE), Aposentadoria Rural",50 - 100 ha,1
"Merenda Escolar (PENAE), Aposentadoria Rural",20 - 50 ha,1
AUXILIO DOENÇA,20 - 50 ha,1
PENSAO DOENÇA,20 - 50 ha,1
"Aposentadoria Rural, Tarifa Social",20 - 50 ha,1
"Crédito Rural, Merenda Escolar (PENAE), Aposentadoria Rural",50 - 100 ha,1
