municipio_ibge,atividade_produtiva,total_respostas
Barrolândia,Bovinocultura de corte,10
Barrolândia,Bovinocultura de leite,2
Barrolândia,Bovinocultura mista (touro - com características de corte,1
Barrolândia,Culturas anuais,2
Barrolândia,Extrativismo vegetal,1
Barrolândia,Fruticultura,3
Barrolândia,Gado de cria,1
Barrolândia,Leite) -,1
Barrolândia,Mandiocultura,6
Barrolândia,Olericultura,2
Barrolândia,Principais produtos comercializados - bezerros,1
Barrolândia,Suinocultura,5
Barrolândia,Vaca - cruzada,1
Bom Jesus do Tocantins,Avicultura,4
Bom Jesus do Tocantins,Bovinocultura de corte,1
Bom Jesus do Tocantins,Bovinocultura de leite,2
Bom Jesus do Tocantins,Bovinocultura mista (touro - com características de corte,1
Bom Jesus do Tocantins,Culturas anuais,2
Bom Jesus do Tocantins,Fruticultura,5
Bom Jesus do Tocantins,Leite) -,1
Bom Jesus do Tocantins,Mandiocultura,5
Bom Jesus do Tocantins,Olericultura,2
Bom Jesus do Tocantins,Pisicultura,1
Bom Jesus do Tocantins,Principais produtos comercializados - bezerros,1
Bom Jesus do Tocantins,Suinocultura,1
Bom Jesus do Tocantins,Vaca - cruzada,1
Cachoeirinha,Apicultura,1
Cachoeirinha,Avicultura,1
Cachoeirinha,Bovinocultura de corte,1
Cachoeirinha,Bovinocultura de leite,1
Cachoeirinha,Bovinocultura mista (touro - com características de corte,1
Cachoeirinha,Culturas anuais,1
Cachoeirinha,Leite) -,1
Cachoeirinha,Meliponicultura,1
Cachoeirinha,Principais produtos comercializados - bezerros,1
Cachoeirinha,Vaca - cruzada,1
Cariri do Tocantins,Bovinocultura de corte,4
Cariri do Tocantins,Bovinocultura mista (touro - com características de corte,2
Cariri do Tocantins,Leite) -,2
Cariri do Tocantins,Mandiocultura,3
Cariri do Tocantins,Principais produtos comercializados - bezerros,2
Cariri do Tocantins,Vaca - cruzada,2
Carmolândia,Avicultura,9
Carmolândia,Bovinocultura de leite,2
Carmolândia,Fruticultura,1
Carmolândia,Mandiocultura,5
Carmolândia,Olericultura,6
Carmolândia,Suinocultura,2
Caseara,Avicultura,17
Caseara,Bovinocultura de corte,10
Caseara,Bovinocultura de leite,2
Caseara,Bovinocultura mista (touro - com características de corte,1
Caseara,Culturas anuais,8
Caseara,Extrativismo vegetal,6
Caseara,Fruticultura,6
Caseara,Leite) -,1
Caseara,Mandiocultura,8
Caseara,Olericultura,2
Caseara,Principais produtos comercializados - bezerros,1
Caseara,Suinocultura,8
Caseara,Turismo,1
Caseara,Vaca - cruzada,1
Centenário,Bovinocultura mista (touro - com características de corte,1
Centenário,Leite) -,1
Centenário,Mandiocultura,1
Centenário,Olericultura,1
Centenário,Principais produtos comercializados - bezerros,1
Centenário,Vaca - cruzada,1
Chapada da Natividade,Avicultura,2
Chapada da Natividade,Bovinocultura de corte,17
Chapada da Natividade,Mandiocultura,7
Chapada de Areia,Avicultura,20
Chapada de Areia,Bovinocultura de corte,9
Chapada de Areia,Bovinocultura de leite,4
Chapada de Areia,Bovinocultura mista (touro - com características de corte,10
Chapada de Areia,Culturas anuais,1
Chapada de Areia,Extrativismo vegetal,4
Chapada de Areia,Fruticultura,9
Chapada de Areia,Leite) -,10
Chapada de Areia,Mandiocultura,13
Chapada de Areia,Olericultura,7
Chapada de Areia,Pisicultura,7
Chapada de Areia,Principais produtos comercializados - bezerros,10
Chapada de Areia,Suinocultura,6
Chapada de Areia,Vaca - cruzada,10
Colméia,Avicultura,3
Colméia,Bovinocultura de corte,8
Colméia,Bovinocultura de leite,3
Colméia,Fruticultura,2
Colméia,Olericultura,5
Colméia,Suinocultura,1
Couto Magalhães,Avicultura,7
Couto Magalhães,Bovinocultura de corte,5
Couto Magalhães,Bovinocultura mista (touro - com características de corte,1
Couto Magalhães,Fruticultura,4
Couto Magalhães,Leite) -,1
Couto Magalhães,Mandiocultura,5
Couto Magalhães,Pisicultura,1
Couto Magalhães,Principais produtos comercializados - bezerros,1
Couto Magalhães,Suinocultura,2
Couto Magalhães,Vaca - cruzada,1
Cristalândia,Avicultura,17
Cristalândia,Bovinocultura de corte,18
Cristalândia,Bovinocultura mista (touro - com características de corte,2
Cristalândia,Culturas anuais,3
Cristalândia,Fruticultura,6
Cristalândia,Leite) -,2
Cristalândia,Mandiocultura,12
Cristalândia,Olericultura,3
Cristalândia,Principais produtos comercializados - bezerros,2
Cristalândia,Suinocultura,12
Cristalândia,Vaca - cruzada,2
Crixás do Tocantins,Avicultura,3
Crixás do Tocantins,Bovinocultura de corte,1
Crixás do Tocantins,Bovinocultura mista (touro - com características de corte,1
Crixás do Tocantins,Cana de açucar,1
Crixás do Tocantins,Culturas anuais,2
Crixás do Tocantins,Fruticultura,1
Crixás do Tocantins,Leite) -,1
Crixás do Tocantins,Mandiocultura,1
Crixás do Tocantins,Principais produtos comercializados - bezerros,1
Crixás do Tocantins,Suinocultura,2
Crixás do Tocantins,Vaca - cruzada,1
Dianópolis,Avicultura,38
Dianópolis,Bovinocultura de corte,16
Dianópolis,Bovinocultura de leite,5
Dianópolis,Bovinocultura mista (touro - com características de corte,16
Dianópolis,Culturas anuais,10
Dianópolis,Extrativismo vegetal,2
Dianópolis,Fruticultura,22
Dianópolis,Leite) -,16
Dianópolis,Mandiocultura,30
Dianópolis,Olericultura,22
Dianópolis,Ovinocaprinocultura,2
Dianópolis,Pisicultura,4
Dianópolis,Principais produtos comercializados - bezerros,16
Dianópolis,Suinocultura,14
Dianópolis,Vaca - cruzada,16
Divinópolis do Tocantins,Apicultura,1
Divinópolis do Tocantins,Avicultura,8
Divinópolis do Tocantins,Bovinocultura de corte,22
Divinópolis do Tocantins,Bovinocultura de leite,3
Divinópolis do Tocantins,Bovinocultura mista (touro - com características de corte,2
Divinópolis do Tocantins,Culturas anuais,3
Divinópolis do Tocantins,Fruticultura,2
Divinópolis do Tocantins,Leite) -,2
Divinópolis do Tocantins,Mandiocultura,8
Divinópolis do Tocantins,Meliponicultura,1
Divinópolis do Tocantins,Olericultura,2
Divinópolis do Tocantins,Ovinocaprinocultura,1
Divinópolis do Tocantins,Pisicultura,1
Divinópolis do Tocantins,Principais produtos comercializados - bezerros,2
Divinópolis do Tocantins,Vaca - cruzada,2
Dueré,Avicultura,4
Dueré,Bovinocultura de corte,4
Dueré,Bovinocultura de leite,2
Dueré,Olericultura,1
Dueré,Suinocultura,2
Esperantina,Apicultura,1
Esperantina,Avicultura,6
Esperantina,Bovinocultura de corte,1
Esperantina,Bovinocultura de leite,1
Esperantina,Bovinocultura mista (touro - com características de corte,1
Esperantina,Culturas anuais,2
Esperantina,Extrativismo vegetal,2
Esperantina,Fruticultura,2
Esperantina,Leite) -,1
Esperantina,Mandiocultura,4
Esperantina,Meliponicultura,1
Esperantina,Olericultura,2
Esperantina,Ovinocaprinocultura,1
Esperantina,Pesca artesanal,1
Esperantina,Principais produtos comercializados - bezerros,1
Esperantina,Suinocultura,3
Esperantina,Vaca - cruzada,1
Figueirópolis,Apicultura,1
Figueirópolis,Avicultura,3
Figueirópolis,Bovinocultura de corte,9
Figueirópolis,Bovinocultura mista (touro - com características de corte,3
Figueirópolis,Culturas anuais,2
Figueirópolis,Leite) -,3
Figueirópolis,Mandiocultura,8
Figueirópolis,Meliponicultura,1
Figueirópolis,Olericultura,2
Figueirópolis,Principais produtos comercializados - bezerros,3
Figueirópolis,Vaca - cruzada,3
Filadélfia,Apicultura,3
Filadélfia,Avicultura,26
Filadélfia,Bovinocultura de corte,12
Filadélfia,Bovinocultura de leite,7
Filadélfia,Bovinocultura mista (touro - com características de corte,3
Filadélfia,Cana -de-açucar,1
Filadélfia,Culturas anuais,4
Filadélfia,Fruticultura,2
Filadélfia,Leite) -,3
Filadélfia,Mandiocultura,1
Filadélfia,Meliponicultura,3
Filadélfia,Olericultura,6
Filadélfia,Pisicultura,2
Filadélfia,Principais produtos comercializados - bezerros,3
Filadélfia,Suinocultura,4
Filadélfia,Vaca - cruzada,3
Fortaleza do Tabocão,Avicultura,6
Fortaleza do Tabocão,Bovinocultura de leite,1
Fortaleza do Tabocão,Bovinocultura mista (touro - com características de corte,5
Fortaleza do Tabocão,Culturas anuais,4
Fortaleza do Tabocão,Leite) -,5
Fortaleza do Tabocão,Mandiocultura,1
Fortaleza do Tabocão,Olericultura,1
Fortaleza do Tabocão,Pimenta do reino,1
Fortaleza do Tabocão,Pisicultura,2
Fortaleza do Tabocão,Principais produtos comercializados - bezerros,5
Fortaleza do Tabocão,Suinocultura,6
Fortaleza do Tabocão,Vaca - cruzada,5
Fátima,Avicultura,6
Fátima,Bovinocultura de corte,4
Fátima,Bovinocultura mista (touro - com características de corte,5
Fátima,Culturas anuais,2
Fátima,Extrativismo vegetal,2
Fátima,Fruticultura,1
Fátima,Leite) -,5
Fátima,Mandiocultura,5
Fátima,Olericultura,1
Fátima,Pisicultura,1
Fátima,Principais produtos comercializados - bezerros,5
Fátima,Suinocultura,2
Fátima,Vaca - cruzada,5
Goiatins,Avicultura,2
Goiatins,Bovinocultura de corte,6
Goiatins,Bovinocultura de leite,1
Goiatins,Bovinocultura mista (touro - com características de corte,3
Goiatins,Culturas anuais,1
Goiatins,Leite) -,3
Goiatins,Mandiocultura,3
Goiatins,Pisicultura,2
Goiatins,Principais produtos comercializados - bezerros,3
Goiatins,Suinocultura,1
Goiatins,Vaca - cruzada,3
Guaraí,Avicultura,5
Guaraí,Bovinocultura de corte,15
Guaraí,Bovinocultura de leite,10
Guaraí,Bovinocultura mista (touro - com características de corte,4
Guaraí,Fruticultura,4
Guaraí,Leite) -,4
Guaraí,Mandiocultura,8
Guaraí,Olericultura,4
Guaraí,Ovinocaprinocultura,2
Guaraí,Pisicultura,2
Guaraí,Principais produtos comercializados - bezerros,4
Guaraí,Suinocultura,4
Guaraí,Vaca - cruzada,4
Gurupi,Agroindústria,1
Gurupi,Apicultura,1
Gurupi,Avicultura,22
Gurupi,Bovinocultura de corte,10
Gurupi,Bovinocultura de leite,4
Gurupi,Bovinocultura mista (touro - com características de corte,5
Gurupi,Cana de açucar,1
Gurupi,Leite) -,5
Gurupi,Mandiocultura,7
Gurupi,Meliponicultura,1
Gurupi,Olericultura,4
Gurupi,Ovinocaprinocultura,1
Gurupi,Principais produtos comercializados - bezerros,5
Gurupi,Suinocultura,14
Gurupi,Vaca - cruzada,5
Ipueiras,Avicultura,5
Ipueiras,Bovinocultura de corte,5
Ipueiras,Bovinocultura mista (touro - com características de corte,1
Ipueiras,Culturas anuais,2
Ipueiras,Fruticultura,2
Ipueiras,Leite) -,1
Ipueiras,Mandiocultura,5
Ipueiras,Olericultura,1
Ipueiras,Principais produtos comercializados - bezerros,1
Ipueiras,Suinocultura,2
Ipueiras,Vaca - cruzada,1
Itaguatins,Avicultura,3
Itaguatins,Bovinocultura de corte,1
Itaguatins,Bovinocultura de leite,2
Itaguatins,Bovinocultura mista (touro - com características de corte,1
Itaguatins,Culturas anuais,1
Itaguatins,Fruticultura,2
Itaguatins,Leite) -,1
Itaguatins,Mandiocultura,2
Itaguatins,Olericultura,1
Itaguatins,Pisicultura,1
Itaguatins,Principais produtos comercializados - bezerros,1
Itaguatins,Suinocultura,2
Itaguatins,Vaca - cruzada,1
Itaporã do Tocantins,Bovinocultura de corte,1
Itaporã do Tocantins,Bovinocultura de leite,1
Itaporã do Tocantins,Fruticultura,1
Jaú do Tocantins,Avicultura,2
Jaú do Tocantins,Bovinocultura de corte,2
Jaú do Tocantins,Bovinocultura de leite,5
Lagoa da Confusão,Avicultura,4
Lagoa da Confusão,Bovinocultura de corte,6
Lagoa da Confusão,Culturas anuais,3
Lagoa da Confusão,Extrativismo vegetal,4
Lagoa da Confusão,Fruticultura,2
Lagoa da Confusão,Mandiocultura,6
Lagoa da Confusão,Olericultura,1
Lagoa da Confusão,Pesca,2
Lagoa da Confusão,Suinocultura,1
Lajeado,Avicultura,1
Lajeado,Bovinocultura de leite,1
Lajeado,Extrativismo vegetal,1
Lajeado,Olericultura,1
Lajeado,Pisicultura,5
Luzinópolis,Apicultura,1
Luzinópolis,Avicultura,9
Luzinópolis,Bovinocultura de corte,3
Luzinópolis,Bovinocultura de leite,4
Luzinópolis,Bovinocultura mista (touro - com características de corte,1
Luzinópolis,Culturas anuais,4
Luzinópolis,Fruticultura,1
Luzinópolis,Leite) -,1
Luzinópolis,Mandiocultura,4
Luzinópolis,Meliponicultura,1
Luzinópolis,Olericultura,2
Luzinópolis,Ovinocaprinocultura,1
Luzinópolis,Pisicultura,1
Luzinópolis,Principais produtos comercializados - bezerros,1
Luzinópolis,Suinocultura,5
Luzinópolis,Vaca - cruzada,1
Marianópolis do Tocantins,Apicultura,1
Marianópolis do Tocantins,Avicultura,24
Marianópolis do Tocantins,Bovinocultura de corte,16
Marianópolis do Tocantins,Bovinocultura de leite,3
Marianópolis do Tocantins,Bovinocultura mista (touro - com características de corte,11
Marianópolis do Tocantins,Culturas anuais,4
Marianópolis do Tocantins,Leite) -,11
Marianópolis do Tocantins,Mandiocultura,8
Marianópolis do Tocantins,Meliponicultura,1
Marianópolis do Tocantins,Olericultura,5
Marianópolis do Tocantins,Ovinocaprinocultura,3
Marianópolis do Tocantins,Pisicultura,2
Marianópolis do Tocantins,Principais produtos comercializados - bezerros,11
Marianópolis do Tocantins,Suinocultura,8
Marianópolis do Tocantins,Vaca - cruzada,11
Miracema do Tocantins,Agroindustria,1
Miracema do Tocantins,Apicultura,2
Miracema do Tocantins,Avicultura,12
Miracema do Tocantins,Bovinocultura de corte,9
Miracema do Tocantins,Bovinocultura de leite,5
Miracema do Tocantins,Culturas anuais,4
Miracema do Tocantins,Fruticultura,6
Miracema do Tocantins,Mandiocultura,7
Miracema do Tocantins,Meliponicultura,2
Miracema do Tocantins,Olericultura,3
Miracema do Tocantins,Suinocultura,5
Miranorte,Avicultura,32
Miranorte,Bovinocultura de corte,20
Miranorte,Bovinocultura de leite,16
Miranorte,Bovinocultura mista (touro - com características de corte,12
Miranorte,Culturas anuais,2
Miranorte,Fruticultura,11
Miranorte,Leite) -,12
Miranorte,Mandiocultura,10
Miranorte,Olericultura,1
Miranorte,Pisicultura,2
Miranorte,Principais produtos comercializados - bezerros,12
Miranorte,Suinocultura,17
Miranorte,Vaca - cruzada,12
Monte Santo do Tocantins,Avicultura,12
Monte Santo do Tocantins,Bovinocultura de corte,8
Monte Santo do Tocantins,Bovinocultura de leite,1
Monte Santo do Tocantins,Bovinocultura mista (touro - com características de corte,3
Monte Santo do Tocantins,Culturas anuais,2
Monte Santo do Tocantins,Extrativismo vegetal,3
Monte Santo do Tocantins,Fruticultura,4
Monte Santo do Tocantins,Leite) -,3
Monte Santo do Tocantins,Mandiocultura,6
Monte Santo do Tocantins,Olericultura,1
Monte Santo do Tocantins,Pisicultura,2
Monte Santo do Tocantins,Principais produtos comercializados - bezerros,3
Monte Santo do Tocantins,Silvicultura,1
Monte Santo do Tocantins,Suinocultura,6
Monte Santo do Tocantins,Vaca - cruzada,3
Monte do Carmo,Avicultura,10
Monte do Carmo,Bovinocultura de corte,7
Monte do Carmo,Culturas anuais,5
Monte do Carmo,Extrativismo vegetal,1
Monte do Carmo,Fruticultura,2
Monte do Carmo,Mandiocultura,10
Monte do Carmo,Olericultura,2
Monte do Carmo,Suinocultura,7
Muricilândia,Avicultura,4
Muricilândia,Bovinocultura de corte,5
Muricilândia,Bovinocultura de leite,5
Muricilândia,Bovinocultura mista (touro - com características de corte,1
Muricilândia,Fruticultura,3
Muricilândia,Leite) -,1
Muricilândia,Mandiocultura,1
Muricilândia,Olericultura,2
Muricilândia,Ovinocaprinocultura,1
Muricilândia,Principais produtos comercializados - bezerros,1
Muricilândia,Suinocultura,2
Muricilândia,Vaca - cruzada,1
Nova Olinda,Apicultura,1
Nova Olinda,Avicultura,25
Nova Olinda,Bovinocultura de corte,6
Nova Olinda,Bovinocultura de leite,1
Nova Olinda,Bovinocultura mista (touro - com características de corte,10
Nova Olinda,Culturas anuais,17
Nova Olinda,Extrativismo vegetal,19
Nova Olinda,Fruticultura,24
Nova Olinda,Leite) -,10
Nova Olinda,Mandiocultura,24
Nova Olinda,Meliponicultura,1
Nova Olinda,Olericultura,14
Nova Olinda,Ovinocaprinocultura,2
Nova Olinda,Pisicultura,4
Nova Olinda,Principais produtos comercializados - bezerros,10
Nova Olinda,Suinocultura,17
Nova Olinda,Vaca - cruzada,10
Nova Rosalândia,Avicultura,15
Nova Rosalândia,Bovinocultura de corte,14
Nova Rosalândia,Culturas anuais,1
Nova Rosalândia,Fruticultura,5
Nova Rosalândia,Mandiocultura,8
Nova Rosalândia,Olericultura,4
Nova Rosalândia,Suinocultura,7
Novo Acordo,Avicultura,5
Novo Acordo,Bovinocultura de corte,1
Novo Acordo,Bovinocultura mista (touro - com características de corte,4
Novo Acordo,Culturas anuais,4
Novo Acordo,Extrativismo vegetal,2
Novo Acordo,Fruticultura,2
Novo Acordo,Leite) -,4
Novo Acordo,Mandiocultura,5
Novo Acordo,Olericultura,1
Novo Acordo,Principais produtos comercializados - bezerros,4
Novo Acordo,Suinocultura,3
Novo Acordo,Vaca - cruzada,4
Novo Jardim,Avicultura,6
Novo Jardim,Bovinocultura de corte,7
Novo Jardim,Bovinocultura de leite,1
Novo Jardim,Culturas anuais,1
Novo Jardim,Fruticultura,3
Novo Jardim,Mandiocultura,6
Novo Jardim,Olericultura,2
Novo Jardim,Suinocultura,5
Palmas,Apicultura,2
Palmas,Avicultura,13
Palmas,Bovinocultura de leite,2
Palmas,Bovinocultura mista (touro - com características de corte,2
Palmas,Culturas anuais,1
Palmas,Fruticultura,2
Palmas,Leite) -,2
Palmas,Mandiocultura,6
Palmas,Meliponicultura,2
Palmas,Olericultura,3
Palmas,Principais produtos comercializados - bezerros,2
Palmas,Suinocultura,5
Palmas,Vaca - cruzada,2
Palmeiras do Tocantins,Apicultura,1
Palmeiras do Tocantins,Avicultura,15
Palmeiras do Tocantins,Bovinocultura de corte,6
Palmeiras do Tocantins,Bovinocultura de leite,5
Palmeiras do Tocantins,Bovinocultura mista (touro - com características de corte,3
Palmeiras do Tocantins,Culturas anuais,15
Palmeiras do Tocantins,Fruticultura,10
Palmeiras do Tocantins,Leite) -,3
Palmeiras do Tocantins,Mandiocultura,9
Palmeiras do Tocantins,Meliponicultura,1
Palmeiras do Tocantins,Olericultura,22
Palmeiras do Tocantins,Ovinocaprinocultura,1
Palmeiras do Tocantins,Pisicultura,4
Palmeiras do Tocantins,Principais produtos comercializados - bezerros,3
Palmeiras do Tocantins,Suinocultura,2
Palmeiras do Tocantins,Vaca - cruzada,3
Palmeirópolis,Avicultura,3
Palmeirópolis,Bovinocultura de leite,2
Palmeirópolis,Fruticultura,2
Palmeirópolis,Mandiocultura,4
Palmeirópolis,Olericultura,1
Paranã,Avicultura,22
Paranã,Bovinocultura de corte,31
Paranã,Bovinocultura de leite,1
Paranã,Bovinocultura mista (touro - com características de corte,3
Paranã,Culturas anuais,8
Paranã,Extrativismo vegetal,1
Paranã,Leite) -,3
Paranã,Mandiocultura,14
Paranã,Olericultura,2
Paranã,Ovinocaprinocultura,1
Paranã,Principais produtos comercializados - bezerros,3
Paranã,Suinocultura,8
Paranã,Vaca - cruzada,3
Paraíso do Tocantins,Apicultura,2
Paraíso do Tocantins,Avicultura,13
Paraíso do Tocantins,Bovinocultura de corte,9
Paraíso do Tocantins,Bovinocultura de leite,5
Paraíso do Tocantins,Bovinocultura mista (touro - com características de corte,5
Paraíso do Tocantins,Culturas anuais,3
Paraíso do Tocantins,Extrativismo vegetal,1
Paraíso do Tocantins,Fruticultura,2
Paraíso do Tocantins,Leite) -,5
Paraíso do Tocantins,Mandiocultura,12
Paraíso do Tocantins,Meliponicultura,2
Paraíso do Tocantins,Olericultura,11
