municipio_ibge,uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,total_respostas
Aparecida do Rio Negro,Rotação de cultura,Pouco degradado,1
Aragominas,Aceiros,Degradação Média,1
Aragominas,Aceiros,Não possui degradação,1
Aragominas,Aceiros,Pouco degradado,5
Aragominas,Adubação,Degradação Média,1
Aragominas,Plantio direto,Pouco degradado,1
Araguanã,Aceiros,Degradação Média,1
Araguanã,Aceiros,Não possui degradação,5
Araguanã,Aceiros,Pouco degradado,8
Araguanã,Adubação,Não possui degradação,1
Araguanã,Adubação,Pouco degradado,2
Araguanã,Adubação verde,Não possui degradação,2
Araguanã,Adubação verde,Pouco degradado,3
Araguanã,Plantio direto,Não possui degradação,1
Araguanã,Plantio direto,Pouco degradado,2
Araguanã,Rotação de cultura,Não possui degradação,2
Araguanã,Rotação de cultura,Pouco degradado,6
Araguatins,Aceiros,Não possui degradação,4
Araguatins,Adubação,Não possui degradação,3
Araguatins,Adubação verde,Não possui degradação,3
Araguatins,Calagem,Muito degradado,1
Araguatins,Calagem,Não possui degradação,2
Araguatins,Consórcio,Não possui degradação,3
Araguatins,Curva de nível,Não possui degradação,1
Araguatins,Descarte correto de embalagens,Não possui degradação,4
Araguatins,Floresta,Não possui degradação,1
Araguatins,Ilp - integração lavoura pecuária,Não possui degradação,1
Araguatins,Ilpf - integração lavoura pecuária,Não possui degradação,1
Araguatins,Não usa,Muito degradado,1
Araguatins,Plantio direto,Não possui degradação,3
Araguatins,Reaproveitamento de residuos,Não possui degradação,4
Araguatins,Recuperação de pastagens,Muito degradado,1
Araguatins,Recuperação de pastagens,Não possui degradação,3
Araguatins,Rotação de cultura,Muito degradado,1
Araguatins,Rotação de cultura,Não possui degradação,3
Araguaçu,Aceiros,Degradação Média,1
Araguaçu,Aceiros,Não possui degradação,1
Araguaçu,Adubação,Degradação Média,1
Araguaçu,Calagem,Degradação Média,1
Araguaçu,Calagem,Pouco degradado,1
Araguaçu,Consórcio,Pouco degradado,1
Araguaçu,Curva de nível,Degradação Média,1
Araguaçu,Não usa,Pouco degradado,1
Araguaçu,Plantio direto,Degradação Média,1
Araguaçu,Reaproveitamento de residuos,Degradação Média,1
Araguaçu,Reaproveitamento de residuos,Pouco degradado,1
Araguaçu,Recuperação de pastagens,Degradação Média,2
Araguaçu,Recuperação de pastagens,Não possui degradação,1
Araguaçu,Recuperação de pastagens,Pouco degradado,1
Araguaçu,Rotação de cultura,Pouco degradado,1
Araguaína,Aceiros,Degradação Média,1
Araguaína,Aceiros,Não possui degradação,6
Araguaína,Aceiros,Pouco degradado,20
Araguaína,Adubação,Degradação Média,2
Araguaína,Adubação,Não possui degradação,5
Araguaína,Adubação,Pouco degradado,11
Araguaína,Adubação verde,Pouco degradado,1
Araguaína,Apiário,Pouco degradado,1
Araguaína,Calagem,Degradação Média,1
Araguaína,Calagem,Não possui degradação,2
Araguaína,Calagem,Pouco degradado,6
Araguaína,Consórcio,Não possui degradação,3
Araguaína,Consórcio,Pouco degradado,2
Araguaína,Descarte correto de embalagens,Não possui degradação,2
Araguaína,Plantio direto,Não possui degradação,1
Araguaína,Reaproveitamento de residuos,Pouco degradado,2
Araguaína,Recuperação de pastagens,Degradação Média,1
Araguaína,Recuperação de pastagens,Pouco degradado,7
Araguaína,Rotação de cultura,Não possui degradação,1
Araguaína,Rotação de cultura,Pouco degradado,5
Aurora do Tocantins,Aceiros,Não possui degradação,1
Aurora do Tocantins,Aceiros,Pouco degradado,4
Aurora do Tocantins,Adubação,Não possui degradação,1
Aurora do Tocantins,Adubação,Pouco degradado,2
Aurora do Tocantins,Calagem,Pouco degradado,1
Aurora do Tocantins,Consórcio,Pouco degradado,1
Aurora do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
Aurora do Tocantins,Reaproveitamento de residuos,Pouco degradado,1
Axixá do Tocantins,Aceiros,Degradação Média,1
Axixá do Tocantins,Aceiros,Não possui degradação,4
Axixá do Tocantins,Aceiros,Pouco degradado,8
Axixá do Tocantins,Adubação,Não possui degradação,2
Axixá do Tocantins,Adubação,Pouco degradado,4
Axixá do Tocantins,Calagem,Não possui degradação,5
Axixá do Tocantins,Calagem,Pouco degradado,3
Axixá do Tocantins,Descarte correto de embalagens,Não possui degradação,2
Axixá do Tocantins,Descarte correto de embalagens,Pouco degradado,1
Axixá do Tocantins,Recuperação de pastagens,Não possui degradação,2
Axixá do Tocantins,Recuperação de pastagens,Pouco degradado,4
Axixá do Tocantins,Rotação de cultura,Não possui degradação,3
Axixá do Tocantins,Rotação de cultura,Pouco degradado,4
Babaçulândia,Aceiros,Degradação Média,1
Babaçulândia,Aceiros,Pouco degradado,4
Babaçulândia,Adubação verde,Degradação Média,1
Babaçulândia,Adubação verde,Pouco degradado,1
Babaçulândia,Consórcio,Degradação Média,1
Babaçulândia,Consórcio,Pouco degradado,1
Babaçulândia,Plantio direto,Degradação Média,1
Babaçulândia,Plantio direto,Pouco degradado,4
Babaçulândia,Reaproveitamento de residuos,Degradação Média,1
Babaçulândia,Reaproveitamento de residuos,Pouco degradado,1
Babaçulândia,Recuperação de pastagens,Degradação Média,1
Babaçulândia,Recuperação de pastagens,Pouco degradado,4
Babaçulândia,Rotação de cultura,Degradação Média,1
Babaçulândia,Rotação de cultura,Pouco degradado,4
Bandeirantes do Tocantins,Aceiros,Degradação Média,3
Bandeirantes do Tocantins,Aceiros,Pouco degradado,1
Bandeirantes do Tocantins,Adubação,Degradação Média,2
Bandeirantes do Tocantins,Consórcio,Degradação Média,1
Bandeirantes do Tocantins,Descarte correto de embalagens,Degradação Média,3
Bandeirantes do Tocantins,Descarte correto de embalagens,Pouco degradado,2
Bandeirantes do Tocantins,Não usa,Pouco degradado,1
Bandeirantes do Tocantins,Recuperação de pastagens,Degradação Média,1
Bandeirantes do Tocantins,Rotação de cultura,Degradação Média,1
Bandeirantes do Tocantins,Rotação de cultura,Pouco degradado,1
Barrolândia,Aceiros,Degradação Média,1
Barrolândia,Aceiros,Não possui degradação,2
Barrolândia,Aceiros,Pouco degradado,8
Barrolândia,Adubação,Não possui degradação,1
Barrolândia,Adubação,Pouco degradado,3
Barrolândia,Calagem,Pouco degradado,1
Barrolândia,Consórcio,Pouco degradado,1
Barrolândia,Descarte correto de embalagens,Não possui degradação,1
Barrolândia,Descarte correto de embalagens,Pouco degradado,4
Barrolândia,Não usa,Degradação Média,1
Barrolândia,Plantio direto,Pouco degradado,3
Barrolândia,Recuperação de pastagens,Não possui degradação,1
Barrolândia,Recuperação de pastagens,Pouco degradado,9
Bom Jesus do Tocantins,Aceiros,Não possui degradação,2
Bom Jesus do Tocantins,Aceiros,Pouco degradado,1
Bom Jesus do Tocantins,Adubação,Não possui degradação,3
Bom Jesus do Tocantins,Adubação,Pouco degradado,1
Bom Jesus do Tocantins,Adubação verde,Não possui degradação,1
Bom Jesus do Tocantins,Adubação verde,Pouco degradado,1
Bom Jesus do Tocantins,Plantio direto,Não possui degradação,1
Bom Jesus do Tocantins,Plantio direto,Pouco degradado,1
Bom Jesus do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
Bom Jesus do Tocantins,Rotação de cultura,Não possui degradação,1
Cachoeirinha,Aceiros,Pouco degradado,1
Cachoeirinha,Adubação,Pouco degradado,1
Cachoeirinha,Calagem,Pouco degradado,1
Cachoeirinha,Consórcio,Pouco degradado,1
Cachoeirinha,Descarte correto de embalagens,Pouco degradado,1
Cachoeirinha,Reaproveitamento de residuos,Pouco degradado,1
Cachoeirinha,Recuperação de pastagens,Pouco degradado,2
Cachoeirinha,Rotação de cultura,Pouco degradado,1
Cariri do Tocantins,Aceiros,Degradação Média,2
Cariri do Tocantins,Aceiros,Pouco degradado,2
Cariri do Tocantins,Adubação,Degradação Média,2
Cariri do Tocantins,Adubação,Pouco degradado,1
Cariri do Tocantins,Calagem,Degradação Média,2
Cariri do Tocantins,Calagem,Pouco degradado,3
Cariri do Tocantins,Consórcio,Pouco degradado,1
Cariri do Tocantins,Curva de nível,Pouco degradado,1
Cariri do Tocantins,Recuperação de pastagens,Pouco degradado,3
Cariri do Tocantins,Rotação de cultura,Degradação Média,1
Cariri do Tocantins,Rotação de cultura,Pouco degradado,2
Carmolândia,Aceiros,Não possui degradação,2
Carmolândia,Aceiros,Pouco degradado,1
Carmolândia,Plantio direto,Não possui degradação,1
Caseara,Aceiros,Não possui degradação,4
Caseara,Aceiros,Pouco degradado,1
Caseara,Adubação,Não possui degradação,5
Caseara,Adubação,Pouco degradado,1
Caseara,Adubação verde,Não possui degradação,1
Caseara,Adubação verde,Pouco degradado,1
Caseara,Calagem,Não possui degradação,1
Caseara,Não usa,Não possui degradação,5
Caseara,Reaproveitamento de residuos,Não possui degradação,3
Caseara,Rotação de cultura,Não possui degradação,3
Centenário,Aceiros,Não possui degradação,1
Centenário,Reaproveitamento de residuos,Não possui degradação,1
Centenário,Rotação de cultura,Não possui degradação,1
Chapada da Natividade,Aceiros,Degradação Média,4
Chapada da Natividade,Aceiros,Pouco degradado,8
Chapada da Natividade,Adubação,Degradação Média,3
Chapada da Natividade,Adubação,Pouco degradado,4
Chapada da Natividade,Adubação verde,Degradação Média,1
Chapada da Natividade,Adubação verde,Pouco degradado,4
Chapada da Natividade,Calagem,Pouco degradado,3
Chapada da Natividade,Outros,Pouco degradado,1
Chapada da Natividade,Recuperação de pastagens,Degradação Média,4
Chapada da Natividade,Recuperação de pastagens,Pouco degradado,4
Chapada da Natividade,Rotação de cultura,Degradação Média,4
Chapada da Natividade,Rotação de cultura,Pouco degradado,4
Chapada de Areia,Aceiros,Degradação Média,5
Chapada de Areia,Aceiros,Pouco degradado,5
Chapada de Areia,Adubação,Degradação Média,1
Chapada de Areia,Adubação,Não possui degradação,2
Chapada de Areia,Adubação,Pouco degradado,2
Chapada de Areia,Adubação verde,Não possui degradação,3
Chapada de Areia,Adubação verde,Pouco degradado,4
Chapada de Areia,Calagem,Não possui degradação,1
Chapada de Areia,Calagem,Pouco degradado,1
Chapada de Areia,Consórcio,Não possui degradação,1
Chapada de Areia,Plantio direto,Degradação Média,1
Chapada de Areia,Plantio direto,Muito degradado,1
Chapada de Areia,Plantio direto,Não possui degradação,6
Chapada de Areia,Plantio direto,Pouco degradado,2
Chapada de Areia,Recuperação de pastagens,Pouco degradado,1
Chapada de Areia,Rotação de cultura,Degradação Média,1
Chapada de Areia,Rotação de cultura,Não possui degradação,1
Colméia,Aceiros,Degradação Média,1
Colméia,Aceiros,Não possui degradação,2
Colméia,Aceiros,Pouco degradado,3
Colméia,Adubação,Não possui degradação,2
Colméia,Adubação,Pouco degradado,4
Colméia,Adubação verde,Pouco degradado,4
Colméia,Calagem,Não possui degradação,2
Colméia,Calagem,Pouco degradado,2
Colméia,Curva de nível,Pouco degradado,2
Colméia,Reaproveitamento de residuos,Não possui degradação,2
Colméia,Rotação de cultura,Pouco degradado,2
Couto Magalhães,Aceiros,Pouco degradado,5
Couto Magalhães,Adubação,Não possui degradação,1
Couto Magalhães,Adubação,Pouco degradado,5
Couto Magalhães,Adubação verde,Degradação Média,1
Couto Magalhães,Adubação verde,Não possui degradação,1
Couto Magalhães,Adubação verde,Pouco degradado,5
Couto Magalhães,Calagem,Não possui degradação,1
Couto Magalhães,Calagem,Pouco degradado,5
Couto Magalhães,Consórcio,Pouco degradado,1
Couto Magalhães,Curva de nível,Degradação Média,1
Couto Magalhães,Curva de nível,Não possui degradação,1
Couto Magalhães,Descarte correto de embalagens,Pouco degradado,1
Couto Magalhães,Ilp - integração lavoura pecuária,Não possui degradação,1
Couto Magalhães,Plantio direto,Não possui degradação,1
Couto Magalhães,Plantio direto,Pouco degradado,3
Couto Magalhães,Reaproveitamento de residuos,Degradação Média,1
Couto Magalhães,Reaproveitamento de residuos,Pouco degradado,5
Couto Magalhães,Recuperação de pastagens,Não possui degradação,1
Couto Magalhães,Recuperação de pastagens,Pouco degradado,4
Couto Magalhães,Rotação de cultura,Degradação Média,1
Couto Magalhães,Rotação de cultura,Não possui degradação,1
Couto Magalhães,Rotação de cultura,Pouco degradado,5
Cristalândia,Aceiros,Degradação Média,2
Cristalândia,Aceiros,Não possui degradação,8
Cristalândia,Aceiros,Pouco degradado,7
Cristalândia,Adubação,Não possui degradação,3
Cristalândia,Adubação verde,Não possui degradação,1
Cristalândia,Calagem,Degradação Média,1
Cristalândia,Calagem,Não possui degradação,2
Cristalândia,Calagem,Pouco degradado,1
Cristalândia,Não usa,Não possui degradação,1
Cristalândia,Não usa,Pouco degradado,1
Cristalândia,Plantio direto,Não possui degradação,1
Cristalândia,Plantio direto,Pouco degradado,1
Cristalândia,Reaproveitamento de residuos,Degradação Média,1
Cristalândia,Reaproveitamento de residuos,Não possui degradação,2
Cristalândia,Reaproveitamento de residuos,Pouco degradado,2
Cristalândia,Rotação de cultura,Não possui degradação,1
Crixás do Tocantins,Adubação,Degradação Média,1
Crixás do Tocantins,Calagem,Degradação Média,1
Crixás do Tocantins,Consórcio,Degradação Média,1
Crixás do Tocantins,Não usa,Degradação Média,1
Dianópolis,Aceiros,Degradação Média,2
Dianópolis,Aceiros,Não possui degradação,15
Dianópolis,Aceiros,Pouco degradado,1
Dianópolis,Adubação,Degradação Média,2
Dianópolis,Adubação,Não possui degradação,11
Dianópolis,Adubação,Pouco degradado,4
Dianópolis,Adubação verde,Degradação Média,2
Dianópolis,Adubação verde,Não possui degradação,4
Dianópolis,Adubação verde,Pouco degradado,3
Dianópolis,Calagem,Degradação Média,2
Dianópolis,Calagem,Não possui degradação,13
Dianópolis,Calagem,Pouco degradado,3
Dianópolis,Consórcio,Degradação Média,1
Dianópolis,Consórcio,Não possui degradação,5
Dianópolis,Consórcio,Pouco degradado,3
Dianópolis,Curva de nível,Não possui degradação,2
Dianópolis,Curva de nível,Pouco degradado,1
Dianópolis,Floresta,Não possui degradação,1
Dianópolis,Ilp - integração lavoura pecuária,Não possui degradação,1
Dianópolis,Ilp - integração lavoura pecuária,Pouco degradado,1
Dianópolis,Ilpf - integração lavoura pecuária,Não possui degradação,1
Dianópolis,Não usa,Não possui degradação,2
Dianópolis,Plantio direto,Degradação Média,1
Dianópolis,Plantio direto,Não possui degradação,4
Dianópolis,Plantio direto,Pouco degradado,3
Dianópolis,Reaproveitamento de residuos,Degradação Média,2
Dianópolis,Reaproveitamento de residuos,Não possui degradação,3
Dianópolis,Reaproveitamento de residuos,Pouco degradado,1
Dianópolis,Recuperação de pastagens,Degradação Média,1
Dianópolis,Recuperação de pastagens,Não possui degradação,3
Dianópolis,Recuperação de pastagens,Pouco degradado,1
Dianópolis,Rotação de cultura,Degradação Média,2
Dianópolis,Rotação de cultura,Não possui degradação,5
Dianópolis,Rotação de cultura,Pouco degradado,2
Divinópolis do Tocantins,Aceiros,Não possui degradação,10
Divinópolis do Tocantins,Aceiros,Pouco degradado,8
Divinópolis do Tocantins,Adubação,Degradação Média,1
Divinópolis do Tocantins,Adubação,Não possui degradação,7
Divinópolis do Tocantins,Adubação,Pouco degradado,4
Divinópolis do Tocantins,Calagem,Não possui degradação,8
Divinópolis do Tocantins,Calagem,Pouco degradado,4
Divinópolis do Tocantins,Consórcio,Não possui degradação,2
Divinópolis do Tocantins,Curva de nível,Não possui degradação,1
Divinópolis do Tocantins,Descarte correto de embalagens,Não possui degradação,1
Divinópolis do Tocantins,Descarte correto de embalagens,Pouco degradado,1
Divinópolis do Tocantins,Não usa,Não possui degradação,1
Divinópolis do Tocantins,Plantio direto,Não possui degradação,4
Divinópolis do Tocantins,Plantio direto,Pouco degradado,1
Divinópolis do Tocantins,Reaproveitamento de residuos,Não possui degradação,2
Divinópolis do Tocantins,Reaproveitamento de residuos,Pouco degradado,2
Divinópolis do Tocantins,Recuperação de pastagens,Não possui degradação,3
Divinópolis do Tocantins,Recuperação de pastagens,Pouco degradado,4
Divinópolis do Tocantins,Rotação de cultura,Não possui degradação,1
Divinópolis do Tocantins,Rotação de cultura,Pouco degradado,2
Dueré,Aceiros,Degradação Média,1
Dueré,Aceiros,Muito degradado,1
Dueré,Aceiros,Pouco degradado,1
Dueré,Adubação,Degradação Média,1
Dueré,Adubação,Muito degradado,1
Dueré,Adubação,Não possui degradação,1
Dueré,Adubação,Pouco degradado,1
Dueré,Calagem,Pouco degradado,1
Dueré,Não usa,Degradação Média,1
Esperantina,Aceiros,Não possui degradação,1
Esperantina,Adubação verde,Não possui degradação,1
Esperantina,Consórcio,Não possui degradação,1
Esperantina,Floresta,Não possui degradação,1
Esperantina,Ilp - integração lavoura pecuária,Não possui degradação,1
Esperantina,Ilpf - integração lavoura pecuária,Não possui degradação,1
Esperantina,Plantio direto,Não possui degradação,2
Esperantina,Reaproveitamento de residuos,Não possui degradação,1
Esperantina,Recuperação de pastagens,Não possui degradação,1
Esperantina,Rotação de cultura,Não possui degradação,2
Figueirópolis,Aceiros,Não possui degradação,3
Figueirópolis,Aceiros,Pouco degradado,2
Figueirópolis,Adubação,Não possui degradação,4
Figueirópolis,Adubação,Pouco degradado,5
Figueirópolis,Calagem,Pouco degradado,4
Figueirópolis,Plantio direto,Pouco degradado,1
Figueirópolis,Recuperação de pastagens,Pouco degradado,3
Figueirópolis,Rotação de cultura,Não possui degradação,1
Filadélfia,Aceiros,Degradação Média,3
Filadélfia,Aceiros,Muito degradado,1
Filadélfia,Aceiros,Não possui degradação,4
Filadélfia,Aceiros,Pouco degradado,11
Filadélfia,Adubação,Degradação Média,1
Filadélfia,Adubação,Muito degradado,1
Filadélfia,Adubação,Pouco degradado,1
Filadélfia,Consórcio,Não possui degradação,1
Filadélfia,Descarte correto de embalagens,Não possui degradação,2
Filadélfia,Descarte correto de embalagens,Pouco degradado,1
Filadélfia,Não usa,Degradação Média,1
Filadélfia,Não usa,Muito degradado,1
Filadélfia,Reaproveitamento de residuos,Pouco degradado,1
Filadélfia,Recuperação de pastagens,Não possui degradação,3
Filadélfia,Recuperação de pastagens,Pouco degradado,1
Fortaleza do Tabocão,Aceiros,Pouco degradado,6
Fortaleza do Tabocão,Adubação,Pouco degradado,6
Fortaleza do Tabocão,Adubação verde,Pouco degradado,2
Fortaleza do Tabocão,Calagem,Pouco degradado,4
Fortaleza do Tabocão,Descarte correto de embalagens,Pouco degradado,3
Fortaleza do Tabocão,Reaproveitamento de residuos,Pouco degradado,5
Fortaleza do Tabocão,Recuperação de pastagens,Pouco degradado,2
Fátima,Aceiros,Degradação Média,1
Fátima,Aceiros,Pouco degradado,1
Fátima,Adubação,Degradação Média,3
Fátima,Adubação,Pouco degradado,2
Fátima,Calagem,Degradação Média,3
Fátima,Calagem,Pouco degradado,3
Fátima,Recuperação de pastagens,Degradação Média,1
Goiatins,Aceiros,Pouco degradado,8
Goiatins,Adubação,Pouco degradado,1
Goiatins,Calagem,Pouco degradado,7
Goiatins,Descarte correto de embalagens,Pouco degradado,3
Goiatins,Plantio direto,Pouco degradado,1
Goiatins,Recuperação de pastagens,Pouco degradado,4
Goiatins,Rotação de cultura,Pouco degradado,2
Guaraí,Aceiros,Não possui degradação,9
Guaraí,Aceiros,Pouco degradado,8
Guaraí,Adubação,Não possui degradação,11
Guaraí,Adubação,Pouco degradado,8
Guaraí,Adubação verde,Não possui degradação,1
Guaraí,Adubação verde,Pouco degradado,3
Guaraí,Calagem,Não possui degradação,11
Guaraí,Calagem,Pouco degradado,8
Guaraí,Consórcio,Pouco degradado,2
Guaraí,Curva de nível,Não possui degradação,1
Guaraí,Curva de nível,Pouco degradado,1
Guaraí,Não usa,Não possui degradação,2
Guaraí,Recuperação de pastagens,Pouco degradado,1
Gurupi,Aceiros,Degradação Média,1
Gurupi,Aceiros,Não possui degradação,4
Gurupi,Aceiros,Pouco degradado,10
Gurupi,Adubação,Não possui degradação,1
Gurupi,Adubação,Pouco degradado,3
Gurupi,Adubação verde,Pouco degradado,1
Gurupi,Calagem,Não possui degradação,2
Gurupi,Calagem,Pouco degradado,8
Gurupi,Não usa,Degradação Média,2
Gurupi,Reaproveitamento de residuos,Pouco degradado,1
Gurupi,Rotação de cultura,Pouco degradado,1
Ipueiras,Aceiros,Degradação Média,1
Ipueiras,Aceiros,Não possui degradação,1
Ipueiras,Aceiros,Pouco degradado,4
Ipueiras,Adubação,Degradação Média,1
Ipueiras,Adubação,Não possui degradação,1
Ipueiras,Adubação,Pouco degradado,2
Ipueiras,Adubação verde,Degradação Média,1
Ipueiras,Calagem,Degradação Média,1
Ipueiras,Calagem,Não possui degradação,1
Ipueiras,Calagem,Pouco degradado,3
Ipueiras,Consórcio,Degradação Média,1
Ipueiras,Descarte correto de embalagens,Degradação Média,1
Ipueiras,Recuperação de pastagens,Pouco degradado,1
Ipueiras,Rotação de cultura,Degradação Média,1
Itaguatins,Aceiros,Não possui degradação,1
Itaguatins,Aceiros,Pouco degradado,2
Itaguatins,Adubação,Não possui degradação,1
Itaguatins,Adubação,Pouco degradado,1
Itaguatins,Calagem,Pouco degradado,1
Itaguatins,Consórcio,Pouco degradado,1
Itaguatins,Descarte correto de embalagens,Não possui degradação,1
Itaguatins,Recuperação de pastagens,Pouco degradado,1
Itaguatins,Rotação de cultura,Não possui degradação,2
Itaguatins,Rotação de cultura,Pouco degradado,1
Itaporã do Tocantins,Descarte correto de embalagens,Não possui degradação,2
Itaporã do Tocantins,Plantio direto,Não possui degradação,1
Jaú do Tocantins,Aceiros,Degradação Média,3
Jaú do Tocantins,Aceiros,Pouco degradado,2
Jaú do Tocantins,Adubação,Degradação Média,1
Jaú do Tocantins,Adubação,Pouco degradado,2
Jaú do Tocantins,Calagem,Degradação Média,2
Jaú do Tocantins,Descarte correto de embalagens,Pouco degradado,1
Lagoa da Confusão,Aceiros,Degradação Média,1
Lagoa da Confusão,Aceiros,Não possui degradação,2
Lagoa da Confusão,Aceiros,Pouco degradado,1
Lagoa da Confusão,Adubação,Degradação Média,1
Lagoa da Confusão,Adubação,Não possui degradação,1
Lagoa da Confusão,Adubação verde,Não possui degradação,1
Lagoa da Confusão,Calagem,Não possui degradação,1
Lagoa da Confusão,Consórcio,Degradação Média,1
Lagoa da Confusão,Consórcio,Pouco degradado,1
Lagoa da Confusão,Ilp - integração lavoura pecuária,Não possui degradação,1
Lagoa da Confusão,Plantio direto,Não possui degradação,1
Lagoa da Confusão,Recuperação de pastagens,Degradação Média,1
Lagoa da Confusão,Recuperação de pastagens,Não possui degradação,1
Lagoa da Confusão,Rotação de cultura,Não possui degradação,2
Lagoa da Confusão,Rotação de cultura,Pouco degradado,1
Lajeado,Aceiros,Não possui degradação,1
Lajeado,Adubação,Não possui degradação,1
Lajeado,Adubação verde,Não possui degradação,1
Lajeado,Calagem,Não possui degradação,1
Lajeado,Recuperação de pastagens,Não possui degradação,1
Luzinópolis,Aceiros,Degradação Média,2
Luzinópolis,Aceiros,Não possui degradação,2
Luzinópolis,Adubação,Não possui degradação,2
Luzinópolis,Calagem,Não possui degradação,2
Luzinópolis,Consórcio,Não possui degradação,2
Luzinópolis,Descarte correto de embalagens,Não possui degradação,2
Luzinópolis,Não usa,Não possui degradação,1
Luzinópolis,Recuperação de pastagens,Degradação Média,3
Luzinópolis,Recuperação de pastagens,Não possui degradação,2
Luzinópolis,Rotação de cultura,Não possui degradação,2
Marianópolis do Tocantins,Aceiros,Degradação Média,1
Marianópolis do Tocantins,Aceiros,Não possui degradação,7
Marianópolis do Tocantins,Aceiros,Pouco degradado,1
Marianópolis do Tocantins,Adubação,Degradação Média,6
Marianópolis do Tocantins,Adubação,Não possui degradação,5
Marianópolis do Tocantins,Adubação verde,Degradação Média,1
Marianópolis do Tocantins,Calagem,Degradação Média,1
Marianópolis do Tocantins,Calagem,Não possui degradação,4
Marianópolis do Tocantins,Não usa,Degradação Média,11
Marianópolis do Tocantins,Não usa,Muito degradado,2
Marianópolis do Tocantins,Reaproveitamento de residuos,Não possui degradação,1
Marianópolis do Tocantins,Recuperação de pastagens,Degradação Média,1
Marianópolis do Tocantins,Recuperação de pastagens,Não possui degradação,1
Miracema do Tocantins,Aceiros,Degradação Média,2
Miracema do Tocantins,Aceiros,Não possui degradação,3
Miracema do Tocantins,Aceiros,Pouco degradado,5
Miracema do Tocantins,Adubação,Não possui degradação,2
Miracema do Tocantins,Adubação,Pouco degradado,4
Miracema do Tocantins,Adubação verde,Pouco degradado,1
Miracema do Tocantins,Calagem,Não possui degradação,1
Miracema do Tocantins,Calagem,Pouco degradado,3
Miracema do Tocantins,Descarte correto de embalagens,Degradação Média,1
Miracema do Tocantins,Descarte correto de embalagens,Pouco degradado,5
Miracema do Tocantins,Não usa,Pouco degradado,1
