municipio_ibge,uso_de_praticas_sustentaveis_,total_respostas
Barrolândia,Calagem,3
Barrolândia,Consórcio,1
Barrolândia,Descarte correto de embalagens,5
Barrolândia,Não usa,1
Barrolândia,Plantio direto,3
Barrolândia,Reaproveitamento de residuos,2
Barrolândia,Recuperação de pastagens,11
Barrolândia,Rotação de cultura,3
Bom Jesus do Tocantins,Aceiros,7
Bom Jesus do Tocantins,Adubação,6
Bom Jesus do Tocantins,Adubação verde,5
Bom Jesus do Tocantins,Plantio direto,3
Bom Jesus do Tocantins,Reaproveitamento de residuos,2
Bom Jesus do Tocantins,Rotação de cultura,2
Cachoeirinha,Aceiros,1
Cachoeirinha,Adubação,1
Cachoeirinha,Calagem,1
Cachoeirinha,Consórcio,1
Cachoeirinha,Descarte correto de embalagens,1
Cachoeirinha,Reaproveitamento de residuos,1
Cachoeirinha,Recuperação de pastagens,2
Cachoeirinha,Rotação de cultura,1
Cariri do Tocantins,Aceiros,4
Cariri do Tocantins,Adubação,3
Cariri do Tocantins,Calagem,5
Cariri do Tocantins,Consórcio,1
Cariri do Tocantins,Curva de nível,1
Cariri do Tocantins,Recuperação de pastagens,3
Cariri do Tocantins,Rotação de cultura,3
Carmolândia,Aceiros,11
Carmolândia,Adubação,4
Carmolândia,Plantio direto,5
Caseara,Aceiros,7
Caseara,Adubação,9
Caseara,Adubação verde,5
Caseara,Calagem,2
Caseara,Não usa,10
Caseara,Reaproveitamento de residuos,6
Caseara,Rotação de cultura,5
Centenário,Aceiros,1
Centenário,Reaproveitamento de residuos,1
Centenário,Rotação de cultura,1
Chapada da Natividade,Aceiros,12
Chapada da Natividade,Adubação,7
Chapada da Natividade,Adubação verde,5
Chapada da Natividade,Calagem,3
Chapada da Natividade,Outros,1
Chapada da Natividade,Recuperação de pastagens,8
Chapada da Natividade,Rotação de cultura,8
Chapada de Areia,Aceiros,10
Chapada de Areia,Adubação,6
Chapada de Areia,Adubação verde,13
Chapada de Areia,Calagem,2
Chapada de Areia,Consórcio,2
Chapada de Areia,Não usa,2
Chapada de Areia,Plantio direto,13
Chapada de Areia,Reaproveitamento de residuos,1
Chapada de Areia,Recuperação de pastagens,1
Chapada de Areia,Rotação de cultura,2
Colméia,Aceiros,6
Colméia,Adubação,6
Colméia,Adubação verde,4
Colméia,Calagem,4
Colméia,Curva de nível,2
Colméia,Reaproveitamento de residuos,2
Colméia,Rotação de cultura,2
Couto Magalhães,Aceiros,5
Couto Magalhães,Adubação,7
Couto Magalhães,Adubação verde,8
Couto Magalhães,Calagem,6
Couto Magalhães,Consórcio,1
Couto Magalhães,Curva de nível,4
Couto Magalhães,Descarte correto de embalagens,1
Couto Magalhães,Ilp - integração lavoura pecuária,1
Couto Magalhães,Plantio direto,5
Couto Magalhães,Reaproveitamento de residuos,9
Couto Magalhães,Recuperação de pastagens,5
Couto Magalhães,Rotação de cultura,7
Cristalândia,Aceiros,19
Cristalândia,Adubação,4
Cristalândia,Adubação verde,2
Cristalândia,Calagem,5
Cristalândia,Consórcio,1
Cristalândia,Não usa,2
Cristalândia,Plantio direto,2
Cristalândia,Reaproveitamento de residuos,6
Cristalândia,Rotação de cultura,1
Crixás do Tocantins,Adubação,2
Crixás do Tocantins,Calagem,2
Crixás do Tocantins,Consórcio,1
Crixás do Tocantins,Não usa,1
Crixás do Tocantins,Rotação de cultura,1
Dianópolis,Aceiros,24
Dianópolis,Adubação,24
Dianópolis,Adubação verde,10
Dianópolis,Calagem,20
Dianópolis,Consórcio,12
Dianópolis,Curva de nível,4
Dianópolis,Descarte correto de embalagens,2
Dianópolis,Floresta,1
Dianópolis,Ilp - integração lavoura pecuária,2
Dianópolis,Ilpf - integração lavoura pecuária,1
Dianópolis,Não usa,3
Dianópolis,Plantio direto,8
Dianópolis,Reaproveitamento de residuos,7
Dianópolis,Recuperação de pastagens,6
Dianópolis,Rotação de cultura,12
Divinópolis do Tocantins,,1
Divinópolis do Tocantins,Aceiros,19
Divinópolis do Tocantins,Adubação,12
Divinópolis do Tocantins,Calagem,12
Divinópolis do Tocantins,Consórcio,2
Divinópolis do Tocantins,Curva de nível,1
Divinópolis do Tocantins,Descarte correto de embalagens,2
Divinópolis do Tocantins,Não usa,4
Divinópolis do Tocantins,Plantio direto,5
Divinópolis do Tocantins,Reaproveitamento de residuos,4
Divinópolis do Tocantins,Recuperação de pastagens,7
Divinópolis do Tocantins,Rotação de cultura,3
Dueré,Aceiros,3
Dueré,Adubação,4
Dueré,Calagem,1
Dueré,Não usa,1
Esperantina,,1
Esperantina,Aceiros,3
Esperantina,Adubação,3
Esperantina,Adubação verde,5
Esperantina,Calagem,2
Esperantina,Consórcio,1
Esperantina,Descarte correto de embalagens,1
Esperantina,Floresta,1
Esperantina,Ilp - integração lavoura pecuária,1
Esperantina,Ilpf - integração lavoura pecuária,1
Esperantina,Não usa,1
Esperantina,Plantio direto,4
Esperantina,Reaproveitamento de residuos,2
Esperantina,Recuperação de pastagens,2
Esperantina,Rotação de cultura,3
Figueirópolis,Aceiros,6
Figueirópolis,Adubação,10
Figueirópolis,Calagem,5
Figueirópolis,Plantio direto,1
Figueirópolis,Recuperação de pastagens,4
Figueirópolis,Rotação de cultura,2
Filadélfia,Aceiros,26
Filadélfia,Adubação,6
Filadélfia,Calagem,2
Filadélfia,Consórcio,1
Filadélfia,Descarte correto de embalagens,5
Filadélfia,Não usa,3
Filadélfia,Reaproveitamento de residuos,1
Filadélfia,Recuperação de pastagens,5
Filadélfia,Rotação de cultura,1
Fortaleza do Tabocão,Aceiros,6
Fortaleza do Tabocão,Adubação,7
Fortaleza do Tabocão,Adubação verde,2
Fortaleza do Tabocão,Calagem,5
Fortaleza do Tabocão,Descarte correto de embalagens,4
Fortaleza do Tabocão,Reaproveitamento de residuos,6
Fortaleza do Tabocão,Recuperação de pastagens,2
Fortaleza do Tabocão,Rotação de cultura,1
Fátima,Aceiros,3
Fátima,Adubação,6
Fátima,Calagem,7
Fátima,Recuperação de pastagens,1
Goiatins,Aceiros,8
Goiatins,Adubação,1
Goiatins,Calagem,7
Goiatins,Descarte correto de embalagens,3
Goiatins,Plantio direto,1
Goiatins,Recuperação de pastagens,4
Goiatins,Rotação de cultura,2
Guaraí,Aceiros,19
Guaraí,Adubação,21
Guaraí,Adubação verde,4
Guaraí,Calagem,21
Guaraí,Consórcio,4
Guaraí,Curva de nível,2
Guaraí,Não usa,2
Guaraí,Reaproveitamento de residuos,2
Guaraí,Recuperação de pastagens,1
Guaraí,Rotação de cultura,2
Gurupi,Aceiros,20
Gurupi,Adubação,5
Gurupi,Adubação verde,1
Gurupi,Calagem,12
Gurupi,Não usa,2
Gurupi,Reaproveitamento de residuos,1
Gurupi,Rotação de cultura,1
Ipueiras,Aceiros,6
Ipueiras,Adubação,4
Ipueiras,Adubação verde,1
Ipueiras,Calagem,5
Ipueiras,Consórcio,1
Ipueiras,Descarte correto de embalagens,1
Ipueiras,Recuperação de pastagens,1
Ipueiras,Rotação de cultura,1
Itaguatins,Aceiros,4
Itaguatins,Adubação,3
Itaguatins,Calagem,1
Itaguatins,Consórcio,2
Itaguatins,Descarte correto de embalagens,1
Itaguatins,Reaproveitamento de residuos,1
Itaguatins,Recuperação de pastagens,1
Itaguatins,Rotação de cultura,4
Itaporã do Tocantins,Descarte correto de embalagens,2
Itaporã do Tocantins,Plantio direto,1
Jaú do Tocantins,Aceiros,5
Jaú do Tocantins,Adubação,3
Jaú do Tocantins,Calagem,2
Jaú do Tocantins,Descarte correto de embalagens,1
Lagoa da Confusão,Aceiros,5
Lagoa da Confusão,Adubação,5
Lagoa da Confusão,Adubação verde,1
Lagoa da Confusão,Calagem,1
Lagoa da Confusão,Consórcio,2
Lagoa da Confusão,Ilp - integração lavoura pecuária,1
Lagoa da Confusão,Não usa,1
Lagoa da Confusão,Plantio direto,1
Lagoa da Confusão,Recuperação de pastagens,2
Lagoa da Confusão,Rotação de cultura,3
Lajeado,Aceiros,1
Lajeado,Adubação,2
Lajeado,Adubação verde,3
Lajeado,Calagem,1
Lajeado,Não usa,5
Lajeado,Plantio direto,2
Lajeado,Recuperação de pastagens,1
Luzinópolis,Aceiros,7
Luzinópolis,Adubação,3
Luzinópolis,Calagem,3
Luzinópolis,Consórcio,4
Luzinópolis,Descarte correto de embalagens,3
Luzinópolis,Não usa,1
Luzinópolis,Reaproveitamento de residuos,1
Luzinópolis,Recuperação de pastagens,5
Luzinópolis,Rotação de cultura,5
Marianópolis do Tocantins,Aceiros,10
Marianópolis do Tocantins,Adubação,11
Marianópolis do Tocantins,Adubação verde,1
Marianópolis do Tocantins,Calagem,6
Marianópolis do Tocantins,Não usa,15
Marianópolis do Tocantins,Reaproveitamento de residuos,1
Marianópolis do Tocantins,Recuperação de pastagens,2
Miracema do Tocantins,Aceiros,10
Miracema do Tocantins,Adubação,11
Miracema do Tocantins,Adubação verde,1
Miracema do Tocantins,Calagem,6
Miracema do Tocantins,Descarte correto de embalagens,6
Miracema do Tocantins,Não usa,2
Miracema do Tocantins,Plantio direto,3
Miracema do Tocantins,Recuperação de pastagens,7
Miracema do Tocantins,Rotação de cultura,4
Miranorte,Aceiros,43
Miranorte,Adubação,41
Miranorte,Adubação verde,1
Miranorte,Calagem,23
Miranorte,Não usa,1
Miranorte,Plantio direto,1
Miranorte,Rotação de cultura,6
Monte Santo do Tocantins,Aceiros,6
Monte Santo do Tocantins,Adubação,6
Monte Santo do Tocantins,Adubação verde,5
Monte Santo do Tocantins,Calagem,3
Monte Santo do Tocantins,Não usa,1
Monte Santo do Tocantins,Plantio direto,5
Monte Santo do Tocantins,Reaproveitamento de residuos,2
Monte Santo do Tocantins,Recuperação de pastagens,1
Monte Santo do Tocantins,Rotação de cultura,5
Monte do Carmo,Aceiros,11
Monte do Carmo,Adubação,2
Monte do Carmo,Calagem,2
Monte do Carmo,Consórcio,1
Monte do Carmo,Curva de nível,1
Monte do Carmo,Descarte correto de embalagens,1
Monte do Carmo,Recuperação de pastagens,1
Monte do Carmo,Rotação de cultura,1
Muricilândia,Aceiros,6
Muricilândia,Adubação,3
Muricilândia,Calagem,3
Nova Olinda,Aceiros,25
Nova Olinda,Adubação,16
Nova Olinda,Adubação verde,3
Nova Olinda,Calagem,17
Nova Olinda,Consórcio,12
Nova Olinda,Curva de nível,7
Nova Olinda,Ilp - integração lavoura pecuária,1
Nova Olinda,Não usa,1
Nova Olinda,Reaproveitamento de residuos,10
Nova Olinda,Recuperação de pastagens,3
Nova Olinda,Rotação de cultura,15
Nova Rosalândia,Adubação,20
Nova Rosalândia,Adubação verde,8
Nova Rosalândia,Calagem,12
Nova Rosalândia,Consórcio,1
Nova Rosalândia,Plantio direto,16
Nova Rosalândia,Reaproveitamento de residuos,12
Nova Rosalândia,Rotação de cultura,5
Novo Acordo,Aceiros,4
Novo Acordo,Adubação,1
Novo Acordo,Consórcio,3
Novo Acordo,Descarte correto de embalagens,1
Novo Acordo,Reaproveitamento de residuos,1
Novo Acordo,Rotação de cultura,3
Novo Jardim,Aceiros,6
Novo Jardim,Adubação,7
Novo Jardim,Calagem,1
Novo Jardim,Curva de nível,1
Novo Jardim,Não usa,1
Novo Jardim,Rotação de cultura,1
Palmas,Aceiros,7
Palmas,Adubação,6
Palmas,Adubação verde,11
Palmas,Calagem,2
Palmas,Consórcio,2
Palmas,Curva de nível,2
Palmas,Plantio direto,7
Palmas,Reaproveitamento de residuos,2
Palmas,Recuperação de pastagens,2
Palmas,Rotação de cultura,2
Palmeiras do Tocantins,Aceiros,33
Palmeiras do Tocantins,Adubação,31
Palmeiras do Tocantins,Calagem,8
Palmeiras do Tocantins,Consórcio,4
Palmeiras do Tocantins,Curva de nível,2
Palmeiras do Tocantins,Descarte correto de embalagens,21
Palmeiras do Tocantins,Ilp - integração lavoura pecuária,2
Palmeiras do Tocantins,Plantio direto,1
Palmeiras do Tocantins,Reaproveitamento de residuos,1
Palmeiras do Tocantins,Recuperação de pastagens,7
Palmeiras do Tocantins,Rotação de cultura,12
Palmeirópolis,Aceiros,3
Palmeirópolis,Adubação,4
Palmeirópolis,Adubação verde,1
Palmeirópolis,Calagem,4
Palmeirópolis,Curva de nível,1
Palmeirópolis,Não usa,1
Palmeirópolis,Rotação de cultura,1
Paranã,Aceiros,21
Paranã,Adubação,4
Paranã,Adubação verde,6
Paranã,Calagem,1
Paranã,Consórcio,19
Paranã,Curva de nível,1
Paranã,Descarte correto de embalagens,5
Paranã,Floresta,1
Paranã,Ilpf - integração lavoura pecuária,1
Paranã,Plantio direto,16
Paranã,Reaproveitamento de residuos,3
Paranã,Recuperação de pastagens,14
Paranã,Rotação de cultura,34
Paraíso do Tocantins,Aceiros,12
Paraíso do Tocantins,Adubação,8
Paraíso do Tocantins,Adubação verde,8
Paraíso do Tocantins,Calagem,7
Paraíso do Tocantins,Consórcio,2
Paraíso do Tocantins,Não usa,4
Paraíso do Tocantins,Plantio direto,2
Paraíso do Tocantins,Reaproveitamento de residuos,5
Paraíso do Tocantins,Recuperação de pastagens,1
Paraíso do Tocantins,Rotação de cultura,4
Pedro Afonso,Aceiros,16
Pedro Afonso,Adubação,2
Pedro Afonso,Adubação verde,6
Pedro Afonso,Consórcio,1
Pedro Afonso,Plantio direto,2
Pedro Afonso,Reaproveitamento de residuos,1
Pedro Afonso,Rotação de cultura,2
Peixe,Aceiros,13
Peixe,Adubação,14
Peixe,Adubação verde,1
Peixe,Calagem,6
Peixe,Recuperação de pastagens,5
Peixe,Rotação de cultura,5
Piraquê,Aceiros,18
Piraquê,Adubação,7
Piraquê,Calagem,5
Piraquê,Descarte correto de embalagens,1
Piraquê,Plantio direto,1
Piraquê,Reaproveitamento de residuos,1
Piraquê,Recuperação de pastagens,10
Piraquê,Rotação de cultura,6
Pium,Aceiros,29
Pium,Adubação,24
Pium,Calagem,8
Pium,Consórcio,1
Pium,Plantio direto,1
Pium,Recuperação de pastagens,2
Pium,Rotação de cultura,5
Ponte Alta do Bom Jesus,Aceiros,15
Ponte Alta do Bom Jesus,Adubação,2
Ponte Alta do Bom Jesus,Calagem,6
Ponte Alta do Bom Jesus,Descarte correto de embalagens,1
Ponte Alta do Bom Jesus,Recuperação de pastagens,2
Ponte Alta do Bom Jesus,Rotação de cultura,2
Porto Alegre do Tocantins,Aceiros,4
Porto Alegre do Tocantins,Calagem,4
Porto Nacional,Aceiros,2
Porto Nacional,Adubação,3
Porto Nacional,Adubação verde,3
Porto Nacional,Calagem,2
Porto Nacional,Consórcio,1
Porto Nacional,Não usa,1
Porto Nacional,Plantio direto,1
Porto Nacional,Reaproveitamento de residuos,1
Porto Nacional,Rotação de cultura,1
Praia Norte,Aceiros,2
Praia Norte,Consórcio,1
Praia Norte,Rotação de cultura,1
Pugmil,Aceiros,3
Pugmil,Adubação,3
Pugmil,Adubação verde,3
Pugmil,Calagem,3
Pugmil,Consórcio,2
Pugmil,Ilp - integração lavoura pecuária,1
Pugmil,Não usa,1
Pugmil,Plantio direto,3
Pugmil,Reaproveitamento de residuos,2
Pugmil,Recuperação de pastagens,2
Pugmil,Rotação de cultura,4
Riachinho,Aceiros,8
Riachinho,Adubação,5
Riachinho,Calagem,2
Riachinho,Consórcio,2
Riachinho,Curva de nível,1
Riachinho,Descarte correto de embalagens,3
Riachinho,Plantio direto,3
Riachinho,Reaproveitamento de residuos,3
Riachinho,Recuperação de pastagens,2
Riachinho,Rotação de cultura,7
Rio Sono,Aceiros,14
Rio Sono,Adubação,6
Rio Sono,Calagem,5
Rio Sono,Plantio direto,7
Rio Sono,Recuperação de pastagens,2
Rio Sono,Rotação de cultura,1
Rio da Conceição,Adubação,7
Rio da Conceição,Adubação verde,5
Rio da Conceição,Calagem,5
Rio da Conceição,Plantio direto,5
Rio da Conceição,Rotação de cultura,5
Rio dos Bois,Aceiros,13
Rio dos Bois,Adubação,11
Rio dos Bois,Adubação verde,1
Rio dos Bois,Calagem,14
Rio dos Bois,Descarte correto de embalagens,2
Rio dos Bois,Reaproveitamento de residuos,5
Rio dos Bois,Recuperação de pastagens,2
Rio dos Bois,Rotação de cultura,1
Santa Fé do Araguaia,Aceiros,11
Santa Fé do Araguaia,Adubação,8
Santa Fé do Araguaia,Calagem,7
Santa Fé do Araguaia,Reaproveitamento de residuos,1
Santa Fé do Araguaia,Rotação de cultura,1
Santa Maria do Tocantins,Aceiros,6
Santa Maria do Tocantins,Adubação,4
Santa Maria do Tocantins,Adubação verde,1
Santa Maria do Tocantins,Plantio direto,3
Santa Maria do Tocantins,Reaproveitamento de residuos,1
Santa Maria do Tocantins,Rotação de cultura,2
Santa Rita do Tocantins,Aceiros,3
Santa Rita do Tocantins,Adubação,1
Santa Rita do Tocantins,Calagem,4
Santa Terezinha do Tocantins,Aceiros,5
Santa Terezinha do Tocantins,Adubação,3
Santa Terezinha do Tocantins,Consórcio,2
Santa Terezinha do Tocantins,Descarte correto de embalagens,2
Silvanópolis,Aceiros,12
Silvanópolis,Adubação,9
Silvanópolis,Adubação verde,1
Silvanópolis,Calagem,13
Silvanópolis,Descarte correto de embalagens,1
Silvanópolis,Não usa,1
Silvanópolis,Plantio direto,1
Silvanópolis,Recuperação de pastagens,7
Silvanópolis,Rotação de cultura,2
Sucupira,Aceiros,6
Sucupira,Adubação,3
Sucupira,Calagem,1
São Bento do Tocantins,Aceiros,4
São Bento do Tocantins,Adubação,1
São Bento do Tocantins,Adubação verde,1
São Bento do Tocantins,Aproveitamento da floresta,1
São Bento do Tocantins,Calagem,1
São Bento do Tocantins,Descarte correto de embalagens,1
São Bento do Tocantins,Plantio direto,1
São Bento do Tocantins,Reaproveitamento de residuos,1
São Bento do Tocantins,Recuperação de pastagens,1
São Miguel do Tocantins,Aceiros,3
São Miguel do Tocantins,Adubação,8
São Miguel do Tocantins,Adubação verde,2
São Miguel do Tocantins,Calagem,3
São Miguel do Tocantins,Reaproveitamento de residuos,1
São Miguel do Tocantins,Rotação de cultura,8
São Salvador do Tocantins,Aceiros,5
São Salvador do Tocantins,Adubação,3
São Salvador do Tocantins,Calagem,3
São Salvador do Tocantins,Curva de nível,4
Sítio Novo do Tocantins,Aceiros,11
Sítio Novo do Tocantins,Adubação,2
Sítio Novo do Tocantins,Adubação verde,1
Sítio Novo do Tocantins,Calagem,1
Sítio Novo do Tocantins,Descarte correto de embalagens,9
Sítio Novo do Tocantins,Floresta,1
Sítio Novo do Tocantins,Ilpf - integração lavoura pecuária,1
Sítio Novo do Tocantins,Plantio direto,1
Sítio Novo do Tocantins,Reaproveitamento de residuos,2
Sítio Novo do Tocantins,Recuperação de pastagens,1
Sítio Novo do Tocantins,Rotação de cultura,4
Talismã,Aceiros,13
Talismã,Calagem,1
Talismã,Não usa,6
Talismã,Rotação de cultura,2
Tocantínia,Aceiros,8
Tocantínia,Adubação,4
Tocantínia,Calagem,1
Tocantínia,Consórcio,10
Tocantínia,Descarte correto de embalagens,1
Tocantínia,Não usa,1
Tocantínia,Reaproveitamento de residuos,2
Tocantínia,Recuperação de pastagens,1
Tocantínia,Rotação de cultura,5
Tupirama,Aceiros,11
Tupirama,Adubação,1
Tupirama,Adubação verde,1
Tupirama,Reaproveitamento de residuos,3
Tupirama,Rotação de cultura,4
Wanderlândia,Aceiros,9
Wanderlândia,Adubação,7
Wanderlândia,Adubação verde,1
Wanderlândia,Calagem,8
Wanderlândia,Descarte correto de embalagens,1
Wanderlândia,Não usa,1
Wanderlândia,Reaproveitamento de residuos,1
Wanderlândia,Recuperação de pastagens,2
Wanderlândia,Rotação de cultura,5
Xambioá,Aceiros,20
Xambioá,Adubação,12
Xambioá,Adubação verde,2
Xambioá,Consórcio,2
Xambioá,Descarte correto de embalagens,3
Xambioá,Ilp - integração lavoura pecuária,2
Xambioá,Plantio direto,10
Xambioá,Recuperação de pastagens,7
Xambioá,Rotação de cultura,11
darcinópolis,Aceiros,10
darcinópolis,Adubação,12
darcinópolis,Calagem,5
darcinópolis,Consórcio,3
darcinópolis,Descarte correto de embalagens,3
darcinópolis,Plantio direto,1
darcinópolis,Reaproveitamento de residuos,2
darcinópolis,Recuperação de pastagens,1
darcinópolis,Rotação de cultura,3
dois Irmãos do Tocantins,Aceiros,27
dois Irmãos do Tocantins,Adubação,26
dois Irmãos do Tocantins,Adubação verde,4
dois Irmãos do Tocantins,Calagem,17
dois Irmãos do Tocantins,Plantio direto,1
dois Irmãos do Tocantins,Reaproveitamento de residuos,5
dois Irmãos do Tocantins,Rotação de cultura,5
